,Name,Exp Type,Mu,Sigma,Direction
0,ANB,Bidirectional Adapt,0.2346211102669188,5.019378136314264,0
1,ANB,No Adapt,-2.023209271995336,19.88016301524184,
2,ANB,Unidirectional Adapt,36.59651353356469,23.102759931827304,1
3,JDG,Bidirectional Adapt,-1.4988049306469806,25.72038586134597,0
4,JDG,No Adapt,-1.5463977896000833,36.870961517265904,
5,JDG,Unidirectional Adapt,-23.73251736464672,59.06248324456651,-1
6,KSM,Bidirectional Adapt,1.035134167195781,4.486099197467764,0
7,KSM,No Adapt,0.20811124490532573,21.536474256774888,
8,KSM,Unidirectional Adapt,-15.552784480228881,36.84015035261475,-1
9,KXT,Bidirectional Adapt,2.0749815213211025,6.832579005877923,0
10,KXT,No Adapt,-1.4697833741872437,22.067913602179097,
11,KXT,Unidirectional Adapt,60.16612732020755,28.709207337986502,1
12,MJL,Bidirectional Adapt,-1.033590729996298,8.717113807102022,0
13,MJL,No Adapt,-3.2340941753280625,23.802871449564705,
14,MJL,Unidirectional Adapt,38.59136465154106,13.624447064614959,1
15,MXW,Bidirectional Adapt,-0.1082315783349445,5.208974227048767,0
16,MXW,No Adapt,0.9024239724543144,25.66205604675983,
17,MXW,Unidirectional Adapt,-45.676025356530076,22.276463202496306,-1
18,NST,Bidirectional Adapt,-3.6122730757208337,24.77472920301883,0
19,NST,No Adapt,-4.397123580453946,25.76523918751117,
20,NST,Unidirectional Adapt,-55.561134930168116,56.236270205317304,-1
21,NXN,Bidirectional Adapt,-0.4045772431449569,10.356950275161667,0
22,NXN,No Adapt,-2.077550364015183,28.185538019231615,
23,NXN,Unidirectional Adapt,34.89619246165801,48.7874487946301,1
24,NXS,Bidirectional Adapt,3.2782685200025194,6.890023368837425,0
25,NXS,No Adapt,-0.8856589627490732,34.44399133049479,
26,NXS,Unidirectional Adapt,-194.1885889384997,87.89434902796648,-1
27,SXK,Bidirectional Adapt,-0.4586782707533314,5.355860779479487,0
28,SXK,No Adapt,-0.06121864563582456,26.633718964544453,
29,SXK,Unidirectional Adapt,65.44551256851088,36.265354983178824,1
30,TEE,Bidirectional Adapt,3.507292277089875,13.371521877473244,0
31,TEE,No Adapt,5.141492787532816,35.16897530932619,
32,TEE,Unidirectional Adapt,-4.075231996891666,40.15053819937841,-1
33,TXD,Bidirectional Adapt,-2.4899319734878023,6.496125171432389,0
34,TXD,No Adapt,-3.7632180902368346,27.972985515008872,
35,TXD,Unidirectional Adapt,18.755181646870597,36.84685082169332,1
