,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,8.0,True,0.5916957855224609
1,right,log,32.0,True,0.44896984100341797
2,left,log,8.0,False,0.47563910484313965
3,left,mirror,-32.0,True,0.508612871170044
4,right,mirror,24.0,True,0.5365281105041504
5,right,mirror,32.0,True,1.1523489952087402
6,right,log,0.0,False,0.4213898181915283
7,right,mirror,24.0,True,0.5887408256530762
8,right,mirror,40.0,True,0.45087194442749023
9,right,mirror,40.0,True,0.8191351890563965
10,left,mirror,8.0,False,0.5408790111541748
11,right,mirror,32.0,True,0.4827601909637451
12,right,log,40.0,True,0.44124603271484375
13,left,mirror,-8.0,True,0.4949021339416504
14,right,mirror,16.0,True,0.41274404525756836
15,right,log,32.0,True,0.4328420162200928
16,left,mirror,-16.0,True,0.47094178199768066
17,right,mirror,24.0,True,0.3871757984161377
18,left,log,-16.0,True,0.5556209087371826
19,right,mirror,24.0,True,0.46244382858276367
20,left,log,-16.0,True,0.5976700782775879
21,right,log,16.0,True,0.43804168701171875
22,left,mirror,-16.0,True,0.4516763687133789
23,left,log,-32.0,True,0.5269570350646973
24,right,log,-8.0,False,0.3619861602783203
25,left,log,-32.0,True,0.4918808937072754
26,left,mirror,-32.0,True,0.5522570610046387
27,right,mirror,40.0,True,0.37715816497802734
28,right,log,0.0,False,0.9480500221252441
29,left,mirror,-32.0,True,0.47538304328918457
30,right,mirror,8.0,True,0.39913415908813477
31,right,log,40.0,True,0.38999390602111816
32,left,log,16.0,False,0.40685606002807617
33,left,log,-8.0,True,0.46776700019836426
34,right,mirror,40.0,True,0.37813711166381836
35,left,mirror,40.0,False,0.4338669776916504
36,right,log,8.0,True,0.44361329078674316
37,left,log,-16.0,True,0.4825770854949951
38,left,log,-24.0,True,0.5016007423400879
39,right,log,-8.0,False,0.4217391014099121
40,right,log,0.0,False,0.4760422706604004
41,right,log,8.0,True,0.4769420623779297
42,left,log,-16.0,True,0.425933837890625
43,right,mirror,24.0,True,0.41936802864074707
44,right,log,40.0,True,0.5131089687347412
45,left,log,32.0,False,0.4034109115600586
46,right,mirror,24.0,True,0.41934895515441895
47,right,log,0.0,False,0.5769147872924805
48,right,mirror,24.0,True,0.6288628578186035
49,left,log,-40.0,True,0.4857778549194336
50,right,mirror,24.0,True,0.44922709465026855
51,left,mirror,-16.0,True,0.5512497425079346
52,right,mirror,40.0,True,0.41731882095336914
53,left,mirror,-24.0,True,0.41258907318115234
54,right,log,8.0,True,0.6104991436004639
55,left,log,-40.0,True,0.6420981884002686
56,left,mirror,-8.0,True,1.2449798583984375
57,left,mirror,-32.0,True,0.858497142791748
58,right,mirror,0.0,False,0.4607851505279541
59,right,log,24.0,True,0.4293839931488037
60,left,log,-32.0,True,0.46834778785705566
61,right,log,-24.0,False,0.41960787773132324
62,right,log,16.0,True,0.3937721252441406
63,left,log,-16.0,True,0.618109941482544
64,right,log,-8.0,False,0.43731093406677246
65,left,mirror,-16.0,True,0.4454960823059082
66,left,mirror,-24.0,True,0.5838959217071533
67,right,mirror,0.0,False,0.46372365951538086
68,left,mirror,-24.0,True,0.4808511734008789
69,right,log,32.0,True,0.4780290126800537
70,left,mirror,-32.0,True,0.8215360641479492
71,left,log,-40.0,True,0.4576101303100586
72,right,mirror,40.0,True,0.42783689498901367
73,left,log,-8.0,True,0.4692840576171875
74,right,log,-8.0,False,0.40313291549682617
75,right,log,8.0,True,0.4077019691467285
76,left,mirror,-24.0,True,0.5496261119842529
77,left,log,-16.0,True,0.5770671367645264
78,right,log,40.0,True,0.44637322425842285
79,right,mirror,0.0,False,0.6823248863220215
80,right,mirror,8.0,True,0.45947790145874023
81,right,log,40.0,True,0.4209878444671631
82,left,mirror,-24.0,True,0.45453596115112305
83,right,log,0.0,False,1.870697021484375
84,left,log,-16.0,True,0.5446739196777344
85,right,log,8.0,True,0.5625772476196289
86,right,mirror,16.0,True,0.47333717346191406
87,left,mirror,0.0,False,1.2691497802734375
88,left,mirror,-32.0,True,0.7142539024353027
89,right,log,16.0,True,0.5476839542388916
90,right,mirror,32.0,True,0.5360798835754395
91,left,mirror,16.0,False,0.6534631252288818
92,right,mirror,8.0,True,0.5908071994781494
93,left,mirror,-16.0,True,0.511786937713623
94,left,log,-24.0,True,0.5232639312744141
95,right,log,-8.0,False,0.44405102729797363
96,right,mirror,32.0,True,0.48514270782470703
97,right,mirror,32.0,True,0.5932891368865967
98,left,mirror,0.0,False,0.6109139919281006
99,right,log,16.0,True,0.5136311054229736
100,left,mirror,-24.0,True,0.6690971851348877
101,right,log,8.0,True,0.47389888763427734
102,right,mirror,40.0,True,0.44313979148864746
103,right,log,32.0,True,0.45775794982910156
104,left,mirror,-8.0,True,0.5644240379333496
105,right,mirror,32.0,True,0.4068028926849365
106,left,log,-24.0,True,0.6526150703430176
107,right,mirror,16.0,True,0.4662749767303467
108,left,log,-32.0,True,0.47980189323425293
109,right,log,-16.0,False,0.45659708976745605
110,left,log,-40.0,True,0.6329638957977295
111,right,log,-32.0,False,0.5502750873565674
112,right,mirror,32.0,True,0.544701099395752
113,right,log,40.0,True,0.4676039218902588
114,right,mirror,24.0,True,0.4912841320037842
115,left,mirror,-8.0,True,0.46937012672424316
116,right,mirror,-8.0,False,0.7644469738006592
117,right,mirror,40.0,True,0.4205739498138428
118,right,mirror,40.0,True,0.624819278717041
119,left,mirror,-32.0,True,0.4770689010620117
120,right,mirror,0.0,False,0.38142991065979004
121,right,mirror,16.0,True,0.4293379783630371
122,left,mirror,-40.0,True,0.5094342231750488
123,right,mirror,32.0,True,0.3909730911254883
124,left,mirror,-40.0,True,0.5204451084136963
125,right,mirror,-32.0,False,0.32562994956970215
126,right,log,24.0,True,0.535466194152832
127,right,log,24.0,True,0.737760066986084
128,left,mirror,-40.0,True,0.5333731174468994
129,right,log,40.0,True,0.4610879421234131
130,right,mirror,16.0,True,0.4703559875488281
131,right,log,0.0,False,0.5475027561187744
132,left,mirror,0.0,False,1.3219659328460693
133,left,mirror,0.0,False,1.3358759880065918
134,left,log,-40.0,True,0.6706650257110596
135,right,mirror,16.0,True,0.44663405418395996
136,right,log,32.0,True,0.42251014709472656
137,left,log,16.0,False,0.41164398193359375
138,right,log,40.0,True,0.490401029586792
139,right,mirror,32.0,True,0.4845879077911377
140,left,mirror,-24.0,True,0.7463417053222656
141,left,mirror,-24.0,True,1.3316092491149902
142,right,mirror,40.0,True,0.4276139736175537
143,left,mirror,-8.0,True,0.5562269687652588
144,left,mirror,-40.0,True,0.6461949348449707
145,right,mirror,-16.0,False,0.6844668388366699
146,left,log,-16.0,True,0.7053759098052979
147,left,log,-32.0,True,0.5149538516998291
148,right,log,-24.0,False,1.7630538940429688
149,right,log,-24.0,False,1.6600899696350098
150,left,mirror,-40.0,True,0.5584661960601807
151,right,mirror,-8.0,False,0.4448878765106201
152,right,mirror,-8.0,False,0.632763147354126
153,right,mirror,32.0,True,0.45781612396240234
154,left,mirror,8.0,False,0.5338590145111084
155,right,mirror,40.0,True,0.4832179546356201
156,right,log,8.0,True,0.47939038276672363
157,right,mirror,24.0,True,0.4825007915496826
158,left,mirror,16.0,False,1.478410005569458
159,left,log,-8.0,True,0.7224633693695068
160,left,mirror,-16.0,True,0.744204044342041
161,right,mirror,32.0,True,0.43085527420043945
162,right,log,16.0,True,0.4693031311035156
163,left,mirror,-40.0,True,0.475830078125
164,right,log,32.0,True,0.4834151268005371
165,right,mirror,16.0,True,0.4657859802246094
166,left,log,-40.0,True,0.500175952911377
167,right,log,16.0,True,0.4215419292449951
168,right,log,24.0,True,0.5861620903015137
169,right,mirror,24.0,True,0.501657247543335
170,left,mirror,0.0,False,0.876370906829834
171,left,log,0.0,False,0.8986868858337402
172,right,log,16.0,True,0.48102784156799316
173,left,mirror,-40.0,True,0.6380698680877686
174,left,log,-16.0,True,0.6236858367919922
175,right,log,8.0,True,0.5088291168212891
176,right,log,40.0,True,0.5115060806274414
177,left,log,16.0,False,0.7211530208587646
178,right,log,24.0,True,0.5505540370941162
179,left,log,-32.0,True,0.4637479782104492
180,left,mirror,-8.0,True,0.5876636505126953
181,left,log,-32.0,True,0.5336928367614746
182,left,mirror,-40.0,True,0.5375590324401855
183,left,mirror,-24.0,True,1.0468940734863281
184,right,log,8.0,True,0.7009422779083252
185,left,log,0.0,False,0.48921990394592285
186,right,log,24.0,True,0.5273339748382568
187,right,log,32.0,True,0.7852380275726318
188,right,log,40.0,True,2.0834779739379883
189,left,log,24.0,False,2.508586883544922
190,left,mirror,-40.0,True,0.6149523258209229
191,right,mirror,16.0,True,0.44823288917541504
192,left,log,-24.0,True,0.5302200317382812
193,right,log,40.0,True,0.5179111957550049
194,left,log,-32.0,True,0.5045208930969238
195,left,mirror,-16.0,True,0.8105981349945068
196,left,mirror,-40.0,True,0.8197910785675049
197,left,log,-32.0,True,0.5781247615814209
198,right,log,40.0,True,0.4839491844177246
199,left,log,-24.0,True,0.45400500297546387
200,right,log,24.0,True,0.4439427852630615
201,right,log,24.0,True,0.7154603004455566
202,left,log,-8.0,True,0.4429588317871094
203,left,mirror,-8.0,True,1.1998353004455566
204,right,mirror,24.0,True,0.4312469959259033
205,left,log,-32.0,True,0.45756101608276367
206,right,mirror,40.0,True,0.45516085624694824
207,right,mirror,32.0,True,0.6100239753723145
208,left,mirror,-8.0,True,0.772705078125
209,left,log,-16.0,True,0.787031888961792
210,left,mirror,-8.0,True,0.9146087169647217
211,right,mirror,8.0,True,0.43033671379089355
212,left,log,-16.0,True,0.738253116607666
213,right,mirror,24.0,True,0.425872802734375
214,left,log,-24.0,True,0.4772827625274658
215,right,log,40.0,True,0.4696321487426758
216,right,mirror,16.0,True,0.476794958114624
217,left,mirror,-24.0,True,0.5491600036621094
218,left,log,-8.0,True,1.0994749069213867
219,right,mirror,16.0,True,0.5023012161254883
220,left,log,-8.0,True,0.6288039684295654
221,left,mirror,8.0,False,1.7752819061279297
222,right,mirror,24.0,True,0.510246992111206
223,left,mirror,0.0,False,0.9204049110412598
224,right,log,24.0,True,0.53507399559021
225,right,mirror,0.0,False,0.4983973503112793
226,left,log,-8.0,True,0.6424541473388672
227,right,mirror,32.0,True,0.48464012145996094
228,left,log,-40.0,True,0.4630918502807617
229,right,log,16.0,True,0.431384801864624
230,right,mirror,24.0,True,0.4836301803588867
231,left,mirror,-40.0,True,1.3044259548187256
232,right,log,16.0,True,0.6834352016448975
233,left,mirror,-24.0,True,0.5337710380554199
234,right,mirror,8.0,True,0.44152188301086426
235,left,log,-32.0,True,0.5095460414886475
236,left,mirror,-8.0,True,0.6106641292572021
237,left,mirror,-16.0,True,1.10076904296875
238,left,log,-8.0,True,0.5031378269195557
239,right,log,24.0,True,0.4417691230773926
240,left,mirror,-8.0,True,0.6366322040557861
241,right,mirror,24.0,True,0.4550769329071045
242,right,log,32.0,True,0.4075350761413574
243,left,log,-40.0,True,0.5215861797332764
244,right,log,0.0,False,0.6427819728851318
245,right,mirror,40.0,True,0.5631778240203857
246,left,log,-24.0,True,0.7160708904266357
247,left,log,-32.0,True,1.1553888320922852
248,left,log,-40.0,True,1.0333900451660156
249,left,mirror,-32.0,True,0.7039322853088379
250,left,log,-40.0,True,0.5424299240112305
251,right,log,40.0,True,0.4115722179412842
252,right,mirror,32.0,True,0.52457594871521
253,left,mirror,-8.0,True,0.646111011505127
254,left,mirror,-24.0,True,0.757559061050415
255,right,mirror,0.0,False,0.44429707527160645
256,right,mirror,8.0,True,0.48812294006347656
257,right,log,40.0,True,0.5158541202545166
258,right,mirror,32.0,True,0.49721217155456543
259,left,log,-16.0,True,0.51863694190979
260,right,log,8.0,True,0.42931485176086426
261,left,log,8.0,False,0.45450377464294434
262,right,mirror,8.0,True,0.5059731006622314
263,left,log,-16.0,True,0.5265159606933594
264,left,mirror,0.0,False,1.3169007301330566
265,right,mirror,40.0,True,0.5139269828796387
266,left,mirror,-24.0,True,0.4511849880218506
267,right,log,24.0,True,0.5360472202301025
268,right,mirror,16.0,True,0.5530970096588135
269,right,log,16.0,True,0.4992959499359131
270,left,log,-16.0,True,0.47446703910827637
271,left,log,-32.0,True,0.7228538990020752
272,right,mirror,32.0,True,0.47603583335876465
273,right,log,0.0,False,0.9788930416107178
274,right,log,8.0,True,0.9858570098876953
275,left,mirror,-24.0,True,0.49950575828552246
276,right,mirror,40.0,True,0.5643260478973389
277,left,mirror,24.0,False,0.46903300285339355
278,right,log,24.0,True,0.44054293632507324
279,left,log,-8.0,True,0.42402005195617676
280,right,log,-8.0,False,0.5234482288360596
281,right,log,32.0,True,0.5010838508605957
282,left,log,-40.0,True,0.42815423011779785
283,right,log,16.0,True,0.45122480392456055
284,left,log,8.0,False,0.4092390537261963
