,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,-40.0,False,0.8598415851593018
1,left,log,32.0,False,0.26602673530578613
2,right,log,0.0,False,4.871059894561768
3,left,log,40.0,False,0.39563989639282227
4,left,mirror,-40.0,True,8.894536018371582
5,left,log,0.0,False,1.6518959999084473
6,left,mirror,40.0,False,34.615720987319946
7,left,mirror,-24.0,True,0.048744916915893555
8,right,mirror,-40.0,False,17.0449378490448
9,right,mirror,-40.0,False,1.2663240432739258
10,right,mirror,-24.0,False,0.699193000793457
11,left,log,-16.0,True,0.44927525520324707
12,right,mirror,32.0,True,0.6061379909515381
13,left,mirror,-24.0,True,0.5279049873352051
14,right,log,40.0,True,0.6956541538238525
15,right,mirror,40.0,True,1.0273778438568115
16,left,mirror,16.0,False,1.0398659706115723
17,left,mirror,-32.0,True,0.6287500858306885
18,left,log,-8.0,True,0.6980960369110107
19,left,log,-16.0,True,0.6237649917602539
20,left,log,24.0,False,0.7360711097717285
21,left,log,-32.0,True,0.5517890453338623
22,right,log,-40.0,False,0.4327118396759033
23,left,mirror,-40.0,True,0.6498680114746094
24,right,log,24.0,True,0.5914969444274902
25,right,mirror,40.0,True,0.7546670436859131
26,right,log,40.0,True,0.674288272857666
27,left,mirror,8.0,False,0.3943970203399658
28,right,log,8.0,True,0.5528907775878906
29,left,log,-8.0,True,0.34867000579833984
30,right,log,0.0,False,0.4602649211883545
31,right,mirror,-8.0,False,0.3923661708831787
32,left,log,-8.0,True,0.4307520389556885
33,left,log,-40.0,True,0.42418408393859863
34,right,mirror,16.0,True,0.7822887897491455
35,left,log,-24.0,True,0.19736218452453613
36,right,mirror,-16.0,False,0.09866118431091309
37,right,mirror,32.0,True,0.7030141353607178
38,left,log,-16.0,True,0.14061784744262695
39,left,log,40.0,False,1.0115602016448975
40,left,log,-8.0,True,0.2413160800933838
41,right,log,0.0,False,0.368272066116333
42,left,mirror,16.0,False,0.1600642204284668
43,right,log,-32.0,False,0.3694331645965576
44,left,log,-24.0,True,0.11564898490905762
45,right,log,-8.0,False,0.9704129695892334
46,left,mirror,-8.0,True,0.19626808166503906
47,left,log,-24.0,True,0.44727087020874023
48,right,mirror,0.0,False,0.7356510162353516
49,right,mirror,32.0,True,0.7348880767822266
50,right,log,16.0,True,0.5339946746826172
51,left,log,-16.0,True,0.5551559925079346
52,right,log,0.0,False,0.569849967956543
53,left,mirror,-16.0,True,0.5941281318664551
54,right,mirror,40.0,True,1.4085798263549805
55,left,mirror,-40.0,True,0.40953493118286133
56,right,mirror,-32.0,False,0.3367190361022949
57,right,mirror,-24.0,False,0.6081681251525879
58,left,log,-16.0,True,0.3965880870819092
59,right,mirror,32.0,True,0.27440476417541504
60,left,mirror,-16.0,True,0.5353038311004639
61,right,log,24.0,True,0.49414801597595215
62,right,mirror,8.0,True,0.37259387969970703
63,left,log,-16.0,True,0.4102962017059326
64,right,log,32.0,True,0.6679909229278564
65,left,log,24.0,False,0.4825139045715332
66,left,log,32.0,False,0.3444499969482422
67,right,mirror,16.0,True,0.39946818351745605
68,left,log,-24.0,True,0.7141361236572266
69,left,log,24.0,False,0.4613988399505615
70,left,mirror,8.0,False,0.36881208419799805
71,left,mirror,-32.0,True,1.2692108154296875
72,left,log,-32.0,True,0.15159392356872559
73,right,log,-8.0,False,0.44089221954345703
74,left,mirror,-8.0,True,0.7459640502929688
75,left,mirror,-16.0,True,0.758944034576416
76,left,log,-16.0,True,0.5978269577026367
77,right,mirror,24.0,True,0.43898487091064453
78,left,log,-40.0,True,0.8662872314453125
79,right,log,8.0,True,1.6498041152954102
80,right,mirror,-8.0,False,0.735795259475708
81,left,mirror,0.0,False,1.2970240116119385
82,left,mirror,-40.0,True,0.5613107681274414
83,right,log,32.0,True,0.9425289630889893
84,left,log,-32.0,True,0.4481220245361328
85,right,log,-32.0,False,0.47218823432922363
86,right,log,0.0,False,0.6811442375183105
87,right,mirror,32.0,True,0.6987359523773193
88,left,mirror,-24.0,True,1.203399896621704
89,left,log,-40.0,True,0.7081818580627441
90,right,log,-32.0,False,0.6066691875457764
91,left,mirror,-24.0,True,0.6440370082855225
92,right,mirror,40.0,True,0.6312739849090576
93,left,mirror,-16.0,True,0.4845907688140869
94,left,log,-8.0,True,0.5528509616851807
95,right,mirror,24.0,True,0.48253679275512695
96,right,log,24.0,True,0.6949529647827148
97,left,log,-24.0,True,0.5666868686676025
98,right,log,-32.0,False,0.4097452163696289
99,right,log,8.0,True,0.3842649459838867
100,right,log,0.0,False,0.8446550369262695
101,right,mirror,16.0,True,0.6459352970123291
102,left,log,16.0,False,0.9468307495117188
103,left,mirror,-32.0,True,0.3767738342285156
104,right,mirror,16.0,True,0.46004319190979004
105,left,mirror,32.0,False,0.69960618019104
106,left,log,-8.0,True,0.5940771102905273
107,right,log,40.0,True,0.6950030326843262
108,left,log,-8.0,True,0.556628942489624
109,right,mirror,8.0,True,0.6831767559051514
110,left,log,32.0,False,0.6781177520751953
111,right,mirror,32.0,True,0.39435911178588867
112,left,mirror,-24.0,True,0.4872920513153076
113,left,log,-24.0,True,0.43114662170410156
114,right,mirror,16.0,True,0.6804318428039551
115,left,log,40.0,False,0.6247279644012451
116,right,mirror,40.0,True,0.5288190841674805
117,left,log,-8.0,True,0.7734699249267578
118,right,log,16.0,True,0.564845085144043
119,left,log,-24.0,True,0.40041685104370117
120,right,mirror,24.0,True,0.6357710361480713
121,left,mirror,40.0,False,0.6043100357055664
122,left,log,0.0,False,0.653846025466919
123,right,log,8.0,True,0.6221840381622314
124,left,mirror,-8.0,True,0.727484941482544
125,left,mirror,-40.0,True,0.9936459064483643
126,right,mirror,16.0,True,0.880666971206665
127,left,log,-16.0,True,0.4327828884124756
128,left,log,-40.0,True,0.5482439994812012
129,right,log,16.0,True,0.6352009773254395
130,left,log,-32.0,True,0.5294101238250732
131,right,log,-24.0,False,0.43889427185058594
132,right,mirror,0.0,False,0.6188249588012695
133,right,mirror,8.0,True,0.5523247718811035
134,right,mirror,0.0,False,0.611922025680542
135,left,log,24.0,False,0.7207071781158447
136,right,mirror,-8.0,False,0.5711350440979004
137,left,mirror,-24.0,True,0.5869970321655273
138,right,log,16.0,True,0.5287091732025146
139,right,mirror,24.0,True,0.4550349712371826
140,left,log,32.0,False,0.540895938873291
141,right,mirror,32.0,True,0.2736079692840576
142,left,mirror,24.0,False,0.9419448375701904
143,right,log,32.0,True,0.7140951156616211
144,left,mirror,8.0,False,0.6242001056671143
145,left,mirror,-40.0,True,0.613023042678833
146,right,mirror,16.0,True,0.4258430004119873
147,left,mirror,-40.0,True,0.3652060031890869
148,right,mirror,-8.0,False,0.42938804626464844
149,left,log,-32.0,True,0.5596709251403809
150,right,log,-40.0,False,0.6003479957580566
151,right,log,-24.0,False,1.0830779075622559
152,left,mirror,-32.0,True,0.6173660755157471
153,right,mirror,40.0,True,0.48623180389404297
154,left,log,-8.0,True,0.5404219627380371
155,left,log,-40.0,True,0.5151891708374023
156,right,mirror,-16.0,False,0.6569662094116211
157,right,log,40.0,True,0.5634617805480957
158,right,mirror,16.0,True,0.6435799598693848
159,left,log,-16.0,True,0.6185019016265869
160,right,log,-8.0,False,1.140009880065918
161,right,log,0.0,False,0.9499199390411377
162,right,log,8.0,True,0.8494970798492432
163,right,log,40.0,True,0.7091422080993652
164,right,mirror,40.0,True,0.5902159214019775
165,left,log,-16.0,True,0.42101001739501953
166,left,log,-40.0,True,0.6330161094665527
167,right,mirror,40.0,True,0.32793498039245605
168,left,log,0.0,False,0.6766858100891113
169,left,log,-16.0,True,0.7407970428466797
170,right,log,32.0,True,0.12241411209106445
171,left,log,8.0,False,0.6689732074737549
172,left,log,24.0,False,0.7495260238647461
173,left,mirror,-32.0,True,0.6112749576568604
174,right,mirror,-32.0,False,0.3993568420410156
175,right,mirror,40.0,True,0.6642129421234131
176,left,log,0.0,False,0.8505401611328125
177,right,mirror,16.0,True,0.6557738780975342
178,left,log,16.0,False,0.7552061080932617
179,right,mirror,-8.0,False,0.5703620910644531
180,right,mirror,-24.0,False,0.7165489196777344
181,left,log,8.0,False,0.8126451969146729
182,right,mirror,32.0,True,0.6416850090026855
183,left,mirror,-8.0,True,2.0476059913635254
184,left,log,-24.0,True,0.8594040870666504
185,right,mirror,-16.0,False,0.9678840637207031
186,right,mirror,8.0,True,0.5228757858276367
187,right,log,24.0,True,1.1325750350952148
188,right,log,16.0,True,0.704582929611206
189,left,log,8.0,False,0.5022768974304199
190,left,log,-8.0,True,0.5590662956237793
191,right,log,32.0,True,0.9333760738372803
192,left,mirror,16.0,False,2.868582010269165
193,right,log,16.0,True,0.6730871200561523
194,left,mirror,16.0,False,14.130795001983643
195,left,log,32.0,False,0.8726840019226074
196,left,mirror,0.0,False,0.2585632801055908
197,left,mirror,-24.0,True,0.6630072593688965
198,right,mirror,8.0,True,0.6399030685424805
199,left,log,-32.0,True,0.5687301158905029
200,right,mirror,8.0,True,0.415830135345459
201,left,mirror,0.0,False,0.39555907249450684
202,left,mirror,-32.0,True,2.087758779525757
203,right,mirror,24.0,True,0.48777031898498535
204,left,mirror,40.0,False,1.1556649208068848
205,left,mirror,24.0,False,0.42839503288269043
206,left,mirror,24.0,False,0.9041092395782471
207,right,log,8.0,True,1.7683401107788086
208,left,mirror,-8.0,True,0.9245412349700928
209,left,mirror,-16.0,True,0.8126559257507324
210,right,mirror,0.0,False,0.7078559398651123
211,right,log,8.0,True,0.7387509346008301
212,left,log,-32.0,True,0.6052758693695068
213,right,mirror,16.0,True,0.5896730422973633
214,left,mirror,32.0,False,0.8023378849029541
215,left,mirror,0.0,False,0.5464200973510742
216,right,log,24.0,True,0.5867419242858887
217,left,mirror,-40.0,True,0.5219719409942627
218,left,log,-24.0,True,0.7231709957122803
219,left,log,-40.0,True,0.24107027053833008
220,right,log,-24.0,False,0.7730231285095215
221,left,mirror,0.0,False,0.7234060764312744
222,right,log,24.0,True,0.7601168155670166
223,left,log,8.0,False,0.5648500919342041
224,right,mirror,40.0,True,0.6892940998077393
225,left,mirror,8.0,False,0.6874308586120605
226,right,log,24.0,True,0.7303612232208252
227,left,mirror,-24.0,True,0.5892231464385986
228,left,mirror,-32.0,True,10.330620050430298
229,left,log,-40.0,True,0.48128294944763184
230,left,mirror,-8.0,True,0.5884280204772949
231,left,log,-8.0,True,0.9809989929199219
232,right,mirror,24.0,True,0.6491470336914062
233,left,mirror,-8.0,True,0.6083877086639404
234,right,mirror,-32.0,False,0.7202720642089844
235,right,mirror,40.0,True,0.7598810195922852
236,right,mirror,24.0,True,0.7253470420837402
237,left,log,0.0,False,0.6940228939056396
238,right,log,24.0,True,0.6662211418151855
239,left,mirror,-32.0,True,0.7486300468444824
240,right,log,32.0,True,0.30196094512939453
241,left,log,-24.0,True,0.8696630001068115
242,left,mirror,-24.0,True,0.759448766708374
243,right,mirror,16.0,True,0.6132750511169434
244,left,mirror,-24.0,True,0.7945253849029541
245,right,mirror,-32.0,False,1.4396960735321045
246,right,mirror,40.0,True,0.7058508396148682
247,left,mirror,32.0,False,0.5711109638214111
248,left,mirror,24.0,False,0.8101077079772949
249,left,mirror,8.0,False,0.4205131530761719
250,right,log,8.0,True,1.2488009929656982
251,left,mirror,-8.0,True,0.7116639614105225
252,left,log,-40.0,True,0.5168459415435791
253,right,mirror,24.0,True,0.4872710704803467
254,right,log,24.0,True,0.5550928115844727
255,left,mirror,-16.0,True,0.5122978687286377
256,right,log,16.0,True,0.4470851421356201
257,left,log,0.0,False,0.444350004196167
258,right,mirror,32.0,True,0.5845129489898682
259,left,mirror,0.0,False,0.46343183517456055
260,right,mirror,40.0,True,0.4531569480895996
261,left,mirror,32.0,False,0.4906949996948242
262,left,log,-40.0,True,0.471149206161499
263,right,log,40.0,True,0.5959300994873047
264,right,mirror,40.0,True,0.6072590351104736
265,left,mirror,-24.0,True,0.7348010540008545
266,left,log,-40.0,True,0.4542419910430908
267,right,log,-32.0,False,0.4073970317840576
268,right,log,40.0,True,0.4774501323699951
269,left,log,-24.0,True,0.4629061222076416
270,right,log,-32.0,False,0.5862517356872559
271,right,log,-32.0,False,0.6742520332336426
272,left,mirror,-24.0,True,0.6802568435668945
273,right,log,16.0,True,1.1044528484344482
274,left,mirror,-40.0,True,0.6719019412994385
275,right,mirror,0.0,False,0.5241281986236572
276,left,log,-16.0,True,0.5644879341125488
277,right,log,0.0,False,0.6359248161315918
278,right,mirror,32.0,True,0.5099050998687744
279,left,mirror,24.0,False,0.33812499046325684
280,left,log,8.0,False,0.4976389408111572
281,right,mirror,24.0,True,0.659822940826416
282,left,log,-8.0,True,0.5962629318237305
283,left,mirror,-40.0,True,0.6982028484344482
284,left,log,-8.0,True,8.92593502998352
285,right,mirror,16.0,True,0.6910879611968994
286,left,mirror,8.0,False,0.8017759323120117
287,right,log,40.0,True,0.7151360511779785
288,left,log,32.0,False,0.6026771068572998
289,left,log,-8.0,True,0.4551541805267334
290,right,mirror,8.0,True,0.8349270820617676
291,left,mirror,-24.0,True,0.6658492088317871
292,left,log,-24.0,True,0.9208798408508301
293,right,mirror,32.0,True,0.5327317714691162
294,left,mirror,24.0,False,0.6621019840240479
295,left,mirror,-32.0,True,0.766448974609375
296,right,mirror,-16.0,False,0.47351908683776855
297,right,mirror,-16.0,False,0.5934381484985352
298,left,log,-24.0,True,0.47443604469299316
299,right,log,40.0,True,1.3275530338287354
300,left,log,-40.0,True,0.9583930969238281
301,right,mirror,24.0,True,1.1101229190826416
302,left,mirror,16.0,False,0.9371540546417236
303,left,mirror,8.0,False,1.0234320163726807
304,left,mirror,-16.0,True,0.6249148845672607
305,right,mirror,-8.0,False,0.7153847217559814
306,right,log,32.0,True,0.6447649002075195
307,left,log,24.0,False,0.5742671489715576
308,left,log,-40.0,True,0.5421292781829834
309,right,mirror,24.0,True,0.7622048854827881
310,left,mirror,-40.0,True,0.7532269954681396
311,right,mirror,-40.0,False,0.6711287498474121
312,right,log,32.0,True,0.8896849155426025
313,right,mirror,-8.0,False,1.0119469165802002
314,right,mirror,0.0,False,0.657289981842041
315,right,log,40.0,True,0.7497439384460449
316,left,log,-32.0,True,0.7420108318328857
317,right,mirror,8.0,True,0.469235897064209
318,right,mirror,32.0,True,0.596423864364624
319,right,log,40.0,True,0.5001959800720215
320,left,mirror,-16.0,True,0.865839958190918
321,right,log,32.0,True,2.513766050338745
322,left,mirror,-32.0,True,0.8103857040405273
323,right,log,0.0,False,1.1600079536437988
324,left,mirror,-8.0,True,1.8757293224334717
325,right,log,32.0,True,0.5573654174804688
326,left,log,-24.0,True,0.6694850921630859
327,right,mirror,40.0,True,0.5415360927581787
328,left,log,-16.0,True,0.6955041885375977
329,right,log,0.0,False,0.8116061687469482
330,left,log,-8.0,True,0.5482749938964844
331,right,log,-16.0,False,0.6349859237670898
332,left,log,-16.0,True,0.5109319686889648
333,left,mirror,-40.0,True,0.6059370040893555
334,right,mirror,-32.0,False,0.3369019031524658
335,right,mirror,-32.0,False,0.9187288284301758
336,right,log,40.0,True,0.6740739345550537
337,left,log,-8.0,True,1.6632080078125
338,right,mirror,40.0,True,0.6368508338928223
339,left,mirror,24.0,False,0.5101108551025391
340,left,log,-24.0,True,0.5822229385375977
341,right,log,8.0,True,0.4887871742248535
342,left,log,16.0,False,0.8569018840789795
343,right,mirror,24.0,True,0.8562188148498535
344,left,log,-40.0,True,1.0150010585784912
345,right,mirror,-40.0,False,0.8977169990539551
346,right,log,32.0,True,0.8050532341003418
347,right,mirror,8.0,True,0.7447969913482666
348,right,log,8.0,True,1.1001338958740234
349,left,log,-24.0,True,1.3234450817108154
350,right,mirror,8.0,True,0.9492390155792236
351,left,mirror,-8.0,True,0.6617598533630371
352,right,mirror,32.0,True,0.9934089183807373
353,left,mirror,-40.0,True,0.5267131328582764
354,right,mirror,-16.0,False,0.6311001777648926
355,right,mirror,32.0,True,0.6839258670806885
356,right,log,16.0,True,0.9786717891693115
357,left,log,24.0,False,0.5095958709716797
358,left,mirror,-24.0,True,0.5559947490692139
359,left,log,-40.0,True,0.37225794792175293
360,right,mirror,0.0,False,0.7522680759429932
361,left,log,-16.0,True,0.6419868469238281
362,right,mirror,-32.0,False,0.7030198574066162
363,right,log,32.0,True,0.6546392440795898
364,left,log,40.0,False,0.5557131767272949
365,left,log,40.0,False,0.524036169052124
366,left,log,32.0,False,0.5901179313659668
367,right,mirror,0.0,False,0.6379489898681641
368,right,mirror,8.0,True,0.5380222797393799
369,left,mirror,-24.0,True,1.0005578994750977
370,left,log,0.0,False,0.5498230457305908
371,left,mirror,-24.0,True,0.8287882804870605
372,right,log,-40.0,False,0.7185189723968506
373,right,log,-40.0,False,0.42073702812194824
374,right,log,16.0,True,0.5842187404632568
375,left,mirror,0.0,False,0.5922789573669434
376,right,mirror,32.0,True,0.5055928230285645
377,left,log,-32.0,True,0.4846498966217041
378,right,mirror,24.0,True,0.5095992088317871
379,right,log,16.0,True,0.7141318321228027
380,left,log,-16.0,True,0.5815248489379883
381,right,log,24.0,True,0.6038491725921631
382,right,mirror,8.0,True,0.7533061504364014
383,right,mirror,-32.0,False,0.8135559558868408
384,right,mirror,-16.0,False,0.5591387748718262
385,right,mirror,-24.0,False,0.4577939510345459
386,left,log,0.0,False,0.75901198387146
387,right,log,16.0,True,1.0289573669433594
388,right,mirror,40.0,True,0.613051176071167
389,left,log,-24.0,True,12.684283971786499
390,right,log,0.0,False,0.5028870105743408
391,left,mirror,-8.0,True,0.43446803092956543
392,left,log,-16.0,True,0.4739408493041992
393,right,log,8.0,True,0.3241398334503174
394,right,log,24.0,True,0.7586960792541504
395,left,mirror,0.0,False,0.6201190948486328
396,right,mirror,16.0,True,0.7884650230407715
397,left,mirror,-40.0,True,0.584996223449707
398,left,log,0.0,False,0.8008749485015869
399,right,log,16.0,True,0.415848970413208
