,Response,Test Stim,Test Speed,Correct,Time
0,left,mirror,-24.0,True,13.865369081497192
1,left,mirror,-8.0,True,0.6832120418548584
2,right,log,40.0,True,0.6268227100372314
3,left,mirror,-8.0,True,0.5571029186248779
4,left,log,-24.0,True,0.5743513107299805
5,right,log,40.0,True,0.47527503967285156
6,right,mirror,40.0,True,0.5683917999267578
7,left,mirror,16.0,False,1.2798428535461426
8,left,log,-32.0,True,0.5300018787384033
9,right,mirror,32.0,True,0.562371015548706
10,right,log,16.0,True,0.5942981243133545
11,left,log,-24.0,True,0.4914979934692383
12,right,log,24.0,True,0.5206699371337891
13,left,log,-24.0,True,0.814486026763916
14,left,mirror,-24.0,True,0.6463479995727539
15,left,log,-24.0,True,0.5137181282043457
16,right,log,16.0,True,0.846376895904541
17,left,mirror,8.0,False,0.6909000873565674
18,left,log,-8.0,True,0.4982891082763672
19,right,log,-32.0,False,0.7344820499420166
20,right,mirror,0.0,False,0.624518871307373
21,right,mirror,8.0,True,0.7053830623626709
22,right,log,32.0,True,0.5028562545776367
23,right,mirror,32.0,True,0.62276291847229
24,left,log,-16.0,True,0.585134744644165
25,right,mirror,24.0,True,0.591022253036499
26,right,log,32.0,True,0.6580240726470947
27,right,log,40.0,True,0.5984561443328857
28,left,mirror,-32.0,True,0.47454118728637695
29,right,log,40.0,True,0.44163990020751953
30,right,log,8.0,True,0.5887479782104492
31,left,mirror,-40.0,True,0.6963269710540771
32,right,log,0.0,False,0.7423970699310303
33,left,log,-16.0,True,0.6784131526947021
34,left,log,-8.0,True,0.7564888000488281
35,left,log,-8.0,True,0.47881102561950684
36,left,log,-24.0,True,0.6819050312042236
37,right,log,32.0,True,0.49730420112609863
38,right,mirror,24.0,True,0.5419480800628662
39,left,log,-8.0,True,0.5311300754547119
40,right,mirror,40.0,True,0.5099179744720459
41,left,mirror,-24.0,True,0.5443449020385742
42,left,mirror,-24.0,True,0.6003718376159668
43,left,mirror,-40.0,True,0.5170440673828125
44,right,log,0.0,False,0.7434799671173096
45,left,log,0.0,False,0.6531569957733154
46,right,log,16.0,True,0.6737692356109619
47,right,mirror,40.0,True,0.43688297271728516
48,right,log,32.0,True,1.0056688785552979
49,left,mirror,-24.0,True,1.0650510787963867
50,right,mirror,40.0,True,0.4399831295013428
51,left,mirror,-24.0,True,0.6485331058502197
52,right,log,40.0,True,0.6399180889129639
53,right,mirror,32.0,True,0.4329848289489746
54,left,log,-24.0,True,0.5516798496246338
55,left,log,16.0,False,0.7847950458526611
56,left,log,-24.0,True,0.5934669971466064
57,right,mirror,24.0,True,0.754755973815918
58,left,mirror,-40.0,True,0.6626181602478027
59,left,log,-32.0,True,0.5004706382751465
60,right,log,32.0,True,0.5098140239715576
61,right,mirror,16.0,True,0.4351811408996582
62,left,log,0.0,False,1.5402419567108154
63,right,mirror,-8.0,False,0.6334898471832275
64,right,log,24.0,True,0.559053897857666
65,right,mirror,8.0,True,0.4877140522003174
66,left,mirror,-32.0,True,0.4948239326477051
67,right,mirror,8.0,True,0.964583158493042
68,left,log,-40.0,True,1.096660852432251
69,left,mirror,-16.0,True,0.5107200145721436
70,right,log,16.0,True,0.5726780891418457
71,left,mirror,-32.0,True,0.517531156539917
72,right,mirror,16.0,True,0.5838689804077148
73,right,log,24.0,True,0.5719871520996094
74,left,log,-32.0,True,0.6593489646911621
75,left,log,-40.0,True,0.5714998245239258
76,left,log,0.0,False,0.6339480876922607
77,left,log,-32.0,True,0.6094601154327393
78,right,mirror,0.0,False,1.7588610649108887
79,left,mirror,-16.0,True,0.9242918491363525
80,left,log,16.0,False,0.8076171875
81,right,mirror,0.0,False,0.5807158946990967
82,left,mirror,0.0,False,0.7074720859527588
83,left,log,0.0,False,0.7017762660980225
84,right,log,32.0,True,0.5389890670776367
85,left,mirror,-32.0,True,0.434232234954834
86,left,mirror,-40.0,True,0.6981368064880371
87,right,log,16.0,True,0.6229419708251953
88,left,mirror,-8.0,True,0.43228697776794434
89,left,log,-32.0,True,0.6172599792480469
90,right,log,32.0,True,0.4847698211669922
91,right,log,8.0,True,0.48811793327331543
92,left,log,-8.0,True,0.6182901859283447
93,right,log,24.0,True,0.48894524574279785
94,left,log,-32.0,True,0.486156702041626
95,right,mirror,16.0,True,0.3788721561431885
96,right,mirror,-16.0,False,0.7381548881530762
97,right,log,8.0,True,0.5670199394226074
98,right,mirror,-16.0,False,0.6500580310821533
99,left,mirror,-32.0,True,0.5049617290496826
100,left,log,-24.0,True,0.5146229267120361
101,left,log,-16.0,True,0.524507999420166
102,right,mirror,32.0,True,0.4486079216003418
103,right,mirror,-24.0,False,0.6139309406280518
104,right,mirror,16.0,True,0.5529532432556152
105,left,log,-32.0,True,0.40180206298828125
106,right,mirror,24.0,True,0.47492122650146484
107,right,mirror,0.0,False,0.5519678592681885
108,right,log,8.0,True,0.6434040069580078
109,right,mirror,24.0,True,0.4685640335083008
110,right,log,40.0,True,0.5822341442108154
111,right,mirror,-8.0,False,0.7891678810119629
112,right,mirror,0.0,False,0.5598878860473633
113,left,log,-40.0,True,0.5614001750946045
114,right,mirror,8.0,True,0.44682908058166504
115,left,log,0.0,False,0.41846394538879395
116,right,log,24.0,True,0.4698631763458252
117,left,mirror,-24.0,True,0.8494670391082764
118,right,log,32.0,True,0.531080961227417
119,left,log,-32.0,True,0.47857213020324707
120,left,mirror,-32.0,True,0.5504581928253174
121,left,mirror,-24.0,True,0.5570931434631348
122,left,log,-40.0,True,0.6509890556335449
123,left,mirror,-16.0,True,0.47014498710632324
124,right,mirror,40.0,True,0.3893558979034424
125,right,log,32.0,True,0.6450748443603516
126,right,log,8.0,True,0.4849519729614258
127,right,log,16.0,True,0.5205729007720947
128,left,mirror,-8.0,True,0.5098230838775635
129,right,mirror,40.0,True,0.4916810989379883
130,right,mirror,32.0,True,0.48804306983947754
131,right,mirror,-40.0,False,0.6635761260986328
132,left,log,16.0,False,1.3627870082855225
133,right,mirror,8.0,True,0.6462361812591553
134,right,log,32.0,True,0.9860429763793945
135,right,log,0.0,False,0.6665573120117188
136,right,mirror,32.0,True,0.5069231986999512
137,right,mirror,0.0,False,0.4586951732635498
138,right,log,40.0,True,0.4044978618621826
139,left,mirror,-40.0,True,0.46979284286499023
140,left,log,-32.0,True,0.688852071762085
141,right,mirror,16.0,True,0.5125019550323486
142,right,mirror,32.0,True,0.4477119445800781
143,right,mirror,24.0,True,0.4168071746826172
