,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,right,mirror,40.0,True,0.8332085609436035,1.0
1,right,mirror,8.0,True,0.6652987003326416,1.0
2,left,mirror,-8.0,True,0.8675074577331543,1.0
3,left,log,-40.0,True,0.5161693096160889,1.0
4,right,mirror,8.0,True,0.5176162719726562,1.0
5,right,mirror,16.0,True,0.5152430534362793,1.0
6,left,mirror,-40.0,True,0.5503923892974854,0.8714285714285714
7,left,log,-32.0,True,0.5001609325408936,0.8714285714285714
8,left,log,-24.0,True,0.48356127738952637,0.8714285714285714
9,right,mirror,8.0,True,0.49865198135375977,0.8714285714285714
10,right,mirror,24.0,True,0.5166473388671875,0.8714285714285714
11,right,mirror,8.0,True,0.5498321056365967,0.8714285714285714
12,right,mirror,24.0,True,0.4848341941833496,0.7428571428571429
13,left,log,-24.0,True,0.4490163326263428,0.7428571428571429
14,left,mirror,-32.0,True,0.5149245262145996,0.7428571428571429
15,right,log,32.0,True,0.416170597076416,0.7428571428571429
16,left,mirror,-16.0,True,0.4495410919189453,0.7428571428571429
17,right,log,32.0,True,0.46668052673339844,0.7428571428571429
18,left,log,0.0,False,1.4429059028625488,0.6142857142857142
19,right,log,32.0,True,0.4826188087463379,0.6142857142857142
20,right,mirror,24.0,True,0.5970027446746826,0.6142857142857142
21,right,mirror,16.0,True,0.566680908203125,0.6142857142857142
22,right,mirror,40.0,True,0.48273372650146484,0.6142857142857142
23,right,mirror,-24.0,False,0.5003945827484131,0.6142857142857142
24,right,mirror,32.0,True,0.5807476043701172,0.6142857142857142
25,left,mirror,16.0,False,1.140439510345459,0.6142857142857142
26,left,log,-24.0,True,0.6529057025909424,0.6142857142857142
27,right,log,8.0,True,0.8522868156433105,0.6142857142857142
28,left,mirror,-24.0,True,4.585736274719238,0.6142857142857142
29,right,mirror,32.0,True,0.6330599784851074,0.6142857142857142
30,right,log,8.0,True,1.709911584854126,0.6142857142857142
31,left,log,-32.0,True,0.8461005687713623,0.6142857142857142
32,right,log,16.0,True,0.9647090435028076,0.6142857142857142
33,left,log,-32.0,True,0.6340055465698242,0.48571428571428565
34,right,log,16.0,True,1.0346229076385498,0.48571428571428565
35,right,mirror,32.0,True,0.5748624801635742,0.48571428571428565
36,right,mirror,8.0,True,0.8444669246673584,0.48571428571428565
37,left,log,8.0,False,0.6116142272949219,0.48571428571428565
38,left,mirror,0.0,False,0.9229738712310791,0.48571428571428565
39,right,mirror,40.0,True,0.5080459117889404,0.48571428571428565
40,left,log,-32.0,True,0.5489721298217773,0.48571428571428565
41,right,mirror,40.0,True,0.5169205665588379,0.48571428571428565
42,left,log,-32.0,True,6.3973634243011475,0.48571428571428565
43,right,mirror,8.0,True,0.8033196926116943,0.3571428571428571
44,left,log,40.0,False,0.4740750789642334,0.3571428571428571
45,left,mirror,-32.0,True,0.5531327724456787,0.3571428571428571
46,right,log,8.0,True,0.6542861461639404,0.3571428571428571
47,left,log,-40.0,True,0.48418307304382324,0.3571428571428571
48,left,mirror,-24.0,True,0.5336060523986816,0.3571428571428571
49,left,mirror,-40.0,True,0.4742288589477539,0.22857142857142843
50,right,log,32.0,True,0.48474597930908203,0.22857142857142843
51,right,log,24.0,True,0.49452996253967285,0.22857142857142843
52,right,log,40.0,True,0.5258266925811768,0.22857142857142843
53,right,mirror,24.0,True,0.6536743640899658,0.22857142857142843
54,right,mirror,8.0,True,0.7855198383331299,0.22857142857142843
55,right,mirror,40.0,True,0.47573018074035645,0.1
56,right,log,8.0,True,0.604874849319458,0.1
57,left,log,-8.0,True,0.5943200588226318,0.1
58,left,mirror,-32.0,True,0.9459197521209717,0.1
59,right,log,32.0,True,0.49527859687805176,0.1
60,left,mirror,-24.0,True,0.5151076316833496,0.1
