,Response,Test Stim,Test Speed,Correct,Time
0,right,log,0.0,False,0.6326079368591309
1,left,log,-24.0,True,0.8703739643096924
2,right,mirror,40.0,True,0.6523032188415527
3,left,mirror,16.0,False,0.6077032089233398
4,right,mirror,40.0,True,0.5813074111938477
5,left,log,-32.0,True,0.5661652088165283
6,right,mirror,16.0,True,0.5229198932647705
7,left,mirror,8.0,False,0.4988889694213867
8,right,log,8.0,True,0.5793592929840088
9,left,log,8.0,False,0.5909419059753418
10,left,log,-40.0,True,0.6332125663757324
11,right,log,-24.0,False,0.48417139053344727
12,right,mirror,8.0,True,0.6882867813110352
13,left,mirror,-24.0,True,0.7602946758270264
14,right,log,8.0,True,0.7829477787017822
15,left,mirror,-16.0,True,0.5889182090759277
16,right,mirror,32.0,True,0.7113878726959229
17,left,log,-16.0,True,0.6005306243896484
18,right,log,0.0,False,0.5318548679351807
19,left,mirror,-40.0,True,0.5827913284301758
20,right,mirror,40.0,True,0.6173095703125
21,left,mirror,-40.0,True,0.5807983875274658
22,right,mirror,16.0,True,0.5792531967163086
23,right,mirror,40.0,True,0.6106758117675781
24,left,mirror,8.0,False,0.584259033203125
25,right,log,0.0,False,0.6702127456665039
26,left,mirror,0.0,False,2.005286931991577
27,right,mirror,32.0,True,0.7496395111083984
28,right,log,0.0,False,0.6916022300720215
29,right,log,16.0,True,0.6293604373931885
30,left,mirror,-16.0,True,0.6903378963470459
31,right,log,40.0,True,0.7199547290802002
32,left,log,-8.0,True,0.5896999835968018
33,left,log,-32.0,True,0.6571145057678223
34,right,log,0.0,False,0.6386110782623291
35,right,log,32.0,True,0.6581735610961914
36,right,mirror,8.0,True,0.5589203834533691
37,right,mirror,16.0,True,0.571997880935669
38,right,log,32.0,True,0.5553319454193115
39,right,mirror,8.0,True,0.6970152854919434
40,right,log,32.0,True,0.44719505310058594
41,left,log,-32.0,True,0.5528216361999512
42,left,mirror,-8.0,True,0.6770620346069336
43,left,mirror,-16.0,True,0.6498031616210938
44,left,mirror,-24.0,True,7.453172445297241
45,right,log,0.0,False,0.6338455677032471
46,left,log,-32.0,True,0.5993709564208984
