,Response,Test Stim,Test Speed,Correct,Time
0,left,log,-40.0,True,0.533125638961792
1,right,log,32.0,True,0.3602440357208252
2,right,log,24.0,True,0.40103793144226074
3,left,log,-24.0,True,0.42821407318115234
4,left,mirror,-16.0,True,0.5946881771087646
5,left,log,-24.0,True,0.4520900249481201
6,left,log,-32.0,True,0.4923102855682373
7,right,mirror,24.0,True,0.41422390937805176
8,right,mirror,8.0,True,0.8064863681793213
9,left,mirror,-24.0,True,0.3721191883087158
10,left,mirror,-16.0,True,0.4450533390045166
11,right,log,8.0,True,0.3937418460845947
12,left,mirror,-24.0,True,0.36371660232543945
13,left,log,-8.0,True,0.6699907779693604
14,left,mirror,-32.0,True,0.447551965713501
15,right,mirror,16.0,True,0.32831811904907227
16,left,log,-24.0,True,0.3562963008880615
17,left,log,-40.0,True,0.5234336853027344
18,left,log,-40.0,True,0.5021040439605713
19,right,mirror,24.0,True,0.3987424373626709
20,right,log,16.0,True,0.42977476119995117
21,left,log,-8.0,True,0.3978588581085205
22,right,log,8.0,True,0.441051721572876
23,right,log,32.0,True,0.3840157985687256
24,left,mirror,-24.0,True,0.3526308536529541
25,left,mirror,-8.0,True,0.5192210674285889
26,right,mirror,16.0,True,0.4030184745788574
27,left,log,-8.0,True,0.4231300354003906
28,right,log,16.0,True,0.3882741928100586
29,right,mirror,16.0,True,1.658419132232666
30,left,log,-32.0,True,0.5698812007904053
31,right,mirror,40.0,True,0.3803408145904541
32,right,mirror,16.0,True,0.4293510913848877
33,right,log,0.0,False,0.6002678871154785
34,right,log,40.0,True,0.4643983840942383
35,left,log,-16.0,True,0.4160773754119873
36,right,mirror,32.0,True,0.3587477207183838
37,left,log,-16.0,True,0.5284421443939209
38,left,mirror,8.0,False,0.5082957744598389
39,right,log,32.0,True,1.1613447666168213
40,right,log,32.0,True,0.44216394424438477
41,left,mirror,-16.0,True,0.3411839008331299
42,right,log,-40.0,False,0.34349846839904785
43,left,log,-32.0,True,0.40648722648620605
44,left,mirror,0.0,False,0.7147231101989746
45,right,mirror,40.0,True,0.35576653480529785
46,right,log,16.0,True,0.43608999252319336
47,right,log,40.0,True,0.3718090057373047
48,right,log,8.0,True,0.4883909225463867
49,left,mirror,-16.0,True,0.3385803699493408
50,right,log,40.0,True,0.3058350086212158
51,left,log,-8.0,True,0.43192458152770996
52,right,log,40.0,True,0.3878326416015625
53,right,mirror,40.0,True,0.49500393867492676
54,left,mirror,0.0,False,0.4920041561126709
55,left,log,-16.0,True,0.4698801040649414
56,left,mirror,-32.0,True,0.4686102867126465
57,left,mirror,-32.0,True,0.4643068313598633
58,right,mirror,16.0,True,0.424623966217041
59,left,mirror,-24.0,True,0.3585059642791748
60,right,log,8.0,True,0.4623532295227051
61,right,mirror,16.0,True,0.3806588649749756
62,right,mirror,32.0,True,0.4369220733642578
63,left,mirror,-16.0,True,0.38744211196899414
64,left,mirror,-32.0,True,0.43471765518188477
65,left,mirror,-32.0,True,0.4643435478210449
66,left,log,-24.0,True,0.40152597427368164
67,left,log,-16.0,True,0.47239136695861816
68,right,log,16.0,True,0.3687930107116699
69,right,mirror,32.0,True,0.3799612522125244
70,right,mirror,40.0,True,0.3988826274871826
71,right,mirror,16.0,True,0.4469645023345947
72,right,log,0.0,False,1.1762287616729736
73,right,log,0.0,False,0.9623925685882568
74,left,mirror,0.0,False,0.8702998161315918
75,left,mirror,0.0,False,8.712886095046997
76,right,log,40.0,True,0.4862990379333496
77,left,log,-16.0,True,0.45082998275756836
78,right,mirror,16.0,True,0.36701321601867676
79,right,mirror,24.0,True,0.3709878921508789
80,right,mirror,32.0,True,0.3983006477355957
81,right,mirror,32.0,True,0.611975908279419
82,left,mirror,-8.0,True,0.6122159957885742
83,left,mirror,-16.0,True,0.41606926918029785
84,right,mirror,40.0,True,0.3205254077911377
85,right,log,8.0,True,0.6029996871948242
86,right,mirror,8.0,True,0.888329267501831
87,left,mirror,-40.0,True,0.35871434211730957
88,right,mirror,-32.0,False,0.38400721549987793
89,left,mirror,-40.0,True,0.3993189334869385
90,right,log,16.0,True,0.47486257553100586
91,left,mirror,-32.0,True,0.37490034103393555
92,right,log,24.0,True,0.5823750495910645
93,left,mirror,-24.0,True,6.661102533340454
94,right,mirror,16.0,True,0.3979010581970215
95,left,mirror,-24.0,True,0.3697683811187744
96,right,log,24.0,True,0.34242725372314453
97,left,log,-16.0,True,0.43175840377807617
98,left,log,-24.0,True,0.4506185054779053
99,left,mirror,-16.0,True,0.40287113189697266
100,right,log,16.0,True,0.376894474029541
101,left,log,-24.0,True,0.31850171089172363
102,right,log,16.0,True,0.28966593742370605
103,right,log,8.0,True,0.49765467643737793
104,right,log,32.0,True,0.3818550109863281
105,left,mirror,-32.0,True,0.3632781505584717
106,right,mirror,32.0,True,0.38069725036621094
107,right,log,40.0,True,0.4197413921356201
108,left,mirror,0.0,False,0.575110912322998
109,right,mirror,32.0,True,0.35782885551452637
110,right,log,24.0,True,0.36179041862487793
111,left,mirror,-16.0,True,0.36814165115356445
112,right,log,40.0,True,0.31351161003112793
113,right,log,40.0,True,0.5312793254852295
114,right,mirror,40.0,True,0.3788950443267822
115,left,mirror,-24.0,True,0.38433408737182617
116,left,mirror,-24.0,True,0.47336411476135254
117,right,mirror,24.0,True,0.37125277519226074
118,left,mirror,8.0,False,0.6548564434051514
119,left,log,-16.0,True,0.5029847621917725
120,left,log,-32.0,True,0.4799818992614746
121,right,log,16.0,True,0.42009878158569336
122,left,log,0.0,False,0.6179625988006592
123,right,mirror,32.0,True,0.36393237113952637
124,right,mirror,8.0,True,0.460674524307251
125,right,log,24.0,True,0.4664177894592285
126,right,log,32.0,True,0.4436154365539551
127,left,mirror,-40.0,True,0.4431495666503906
128,left,log,-40.0,True,0.5489208698272705
129,left,log,0.0,False,0.4966106414794922
130,right,log,32.0,True,0.2994976043701172
131,left,log,-24.0,True,0.3396031856536865
132,right,mirror,40.0,True,0.3699185848236084
133,left,log,-8.0,True,0.35004353523254395
134,left,log,-8.0,True,0.5121941566467285
135,left,log,-16.0,True,0.4827687740325928
136,right,log,16.0,True,0.3127124309539795
137,right,log,16.0,True,0.44870471954345703
138,left,mirror,0.0,False,0.4845266342163086
139,left,mirror,-16.0,True,0.4344620704650879
140,right,log,40.0,True,0.3129456043243408
141,left,mirror,-32.0,True,0.3237900733947754
142,right,log,0.0,False,0.3397691249847412
143,right,log,24.0,True,0.3679187297821045
144,right,log,24.0,True,0.46962904930114746
145,left,log,-16.0,True,0.3643150329589844
146,left,log,-24.0,True,0.4723212718963623
147,right,log,-24.0,False,0.3077988624572754
148,right,log,32.0,True,0.4134953022003174
149,left,log,0.0,False,0.4923725128173828
150,right,log,32.0,True,0.34471988677978516
151,left,mirror,-8.0,True,0.46164464950561523
152,right,log,8.0,True,0.3132138252258301
153,left,log,-40.0,True,0.4085195064544678
154,right,mirror,24.0,True,0.3614354133605957
155,right,log,8.0,True,1.4788146018981934
156,left,mirror,-40.0,True,0.35635900497436523
