,Response,Test Stim,Test Speed,Correct,Time
0,left,log,-8.0,True,1.4214200973510742
1,left,mirror,-40.0,True,0.7705538272857666
2,right,mirror,-40.0,False,1.4992198944091797
3,right,log,16.0,True,1.5881288051605225
4,right,log,16.0,True,1.835960865020752
5,left,mirror,8.0,False,1.12062668800354
6,right,mirror,16.0,True,1.0820832252502441
7,right,mirror,32.0,True,0.7922830581665039
8,left,mirror,0.0,False,1.4257757663726807
9,right,log,24.0,True,0.6163625717163086
10,left,mirror,-24.0,True,0.7315444946289062
11,right,mirror,40.0,True,0.5468001365661621
12,left,log,-8.0,True,0.7153780460357666
13,left,mirror,-24.0,True,0.5939722061157227
14,right,mirror,-32.0,False,0.7573490142822266
15,right,mirror,40.0,True,0.5839815139770508
16,left,mirror,24.0,False,0.7940883636474609
17,right,mirror,32.0,True,0.7482917308807373
18,left,log,-16.0,True,0.5245473384857178
19,left,mirror,-32.0,True,0.6671483516693115
20,right,mirror,-24.0,False,0.6411442756652832
21,right,mirror,0.0,False,0.6022341251373291
22,left,mirror,-8.0,True,0.7812960147857666
23,left,log,-16.0,True,1.3232481479644775
24,right,mirror,0.0,False,1.4157323837280273
25,right,log,16.0,True,0.6479923725128174
26,right,mirror,32.0,True,0.6499843597412109
27,right,log,0.0,False,1.0072314739227295
28,right,log,40.0,True,0.7691712379455566
29,left,mirror,-16.0,True,0.6524381637573242
30,right,log,8.0,True,0.6386795043945312
31,left,log,-16.0,True,0.5704917907714844
32,left,log,-40.0,True,0.6704974174499512
33,right,log,32.0,True,0.5292093753814697
34,left,log,24.0,False,0.7150788307189941
35,left,mirror,-24.0,True,0.5390527248382568
36,left,log,-8.0,True,0.6204190254211426
37,left,mirror,-40.0,True,0.6148126125335693
38,right,mirror,0.0,False,0.43971991539001465
39,left,log,-24.0,True,0.609217643737793
40,left,mirror,-8.0,True,0.4731614589691162
41,right,log,16.0,True,1.2925844192504883
42,right,mirror,32.0,True,0.4893381595611572
43,left,mirror,-32.0,True,0.5152938365936279
44,left,log,-32.0,True,0.6151235103607178
45,right,log,-24.0,False,0.5113263130187988
46,right,log,40.0,True,0.5053062438964844
47,right,log,40.0,True,0.9775581359863281
48,left,mirror,0.0,False,0.7354772090911865
49,left,log,-40.0,True,0.754765510559082
50,left,mirror,-40.0,True,0.8169770240783691
51,left,log,-24.0,True,0.7132227420806885
52,left,mirror,-24.0,True,0.7524874210357666
53,left,log,-32.0,True,0.7460083961486816
54,right,log,-24.0,False,0.7066230773925781
55,right,mirror,8.0,True,0.6845846176147461
56,left,log,-16.0,True,0.7432634830474854
57,left,log,-40.0,True,0.7190308570861816
58,left,mirror,-40.0,True,0.6142716407775879
59,left,log,0.0,False,1.0119643211364746
60,left,mirror,-16.0,True,1.8731989860534668
61,right,mirror,40.0,True,1.194427251815796
62,left,mirror,16.0,False,1.2962114810943604
63,left,mirror,-32.0,True,1.5031943321228027
64,right,log,24.0,True,1.489006519317627
65,left,log,0.0,False,2.392608642578125
66,left,log,-32.0,True,1.3108735084533691
67,right,log,24.0,True,1.2328300476074219
68,left,mirror,-40.0,True,1.6331226825714111
69,right,mirror,32.0,True,0.4509146213531494
70,left,mirror,8.0,False,0.6186459064483643
71,right,log,32.0,True,0.5865545272827148
72,left,mirror,-40.0,True,0.5964381694793701
73,right,mirror,0.0,False,0.520604133605957
74,right,mirror,40.0,True,0.6598236560821533
75,left,mirror,-16.0,True,0.562279462814331
76,left,log,-24.0,True,0.8173515796661377
77,left,mirror,-16.0,True,0.5749921798706055
78,left,log,-40.0,True,0.5673582553863525
79,right,mirror,8.0,True,0.627159833908081
80,right,mirror,24.0,True,0.7259819507598877
81,right,log,16.0,True,0.7076261043548584
82,right,mirror,32.0,True,0.5498383045196533
83,left,mirror,-32.0,True,0.6501772403717041
84,right,mirror,24.0,True,0.5735602378845215
85,left,mirror,-16.0,True,0.6455605030059814
86,right,mirror,-24.0,False,1.0214807987213135
87,right,log,40.0,True,0.6478416919708252
88,left,log,-40.0,True,0.5804264545440674
89,right,log,40.0,True,0.5264918804168701
90,left,log,-32.0,True,0.5968649387359619
91,right,log,8.0,True,0.5031793117523193
92,right,log,8.0,True,1.7371952533721924
93,right,mirror,0.0,False,1.2125864028930664
94,left,log,-32.0,True,0.7349262237548828
95,right,log,-16.0,False,0.5034997463226318
96,right,mirror,40.0,True,0.6004538536071777
97,right,log,8.0,True,1.0134344100952148
98,right,log,40.0,True,0.6538388729095459
99,left,log,32.0,False,0.5575950145721436
100,left,mirror,-32.0,True,1.2748894691467285
101,right,mirror,-32.0,False,0.5056414604187012
102,right,mirror,0.0,False,0.48151516914367676
103,right,mirror,32.0,True,0.5046408176422119
104,left,mirror,-40.0,True,0.5137090682983398
105,right,mirror,-16.0,False,0.5127468109130859
106,left,log,-40.0,True,0.5942504405975342
107,right,mirror,32.0,True,0.5053515434265137
108,right,mirror,16.0,True,0.875648021697998
109,right,log,32.0,True,0.5578944683074951
110,left,mirror,-8.0,True,0.8859982490539551
111,left,mirror,-24.0,True,1.6912531852722168
112,right,mirror,-8.0,False,1.4644253253936768
113,left,mirror,-40.0,True,1.4100286960601807
114,right,log,40.0,True,1.6505861282348633
115,left,mirror,-32.0,True,1.3542063236236572
116,right,mirror,24.0,True,1.2067875862121582
117,left,mirror,-8.0,True,1.2166392803192139
118,left,log,-32.0,True,1.242915153503418
119,right,log,40.0,True,0.3369169235229492
120,left,log,-16.0,True,0.3259899616241455
121,right,log,-8.0,False,0.3082256317138672
122,right,log,-8.0,False,0.3137392997741699
123,left,mirror,0.0,False,0.5215137004852295
124,right,mirror,32.0,True,0.3828597068786621
125,left,log,-16.0,True,0.5600249767303467
126,right,log,32.0,True,0.42397522926330566
127,left,log,-8.0,True,0.5295228958129883
128,right,log,32.0,True,0.502777099609375
129,left,mirror,-24.0,True,0.5136516094207764
130,right,mirror,0.0,False,0.449786901473999
131,left,log,-16.0,True,0.5837688446044922
132,right,log,32.0,True,0.5081334114074707
133,right,mirror,40.0,True,0.510995626449585
134,left,log,-40.0,True,0.527061939239502
