,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,left,log,-8.0,True,1.0497827529907227,1.0
1,left,log,-32.0,True,0.6627833843231201,1.0
2,right,mirror,32.0,True,0.6823070049285889,1.0
3,left,mirror,-40.0,True,0.5662064552307129,1.0
4,right,log,32.0,True,0.5324711799621582,1.0
5,right,mirror,8.0,True,0.7660684585571289,1.0
6,left,mirror,-32.0,True,0.7496504783630371,0.8714285714285714
7,left,log,-40.0,True,0.6326477527618408,0.8714285714285714
8,right,log,32.0,True,0.549217939376831,0.8714285714285714
9,left,log,-16.0,True,0.49959254264831543,0.8714285714285714
10,left,log,-8.0,True,0.582406759262085,0.8714285714285714
11,left,mirror,-8.0,True,0.6493034362792969,0.8714285714285714
12,right,mirror,32.0,True,0.4995992183685303,0.7428571428571429
13,left,mirror,-8.0,True,0.5498490333557129,0.7428571428571429
14,left,mirror,-40.0,True,0.5331540107727051,0.7428571428571429
15,left,mirror,-32.0,True,0.49950361251831055,0.7428571428571429
16,left,mirror,-16.0,True,0.5991220474243164,0.7428571428571429
17,right,log,16.0,True,0.7492537498474121,0.7428571428571429
18,left,log,-40.0,True,0.49915480613708496,0.6142857142857142
19,space,log,16.0,False,44.99276256561279,0.6142857142857142
20,left,log,-16.0,True,1.3420612812042236,0.6142857142857142
21,left,mirror,-16.0,True,0.8044281005859375,0.6142857142857142
22,right,mirror,32.0,True,0.4525160789489746,0.6142857142857142
23,right,mirror,0.0,False,1.728480339050293,0.6142857142857142
24,left,log,-8.0,True,0.7118642330169678,0.6142857142857142
25,left,log,-40.0,True,0.558574914932251,0.6142857142857142
26,left,mirror,0.0,False,0.9003422260284424,0.6142857142857142
27,right,log,24.0,True,0.6674816608428955,0.6142857142857142
28,left,log,-8.0,True,0.5929334163665771,0.6142857142857142
29,space,log,-16.0,False,6.495164155960083,0.6142857142857142
30,right,log,16.0,True,0.6215589046478271,0.6142857142857142
31,right,log,24.0,True,0.6160197257995605,0.6142857142857142
32,left,log,-40.0,True,0.549290657043457,0.6142857142857142
33,right,mirror,40.0,True,0.49895262718200684,0.6142857142857142
34,right,log,32.0,True,0.5035293102264404,0.6142857142857142
35,space,mirror,-8.0,False,8.63437795639038,0.6142857142857142
36,right,log,0.0,False,0.9377608299255371,0.6142857142857142
37,right,log,16.0,True,0.6286771297454834,0.6142857142857142
38,left,log,-16.0,True,0.5335767269134521,0.6142857142857142
39,right,log,40.0,True,0.5335183143615723,0.6142857142857142
40,right,log,16.0,True,0.48250889778137207,0.6142857142857142
41,left,log,0.0,False,0.9946918487548828,0.6142857142857142
42,left,log,-16.0,True,0.5053718090057373,0.6142857142857142
43,right,log,32.0,True,0.6793484687805176,0.6142857142857142
44,left,mirror,-32.0,True,0.5357413291931152,0.6142857142857142
45,left,log,-24.0,True,0.5653324127197266,0.6142857142857142
46,left,log,-40.0,True,0.4784965515136719,0.6142857142857142
47,space,log,-8.0,False,3.646791934967041,0.6142857142857142
48,right,log,0.0,False,0.9156284332275391,0.6142857142857142
49,right,mirror,16.0,True,0.6723625659942627,0.6142857142857142
50,right,mirror,40.0,True,0.4893321990966797,0.6142857142857142
51,right,log,40.0,True,0.6679670810699463,0.6142857142857142
52,right,mirror,24.0,True,0.6458685398101807,0.6142857142857142
53,left,log,-24.0,True,0.5315582752227783,0.6142857142857142
54,left,log,-32.0,True,0.5425670146942139,0.6142857142857142
55,left,mirror,-8.0,True,0.6286344528198242,0.6142857142857142
56,right,mirror,32.0,True,0.5332283973693848,0.6142857142857142
57,right,log,8.0,True,0.5652496814727783,0.6142857142857142
58,right,mirror,24.0,True,0.4321434497833252,0.6142857142857142
59,left,log,-8.0,True,0.5801041126251221,0.6142857142857142
60,left,log,-40.0,True,0.46648263931274414,0.6142857142857142
61,right,log,40.0,True,0.4990580081939697,0.6142857142857142
62,left,mirror,-16.0,True,0.5481781959533691,0.6142857142857142
63,right,log,40.0,True,0.46641993522644043,0.48571428571428565
64,right,log,16.0,True,0.4494783878326416,0.48571428571428565
65,left,log,-40.0,True,0.48342442512512207,0.48571428571428565
66,left,log,-16.0,True,0.5106034278869629,0.48571428571428565
67,left,log,-16.0,True,0.45657992362976074,0.48571428571428565
68,left,mirror,-32.0,True,0.5042209625244141,0.48571428571428565
69,right,log,8.0,True,0.5027446746826172,0.3571428571428571
70,right,log,0.0,False,0.570281982421875,0.3571428571428571
71,right,mirror,40.0,True,0.46844005584716797,0.3571428571428571
72,right,log,16.0,True,0.48607873916625977,0.3571428571428571
73,left,mirror,-8.0,True,0.598529577255249,0.3571428571428571
74,right,mirror,40.0,True,0.5033543109893799,0.3571428571428571
75,left,log,-8.0,True,0.7805619239807129,0.22857142857142843
76,right,mirror,32.0,True,0.461986780166626,0.22857142857142843
77,right,log,32.0,True,0.5194971561431885,0.22857142857142843
78,right,mirror,16.0,True,0.5449240207672119,0.22857142857142843
79,left,log,-16.0,True,0.6513934135437012,0.22857142857142843
80,right,mirror,32.0,True,0.4695920944213867,0.22857142857142843
81,right,log,0.0,False,0.6235260963439941,0.1
82,left,mirror,-32.0,True,0.7491374015808105,0.1
83,left,mirror,8.0,False,0.699817419052124,0.1
84,right,log,40.0,True,0.667020320892334,0.1
85,left,log,-24.0,True,1.0893423557281494,0.1
86,right,mirror,16.0,True,0.6967151165008545,0.1
87,right,log,0.0,False,0.8220140933990479,0.1
88,left,log,-8.0,True,0.9886460304260254,0.1
89,right,log,32.0,True,0.7373099327087402,0.1
90,right,log,24.0,True,0.5598671436309814,0.1
91,right,mirror,24.0,True,0.5570418834686279,0.1
92,left,mirror,0.0,False,0.6931772232055664,0.1
93,right,mirror,32.0,True,0.6328170299530029,0.1
94,right,log,16.0,True,0.5310897827148438,0.1
95,left,log,-24.0,True,0.719491720199585,0.1
96,left,log,-24.0,True,0.7060549259185791,0.1
97,left,log,-32.0,True,0.6793839931488037,0.1
98,right,log,40.0,True,0.8350205421447754,0.1
99,right,log,24.0,True,0.7609033584594727,0.1
100,right,log,16.0,True,0.68245530128479,0.1
