,Response,Test Stim,Test Speed,Correct,Time
0,left,log,-16.0,True,3.237203359603882
1,left,mirror,-8.0,True,3.2948031425476074
2,right,mirror,0.0,False,2.0797970294952393
3,left,log,-40.0,True,1.9497106075286865
4,right,mirror,16.0,True,2.2010350227355957
5,left,mirror,0.0,False,1.6913199424743652
6,left,mirror,-24.0,True,1.673011302947998
7,left,mirror,-40.0,True,3.153625726699829
8,right,log,24.0,True,2.8395557403564453
9,left,mirror,-32.0,True,1.801224946975708
10,left,log,-40.0,True,2.2566816806793213
11,right,mirror,16.0,True,1.4382925033569336
12,left,log,24.0,False,2.4727320671081543
13,left,mirror,-32.0,True,2.5295159816741943
14,right,mirror,40.0,True,1.3489339351654053
15,left,mirror,-24.0,True,1.5420963764190674
16,right,mirror,0.0,False,2.4648115634918213
17,right,log,40.0,True,1.160923957824707
18,left,mirror,-16.0,True,2.079909086227417
19,right,log,32.0,True,1.3804941177368164
20,left,log,40.0,False,1.4609854221343994
21,left,log,0.0,False,1.2812020778656006
22,left,mirror,-40.0,True,1.7855472564697266
23,right,mirror,16.0,True,1.6070621013641357
24,right,log,8.0,True,2.064793586730957
25,right,log,8.0,True,2.249232292175293
26,left,mirror,-32.0,True,1.3621320724487305
27,left,log,-24.0,True,1.6452717781066895
28,right,log,24.0,True,2.4469258785247803
29,left,log,8.0,False,1.2437644004821777
30,left,log,-40.0,True,1.3388700485229492
31,left,mirror,-16.0,True,2.3788485527038574
32,left,mirror,-24.0,True,1.781468391418457
33,right,log,-8.0,False,2.2202093601226807
34,right,log,-8.0,False,1.6123945713043213
35,left,mirror,-8.0,True,3.363287925720215
36,right,mirror,24.0,True,1.3163506984710693
37,left,log,-24.0,True,1.8867568969726562
38,right,log,-8.0,False,1.9006197452545166
39,left,mirror,-16.0,True,1.668238639831543
40,right,mirror,16.0,True,1.4782404899597168
41,right,log,40.0,True,1.5910067558288574
42,left,log,-24.0,True,1.590747594833374
43,right,log,16.0,True,1.5054149627685547
44,left,log,24.0,False,2.492692470550537
45,left,mirror,0.0,False,4.416982173919678
46,left,log,-16.0,True,1.6813230514526367
47,right,mirror,32.0,True,1.4018361568450928
48,right,log,24.0,True,3.0904901027679443
49,right,mirror,8.0,True,2.1517391204833984
50,left,mirror,8.0,False,2.411696195602417
51,left,log,-32.0,True,1.576291561126709
52,left,mirror,-32.0,True,1.6050913333892822
53,left,log,-8.0,True,2.7872252464294434
54,left,log,-8.0,True,2.1000964641571045
55,left,mirror,-8.0,True,2.5543086528778076
56,right,log,24.0,True,1.4611198902130127
57,left,mirror,-8.0,True,3.1248927116394043
58,left,mirror,-24.0,True,1.0705296993255615
59,right,mirror,-24.0,False,1.2028651237487793
60,right,mirror,8.0,True,1.2652196884155273
61,left,mirror,8.0,False,1.7466979026794434
62,left,mirror,-32.0,True,1.1596031188964844
63,right,mirror,24.0,True,1.2388179302215576
64,right,log,0.0,False,2.701387882232666
65,left,mirror,0.0,False,2.584019184112549
66,left,mirror,-32.0,True,1.1806414127349854
67,right,mirror,24.0,True,1.0924103260040283
68,left,log,-40.0,True,1.3665697574615479
69,left,mirror,0.0,False,1.610177755355835
70,right,log,8.0,True,2.178593873977661
71,left,mirror,-40.0,True,1.2329809665679932
72,left,log,0.0,False,1.608673095703125
73,left,mirror,0.0,False,1.4255459308624268
74,right,log,40.0,True,1.8305060863494873
75,right,mirror,32.0,True,1.348231554031372
76,right,log,16.0,True,1.2133054733276367
77,left,log,-24.0,True,1.0971598625183105
78,right,log,16.0,True,1.523782730102539
79,left,mirror,-32.0,True,1.2297821044921875
80,right,mirror,40.0,True,1.422126054763794
81,left,mirror,32.0,False,1.0364022254943848
82,right,log,8.0,True,1.9140610694885254
83,left,mirror,0.0,False,1.2817630767822266
84,right,mirror,24.0,True,1.1941320896148682
85,right,log,0.0,False,2.8664727210998535
86,right,mirror,0.0,False,4.323055744171143
87,right,log,32.0,True,1.1297798156738281
88,left,log,0.0,False,1.149233341217041
89,left,log,-8.0,True,1.463088035583496
90,right,mirror,24.0,True,1.08544921875
91,right,log,40.0,True,1.1778035163879395
92,left,log,32.0,False,5.727736234664917
93,left,log,-32.0,True,2.204627275466919
94,right,mirror,40.0,True,1.09037446975708
95,left,log,24.0,False,1.5961239337921143
96,left,mirror,-16.0,True,1.4319443702697754
97,right,mirror,8.0,True,1.0900022983551025
98,right,mirror,40.0,True,1.0700311660766602
99,right,log,0.0,False,1.712244987487793
100,right,log,16.0,True,1.5934069156646729
101,left,log,-8.0,True,1.8621838092803955
102,left,log,-16.0,True,1.3824224472045898
103,left,log,-40.0,True,1.3111779689788818
104,right,log,32.0,True,1.246044635772705
105,right,log,-16.0,False,3.4068350791931152
106,left,log,-32.0,True,1.673201560974121
107,right,log,40.0,True,1.7119865417480469
108,left,log,-16.0,True,1.12689208984375
109,right,log,24.0,True,1.4316489696502686
110,right,mirror,40.0,True,1.2674548625946045
111,left,log,-16.0,True,1.4999029636383057
112,left,log,-24.0,True,1.5742707252502441
113,right,log,-16.0,False,1.0386486053466797
114,right,log,-16.0,False,1.1517961025238037
115,left,log,-24.0,True,1.9152488708496094
116,right,mirror,24.0,True,1.5401496887207031
117,left,mirror,40.0,False,1.7193372249603271
118,left,log,-32.0,True,1.5857415199279785
119,right,log,8.0,True,1.2954916954040527
120,right,mirror,24.0,True,1.7384209632873535
121,right,log,24.0,True,1.5326919555664062
122,left,mirror,0.0,False,1.6110150814056396
123,left,log,-8.0,True,1.8340959548950195
124,left,mirror,-16.0,True,1.2983264923095703
125,left,log,-40.0,True,1.013019323348999
126,right,mirror,32.0,True,1.1483559608459473
127,left,log,-24.0,True,1.8689813613891602
128,right,log,32.0,True,1.2287673950195312
129,left,mirror,-32.0,True,1.9018480777740479
130,right,mirror,-40.0,False,1.5121800899505615
131,right,mirror,8.0,True,1.045353889465332
132,left,log,-8.0,True,2.1486053466796875
133,right,log,0.0,False,1.5035161972045898
134,right,mirror,16.0,True,1.3071749210357666
135,left,mirror,24.0,False,1.892993688583374
136,left,mirror,8.0,False,1.2306747436523438
137,left,mirror,-24.0,True,1.0404582023620605
138,right,log,32.0,True,1.2344188690185547
139,left,log,32.0,False,2.0999755859375
140,left,mirror,-32.0,True,1.3708910942077637
141,right,mirror,-32.0,False,0.8210420608520508
142,right,log,24.0,True,1.1299588680267334
143,left,mirror,-32.0,True,1.1262376308441162
144,right,log,16.0,True,1.4107294082641602
145,left,log,-16.0,True,1.8755338191986084
146,left,mirror,-32.0,True,1.2907350063323975
147,right,mirror,-8.0,False,1.006253957748413
148,left,log,-32.0,True,1.471238374710083
149,left,mirror,-8.0,True,1.77840256690979
150,right,mirror,8.0,True,1.0596165657043457
151,left,mirror,8.0,False,1.151977777481079
152,right,mirror,40.0,True,0.9383420944213867
153,right,log,40.0,True,1.1810979843139648
154,right,mirror,0.0,False,2.526245355606079
155,right,log,8.0,True,1.2791950702667236
156,right,mirror,16.0,True,0.9856321811676025
157,right,log,16.0,True,1.601759433746338
158,right,mirror,24.0,True,2.127854108810425
159,left,log,-24.0,True,1.277669906616211
160,left,log,-40.0,True,1.219831943511963
161,right,mirror,8.0,True,2.0679142475128174
162,right,log,24.0,True,1.0663807392120361
163,right,mirror,40.0,True,0.9586117267608643
