,Response,Test Stim,Test Speed,Correct,Time
0,right,log,8.0,True,0.7963032722473145
1,right,mirror,40.0,True,0.37668490409851074
2,left,log,-16.0,True,0.39406490325927734
3,right,log,24.0,True,0.2633359432220459
4,right,mirror,24.0,True,0.3358879089355469
5,left,mirror,-40.0,True,0.637138843536377
6,right,mirror,-24.0,False,0.34595394134521484
7,right,mirror,-16.0,False,0.3255290985107422
8,left,log,-32.0,True,0.4929797649383545
9,right,log,24.0,True,0.26310086250305176
10,left,mirror,-24.0,True,0.3707749843597412
11,left,log,24.0,False,0.40851688385009766
12,left,log,-32.0,True,0.3120701313018799
13,right,mirror,24.0,True,0.3716099262237549
14,left,mirror,16.0,False,0.31215691566467285
15,left,mirror,0.0,False,0.3604726791381836
16,right,log,-8.0,False,0.2925088405609131
17,right,mirror,-8.0,False,0.3547508716583252
18,left,log,-40.0,True,0.4180431365966797
19,right,log,-40.0,False,0.7123723030090332
20,right,log,-16.0,False,0.3274979591369629
21,right,log,0.0,False,0.3198096752166748
22,left,log,-8.0,True,0.4695439338684082
23,left,mirror,-32.0,True,0.5640730857849121
24,right,mirror,8.0,True,0.38335084915161133
25,right,log,24.0,True,0.461104154586792
26,left,mirror,-40.0,True,0.8475639820098877
27,right,mirror,-8.0,False,0.36387205123901367
28,right,mirror,-8.0,False,0.35657501220703125
29,left,mirror,-24.0,True,0.4143648147583008
30,left,log,-8.0,True,0.5178790092468262
31,right,log,32.0,True,0.36705684661865234
32,left,mirror,-16.0,True,0.5017299652099609
33,right,mirror,8.0,True,0.3869140148162842
34,left,mirror,-16.0,True,0.4969768524169922
35,right,log,16.0,True,0.3088877201080322
36,left,mirror,0.0,False,0.4381098747253418
37,right,mirror,0.0,False,0.385728120803833
38,right,log,24.0,True,0.38782286643981934
39,left,mirror,-8.0,True,0.5239789485931396
40,right,mirror,24.0,True,0.3082468509674072
41,left,log,24.0,False,0.40721893310546875
42,left,log,8.0,False,0.45490097999572754
43,left,log,-8.0,True,0.503267765045166
44,left,mirror,-24.0,True,0.48478198051452637
45,right,mirror,32.0,True,0.3032519817352295
46,right,log,40.0,True,0.342195987701416
47,right,mirror,40.0,True,0.31764912605285645
48,left,mirror,40.0,False,0.40997982025146484
49,left,mirror,-24.0,True,0.38419604301452637
50,right,mirror,16.0,True,0.48159193992614746
51,left,mirror,40.0,False,0.5528600215911865
52,right,log,40.0,True,0.7176411151885986
53,left,log,8.0,False,0.5075531005859375
54,left,log,16.0,False,0.4670848846435547
55,right,mirror,24.0,True,0.43097424507141113
56,left,mirror,40.0,False,0.9103701114654541
57,left,log,-24.0,True,0.6467990875244141
58,right,log,0.0,False,0.46904897689819336
59,left,mirror,-40.0,True,0.4510049819946289
60,right,mirror,0.0,False,0.3858160972595215
61,right,log,40.0,True,0.5579109191894531
62,right,mirror,-32.0,False,0.4151878356933594
63,right,mirror,0.0,False,0.5232572555541992
64,left,log,-32.0,True,0.5165300369262695
