,Response,Test Stim,Test Speed,Correct,Time
0,right,log,16.0,True,2.4846930503845215
1,right,mirror,40.0,True,0.9068088531494141
2,left,log,-40.0,True,1.3520047664642334
3,left,mirror,-24.0,True,1.0619220733642578
4,left,log,-16.0,True,0.6272749900817871
5,left,log,-32.0,True,0.6328599452972412
6,left,log,-24.0,True,0.6265110969543457
7,left,mirror,-24.0,True,1.156747817993164
8,left,log,0.0,False,1.0216999053955078
9,right,log,-24.0,False,1.1805460453033447
10,right,log,-40.0,False,1.131309986114502
11,right,log,8.0,True,0.7814881801605225
12,right,log,40.0,True,0.720585823059082
13,left,log,0.0,False,0.9162027835845947
14,right,log,24.0,True,0.6289570331573486
15,right,mirror,40.0,True,0.6017189025878906
16,right,log,8.0,True,1.200275182723999
17,right,mirror,24.0,True,1.6224009990692139
18,left,log,-24.0,True,0.6992068290710449
19,left,log,-32.0,True,0.7394378185272217
20,right,mirror,32.0,True,0.5009620189666748
21,left,log,-40.0,True,0.7962560653686523
22,left,mirror,-16.0,True,0.7323379516601562
23,left,mirror,-40.0,True,0.5398879051208496
24,right,mirror,24.0,True,0.634788990020752
25,left,log,-24.0,True,1.3521759510040283
26,left,mirror,-16.0,True,0.8056929111480713
27,left,log,-8.0,True,0.7263400554656982
28,right,mirror,24.0,True,0.5233359336853027
29,left,log,-24.0,True,0.6618046760559082
30,right,log,16.0,True,0.6592731475830078
31,right,mirror,24.0,True,0.5161130428314209
32,left,mirror,-16.0,True,0.6181640625
33,left,mirror,-8.0,True,0.7355220317840576
34,right,mirror,8.0,True,0.5601358413696289
35,left,mirror,-32.0,True,0.5348019599914551
36,left,mirror,-8.0,True,0.6137270927429199
37,left,log,-40.0,True,0.7804350852966309
38,left,mirror,-32.0,True,0.5815742015838623
39,left,log,-16.0,True,0.5647120475769043
40,left,log,-16.0,True,0.6384098529815674
41,left,mirror,-16.0,True,1.9171719551086426
42,right,mirror,24.0,True,0.5739822387695312
43,left,mirror,-8.0,True,0.6154477596282959
44,left,mirror,0.0,False,0.6786401271820068
45,right,mirror,16.0,True,0.6303679943084717
46,left,mirror,-16.0,True,0.4320521354675293
47,right,log,-40.0,False,1.4710078239440918
48,right,mirror,40.0,True,0.5307362079620361
49,left,log,-32.0,True,0.6994109153747559
50,right,mirror,32.0,True,0.8065037727355957
51,right,log,8.0,True,0.9111452102661133
52,right,log,8.0,True,0.9486250877380371
53,right,mirror,32.0,True,0.795856237411499
54,left,mirror,-8.0,True,0.7549831867218018
55,left,log,-8.0,True,0.7932109832763672
56,left,mirror,-40.0,True,0.7550771236419678
57,right,log,-40.0,False,1.541090965270996
58,right,log,-8.0,False,0.7119369506835938
59,left,mirror,-40.0,True,0.526263952255249
60,right,mirror,8.0,True,0.529451847076416
61,left,mirror,-32.0,True,0.419910192489624
62,left,mirror,-40.0,True,0.47151899337768555
63,right,log,32.0,True,0.43082594871520996
64,right,log,24.0,True,0.4262990951538086
65,left,log,-40.0,True,1.156214952468872
66,left,mirror,-8.0,True,0.5437939167022705
67,left,mirror,0.0,False,1.0555260181427002
68,left,mirror,-40.0,True,0.564079999923706
69,right,mirror,16.0,True,0.6287930011749268
70,right,log,16.0,True,0.6120610237121582
71,left,mirror,0.0,False,0.568493127822876
72,right,log,8.0,True,0.5528559684753418
73,left,mirror,-16.0,True,0.5591096878051758
74,right,log,32.0,True,0.5359592437744141
75,right,mirror,24.0,True,0.5822839736938477
76,right,mirror,8.0,True,0.44281888008117676
77,left,log,-24.0,True,0.5880639553070068
78,left,mirror,-8.0,True,0.6558501720428467
79,right,mirror,32.0,True,0.5844156742095947
80,right,mirror,8.0,True,0.8058481216430664
81,right,mirror,8.0,True,0.5434978008270264
82,right,mirror,40.0,True,0.601578950881958
83,right,log,16.0,True,0.4265570640563965
84,left,log,-40.0,True,0.9228208065032959
85,right,log,8.0,True,0.532958984375
86,right,mirror,40.0,True,0.46428799629211426
87,right,log,0.0,False,1.0189111232757568
88,left,mirror,-16.0,True,1.028487205505371
89,left,mirror,-32.0,True,1.0584712028503418
90,right,log,32.0,True,0.9068589210510254
91,right,log,40.0,True,1.2874960899353027
92,left,mirror,16.0,False,1.090933084487915
93,left,log,-32.0,True,1.0207791328430176
94,left,log,-24.0,True,0.8930642604827881
95,right,log,16.0,True,0.6385221481323242
96,right,log,40.0,True,0.8562891483306885
97,right,mirror,40.0,True,0.9908249378204346
98,left,mirror,-40.0,True,1.3631019592285156
99,right,mirror,32.0,True,1.176044225692749
100,left,log,-8.0,True,1.0446162223815918
101,right,log,8.0,True,1.0851659774780273
102,left,log,-24.0,True,0.9402611255645752
103,right,mirror,40.0,True,1.0924811363220215
104,right,log,40.0,True,0.7779977321624756
105,left,mirror,-24.0,True,0.8731861114501953
106,right,mirror,0.0,False,0.8172831535339355
107,right,log,32.0,True,0.787121057510376
108,right,mirror,32.0,True,0.8829231262207031
109,left,mirror,8.0,False,0.8359642028808594
110,right,log,16.0,True,0.8880870342254639
111,right,log,40.0,True,0.975579023361206
112,right,mirror,24.0,True,1.2784290313720703
113,left,mirror,-8.0,True,0.8699729442596436
114,left,mirror,-40.0,True,1.0317540168762207
115,left,log,-8.0,True,0.8107430934906006
116,right,log,32.0,True,0.9408721923828125
117,right,log,0.0,False,0.7975668907165527
118,right,mirror,24.0,True,0.8239469528198242
119,right,log,24.0,True,0.9738562107086182
120,left,log,8.0,False,0.8572020530700684
121,right,log,24.0,True,0.9546880722045898
122,left,mirror,-32.0,True,0.9679079055786133
123,right,log,8.0,True,0.8696498870849609
124,left,log,-32.0,True,0.9680118560791016
125,left,mirror,-24.0,True,1.041797161102295
126,right,log,24.0,True,1.1508419513702393
127,right,log,40.0,True,0.7226588726043701
128,right,mirror,8.0,True,0.6264691352844238
129,right,log,16.0,True,0.44534897804260254
130,left,mirror,-16.0,True,1.130270004272461
131,left,log,-40.0,True,0.5502891540527344
132,left,mirror,-40.0,True,0.7363941669464111
133,right,log,0.0,False,1.1194119453430176
134,left,log,-16.0,True,1.0961110591888428
135,left,mirror,-8.0,True,0.8393490314483643
136,right,mirror,8.0,True,1.080597162246704
137,right,mirror,32.0,True,0.8811450004577637
138,right,log,32.0,True,0.9108071327209473
139,left,mirror,-16.0,True,1.0635757446289062
140,left,mirror,-32.0,True,0.905195951461792
141,left,mirror,0.0,False,1.0882112979888916
142,left,mirror,-8.0,True,0.7806808948516846
143,right,mirror,16.0,True,0.8997650146484375
144,left,log,-40.0,True,0.8880479335784912
145,right,log,0.0,False,0.8488142490386963
146,left,log,-8.0,True,1.0718069076538086
147,right,log,32.0,True,1.014707088470459
148,left,mirror,-24.0,True,1.1451592445373535
149,right,mirror,0.0,False,0.8032557964324951
150,left,log,-8.0,True,1.1128339767456055
151,right,mirror,0.0,False,0.5372471809387207
152,left,log,-32.0,True,0.6177639961242676
153,left,log,-8.0,True,0.6313760280609131
154,right,mirror,8.0,True,0.511354923248291
155,left,log,-32.0,True,0.49312806129455566
156,left,mirror,-16.0,True,0.8056168556213379
157,right,mirror,16.0,True,0.5710229873657227
158,right,mirror,40.0,True,0.40503406524658203
159,left,mirror,0.0,False,0.8610949516296387
160,right,log,40.0,True,0.6605150699615479
161,left,log,-8.0,True,0.695573091506958
162,left,log,-8.0,True,0.9117529392242432
163,left,log,-24.0,True,0.4969940185546875
164,left,mirror,-16.0,True,0.5360467433929443
165,left,log,-8.0,True,0.612138032913208
166,right,log,24.0,True,0.517287015914917
167,left,log,-40.0,True,0.5565741062164307
168,left,log,-8.0,True,0.5127871036529541
169,right,log,0.0,False,0.4620096683502197
170,right,log,24.0,True,0.5658440589904785
171,left,mirror,-24.0,True,0.38033628463745117
172,left,log,-24.0,True,0.5004632472991943
173,right,mirror,40.0,True,0.3588428497314453
174,left,mirror,-32.0,True,0.697584867477417
175,right,log,24.0,True,0.9525470733642578
176,left,log,-16.0,True,1.1099488735198975
177,right,mirror,0.0,False,0.7741408348083496
178,left,mirror,-32.0,True,0.8238987922668457
179,right,log,8.0,True,0.9136419296264648
180,left,log,-24.0,True,0.8873438835144043
181,right,mirror,16.0,True,0.7133471965789795
182,right,mirror,40.0,True,0.8234939575195312
183,left,mirror,0.0,False,0.8982489109039307
184,right,mirror,40.0,True,0.827996015548706
185,left,log,-8.0,True,0.7446389198303223
186,left,mirror,-32.0,True,0.9136960506439209
187,left,mirror,-24.0,True,0.8712069988250732
188,right,mirror,16.0,True,1.015347957611084
189,left,mirror,-40.0,True,0.9237961769104004
190,left,log,-8.0,True,0.7206909656524658
191,left,mirror,-40.0,True,0.7040431499481201
192,left,log,-24.0,True,0.962324857711792
193,left,log,-32.0,True,0.719738245010376
194,left,log,-16.0,True,1.0471291542053223
195,right,log,40.0,True,0.8361711502075195
196,right,mirror,8.0,True,0.9159328937530518
197,left,mirror,-8.0,True,0.7352302074432373
198,right,log,8.0,True,0.8911709785461426
199,left,mirror,-24.0,True,0.8152608871459961
200,right,log,16.0,True,0.8811540603637695
201,right,mirror,32.0,True,0.7466399669647217
202,left,mirror,0.0,False,0.9609100818634033
203,right,log,0.0,False,0.9234182834625244
204,left,log,0.0,False,0.8835899829864502
205,right,log,24.0,True,0.5505871772766113
206,right,log,32.0,True,0.8830990791320801
207,left,log,-32.0,True,0.8109099864959717
208,left,mirror,-24.0,True,0.8746440410614014
209,right,log,8.0,True,0.9349548816680908
210,right,log,0.0,False,0.6884181499481201
211,left,log,-40.0,True,0.7592480182647705
212,left,mirror,-8.0,True,0.9850399494171143
213,right,mirror,0.0,False,0.9694440364837646
