,Response,Test Stim,Test Speed,Correct,Time
0,right,log,40.0,True,5.362384080886841
1,left,log,32.0,False,0.9890172481536865
2,left,mirror,-16.0,True,1.3570387363433838
3,right,log,-16.0,False,1.0087158679962158
4,right,log,40.0,True,0.8343400955200195
5,left,log,0.0,False,0.7434427738189697
6,right,log,0.0,False,2.6235718727111816
7,right,log,24.0,True,0.908621072769165
8,right,log,-32.0,False,1.326585054397583
9,right,log,16.0,True,0.8512792587280273
10,left,mirror,-24.0,True,0.7685360908508301
11,right,log,32.0,True,1.0004348754882812
12,left,mirror,-40.0,True,2.2252371311187744
13,right,log,16.0,True,3.4959468841552734
14,left,log,16.0,False,2.8315300941467285
15,left,mirror,-24.0,True,1.377687692642212
16,right,log,-24.0,False,4.298258066177368
17,left,mirror,32.0,False,1.5118329524993896
18,right,log,32.0,True,4.809413194656372
19,right,log,-32.0,False,3.691967010498047
20,left,mirror,32.0,False,2.007061004638672
21,right,log,-40.0,False,4.146743059158325
22,left,mirror,-24.0,True,0.7523689270019531
23,right,log,24.0,True,1.3620729446411133
24,right,log,8.0,True,1.9229190349578857
25,right,log,-24.0,False,4.061453104019165
26,right,log,16.0,True,1.6021099090576172
27,right,log,24.0,True,1.2124431133270264
28,right,log,-32.0,False,2.9526407718658447
29,left,mirror,-8.0,True,1.3133130073547363
30,right,log,-24.0,False,3.26206111907959
31,right,log,8.0,True,1.093916893005371
32,right,log,8.0,True,5.759530305862427
33,right,log,-8.0,False,2.273888111114502
34,left,mirror,16.0,False,1.1279690265655518
35,left,mirror,32.0,False,1.234015941619873
36,left,mirror,-16.0,True,0.5628318786621094
37,left,mirror,24.0,False,7.70950984954834
38,left,mirror,-32.0,True,0.8791821002960205
39,right,mirror,0.0,False,0.8468999862670898
40,right,mirror,16.0,True,1.7338180541992188
41,left,mirror,-8.0,True,1.019787073135376
42,right,log,24.0,True,1.0669188499450684
43,left,log,-32.0,True,1.108680248260498
44,right,log,8.0,True,0.7056591510772705
45,right,mirror,40.0,True,1.5879008769989014
46,left,mirror,-24.0,True,1.0589029788970947
47,left,mirror,-16.0,True,1.137087106704712
48,right,log,32.0,True,1.7509040832519531
49,right,log,-40.0,False,2.060643196105957
50,right,log,16.0,True,0.8551177978515625
51,right,log,-8.0,False,0.8946590423583984
52,right,log,-32.0,False,1.583634853363037
53,right,mirror,32.0,True,1.0876109600067139
54,left,mirror,24.0,False,0.4621009826660156
55,right,log,-32.0,False,2.0215981006622314
56,right,log,-32.0,False,0.6641850471496582
57,right,mirror,0.0,False,0.9893298149108887
58,right,log,-40.0,False,3.821108102798462
59,right,log,8.0,True,1.3600749969482422
60,right,mirror,32.0,True,0.9636349678039551
61,left,mirror,-16.0,True,1.078537940979004
62,right,log,0.0,False,2.608869791030884
63,right,log,-32.0,False,1.8156380653381348
