,Response,Test Stim,Test Speed,Correct,Time
0,left,mirror,0.0,False,1.70424485206604
1,left,mirror,0.0,False,0.7375938892364502
2,right,log,0.0,False,0.5181171894073486
3,left,mirror,-40.0,True,0.4432988166809082
4,right,log,24.0,True,0.4679830074310303
5,right,log,16.0,True,0.5025019645690918
6,right,mirror,32.0,True,0.4265880584716797
7,left,log,-8.0,True,0.5060458183288574
8,right,mirror,8.0,True,0.43960118293762207
9,right,mirror,32.0,True,0.4240901470184326
10,left,log,-24.0,True,0.4630882740020752
11,right,mirror,16.0,True,0.5408477783203125
12,right,mirror,8.0,True,0.4405219554901123
13,left,log,-24.0,True,0.4906620979309082
14,left,mirror,-16.0,True,0.5314359664916992
15,right,mirror,40.0,True,0.5446069240570068
16,right,mirror,40.0,True,0.5114068984985352
17,right,mirror,-8.0,False,1.4417757987976074
18,right,mirror,0.0,False,0.5068259239196777
19,left,log,-8.0,True,0.4390840530395508
20,left,mirror,-32.0,True,1.3624927997589111
21,left,mirror,-24.0,True,1.198227882385254
22,right,mirror,0.0,False,1.2316689491271973
23,right,log,16.0,True,0.4628908634185791
24,right,log,40.0,True,0.4447810649871826
25,left,log,-32.0,True,0.465806245803833
26,left,log,-8.0,True,0.4520139694213867
27,left,mirror,-32.0,True,0.5924348831176758
28,right,mirror,32.0,True,0.5199832916259766
29,right,mirror,32.0,True,0.4037621021270752
30,right,log,24.0,True,0.47736597061157227
31,right,mirror,40.0,True,0.3890380859375
32,left,log,-16.0,True,0.4627220630645752
33,left,mirror,-40.0,True,0.4612901210784912
34,left,log,-40.0,True,0.49309301376342773
35,left,mirror,-24.0,True,0.3696739673614502
36,left,mirror,-24.0,True,0.5177340507507324
37,right,mirror,16.0,True,0.4199402332305908
38,left,log,-24.0,True,0.5076286792755127
39,right,log,24.0,True,0.4573550224304199
40,left,log,-32.0,True,0.41236376762390137
41,left,log,0.0,False,0.7003588676452637
42,right,log,16.0,True,0.5093479156494141
43,right,log,32.0,True,0.46398472785949707
44,right,mirror,8.0,True,0.5182590484619141
45,right,mirror,32.0,True,0.45207881927490234
46,right,mirror,0.0,False,0.8291797637939453
47,right,log,0.0,False,1.0513579845428467
48,right,mirror,40.0,True,0.5079190731048584
49,right,log,16.0,True,0.4225311279296875
50,left,log,-24.0,True,0.7899219989776611
51,left,log,-32.0,True,0.5625028610229492
52,right,mirror,24.0,True,0.4327080249786377
53,right,mirror,32.0,True,0.44522690773010254
54,right,mirror,16.0,True,0.46651697158813477
55,left,mirror,-24.0,True,0.49886512756347656
56,left,log,-24.0,True,0.42844319343566895
57,right,mirror,32.0,True,0.4070558547973633
58,left,mirror,-32.0,True,0.47897791862487793
59,right,log,8.0,True,0.494429349899292
60,left,mirror,-24.0,True,0.4537360668182373
