,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,right,mirror,32.0,True,1.4576148986816406,1.0
1,left,log,24.0,False,1.249098300933838,1.0
2,right,mirror,24.0,True,0.8687057495117188,1.0
3,right,log,8.0,True,1.1794090270996094,1.0
4,left,mirror,-32.0,True,0.952692985534668,1.0
5,right,log,24.0,True,0.8330450057983398,1.0
6,right,mirror,32.0,True,0.9105269908905029,0.8714285714285714
7,left,mirror,-32.0,True,0.6492588520050049,0.8714285714285714
8,left,log,0.0,False,1.8139917850494385,0.8714285714285714
9,left,mirror,-16.0,True,1.2356619834899902,0.8714285714285714
10,right,mirror,24.0,True,0.531458854675293,0.8714285714285714
11,left,log,0.0,False,1.396437168121338,0.8714285714285714
12,left,log,-8.0,True,0.7149360179901123,0.8714285714285714
13,right,mirror,-8.0,False,0.7394039630889893,0.8714285714285714
14,left,log,-24.0,True,0.9195938110351562,0.8714285714285714
15,left,log,-40.0,True,0.7414262294769287,0.8714285714285714
16,left,mirror,0.0,False,1.3422110080718994,0.8714285714285714
17,left,mirror,-24.0,True,0.641981840133667,0.8714285714285714
18,right,log,24.0,True,0.7907047271728516,0.8714285714285714
19,left,log,40.0,False,1.2300119400024414,0.8714285714285714
20,left,log,40.0,False,1.8116302490234375,0.8714285714285714
21,left,mirror,-16.0,True,1.0520989894866943,0.8714285714285714
22,right,mirror,32.0,True,0.6067419052124023,0.8714285714285714
23,left,log,-24.0,True,0.6083629131317139,0.8714285714285714
24,right,mirror,0.0,False,0.8397600650787354,0.8714285714285714
25,left,mirror,-32.0,True,0.7751579284667969,0.8714285714285714
26,right,mirror,32.0,True,0.5557236671447754,0.8714285714285714
27,left,log,24.0,False,0.6598939895629883,0.8714285714285714
28,right,log,32.0,True,1.069983959197998,0.8714285714285714
29,right,log,24.0,True,0.9688990116119385,0.8714285714285714
30,right,log,40.0,True,8.11027717590332,0.8714285714285714
31,right,log,24.0,True,0.6816210746765137,0.8714285714285714
32,left,log,-16.0,True,0.565216064453125,0.8714285714285714
33,right,mirror,32.0,True,0.5173366069793701,0.8714285714285714
34,left,log,-16.0,True,0.6148560047149658,0.8714285714285714
35,left,log,-40.0,True,0.679279088973999,0.8714285714285714
36,left,log,-24.0,True,0.5666570663452148,0.8714285714285714
37,right,mirror,24.0,True,0.5517711639404297,0.8714285714285714
38,left,log,32.0,False,0.663428783416748,0.8714285714285714
39,right,mirror,40.0,True,0.567004919052124,0.8714285714285714
40,left,mirror,-16.0,True,0.7334311008453369,0.8714285714285714
41,left,mirror,0.0,False,0.8651430606842041,0.8714285714285714
42,right,log,-16.0,False,0.9389069080352783,0.8714285714285714
43,right,log,16.0,True,0.6495301723480225,0.8714285714285714
44,left,log,0.0,False,0.9336798191070557,0.8714285714285714
45,right,mirror,8.0,True,0.8175477981567383,0.8714285714285714
46,right,mirror,0.0,False,3.5631327629089355,0.8714285714285714
47,right,mirror,16.0,True,1.188666820526123,0.8714285714285714
48,right,log,40.0,True,0.6999940872192383,0.8714285714285714
49,left,log,-40.0,True,0.6647739410400391,0.8714285714285714
50,right,log,24.0,True,0.5833883285522461,0.8714285714285714
51,left,log,32.0,False,0.8165748119354248,0.8714285714285714
52,left,mirror,-16.0,True,0.6827411651611328,0.8714285714285714
53,left,mirror,-40.0,True,0.8492372035980225,0.8714285714285714
54,right,mirror,0.0,False,1.7566471099853516,0.8714285714285714
55,right,mirror,16.0,True,0.7142713069915771,0.8714285714285714
56,left,mirror,-16.0,True,0.5660920143127441,0.8714285714285714
57,right,log,16.0,True,0.6989760398864746,0.8714285714285714
58,left,mirror,-32.0,True,0.6823201179504395,0.8714285714285714
59,left,log,-24.0,True,0.6322100162506104,0.8714285714285714
60,right,log,32.0,True,0.6155829429626465,0.8714285714285714
61,left,log,-40.0,True,0.6158719062805176,0.8714285714285714
62,right,mirror,40.0,True,0.698361873626709,0.8714285714285714
63,left,mirror,-32.0,True,0.6878073215484619,0.8714285714285714
64,right,mirror,-32.0,False,0.4611530303955078,0.8714285714285714
65,left,mirror,-40.0,True,0.648655891418457,0.8714285714285714
66,left,log,-32.0,True,0.9687168598175049,0.8714285714285714
67,right,mirror,16.0,True,0.597930908203125,0.8714285714285714
68,left,log,0.0,False,1.4783940315246582,0.8714285714285714
69,right,log,16.0,True,0.5594429969787598,0.8714285714285714
70,left,log,-40.0,True,0.6391232013702393,0.8714285714285714
71,right,log,24.0,True,0.5559258460998535,0.8714285714285714
72,right,log,24.0,True,0.6065571308135986,0.8714285714285714
73,right,log,32.0,True,0.6596899032592773,0.8714285714285714
74,left,mirror,16.0,False,0.5564649105072021,0.8714285714285714
75,right,log,40.0,True,0.5562090873718262,0.8714285714285714
76,left,mirror,-24.0,True,0.6912078857421875,0.8714285714285714
77,left,mirror,-24.0,True,0.6239199638366699,0.8714285714285714
78,left,log,-16.0,True,0.874068021774292,0.8714285714285714
79,right,mirror,8.0,True,3.1971659660339355,0.8714285714285714
80,right,mirror,8.0,True,0.8255150318145752,0.8714285714285714
81,right,mirror,32.0,True,0.5733940601348877,0.8714285714285714
82,left,mirror,-32.0,True,0.5827021598815918,0.8714285714285714
83,left,mirror,-8.0,True,0.5584831237792969,0.8714285714285714
84,left,log,-32.0,True,0.822638988494873,0.8714285714285714
85,left,mirror,-40.0,True,1.1361439228057861,0.8714285714285714
86,left,log,24.0,False,0.9401500225067139,0.8714285714285714
87,right,log,32.0,True,0.6556730270385742,0.8714285714285714
88,left,mirror,-40.0,True,0.9413950443267822,0.8714285714285714
89,left,mirror,-24.0,True,0.6826510429382324,0.8714285714285714
90,left,log,-16.0,True,0.6989240646362305,0.8714285714285714
91,right,log,32.0,True,0.6321048736572266,0.8714285714285714
92,left,log,-40.0,True,0.5325391292572021,0.8714285714285714
93,left,log,0.0,False,1.3733460903167725,0.8714285714285714
94,right,mirror,24.0,True,1.1222729682922363,0.8714285714285714
95,left,mirror,-24.0,True,0.5519962310791016,0.8714285714285714
96,right,mirror,16.0,True,0.4489319324493408,0.8714285714285714
97,left,log,-24.0,True,0.8796319961547852,0.8714285714285714
98,right,log,-24.0,False,0.701937198638916,0.8714285714285714
99,left,log,8.0,False,1.254274606704712,0.8714285714285714
100,right,log,16.0,True,5.939040899276733,0.8714285714285714
101,right,log,8.0,True,0.6842010021209717,0.8714285714285714
102,right,log,32.0,True,0.648561954498291,0.8714285714285714
103,left,log,-32.0,True,0.5655357837677002,0.8714285714285714
104,left,mirror,0.0,False,1.3734803199768066,0.8714285714285714
105,left,log,-16.0,True,0.8329710960388184,0.8714285714285714
106,right,mirror,8.0,True,0.5331501960754395,0.8714285714285714
107,left,log,-32.0,True,0.5327579975128174,0.8714285714285714
108,right,mirror,24.0,True,0.6821351051330566,0.8714285714285714
109,right,log,16.0,True,0.5994820594787598,0.8714285714285714
110,left,mirror,-32.0,True,0.5314168930053711,0.8714285714285714
111,right,mirror,40.0,True,0.5332250595092773,0.8714285714285714
112,right,log,24.0,True,0.5151348114013672,0.8714285714285714
113,left,log,-32.0,True,0.6483399868011475,0.8714285714285714
114,right,log,40.0,True,0.5157389640808105,0.8714285714285714
115,right,mirror,40.0,True,0.49998903274536133,0.8714285714285714
116,right,mirror,24.0,True,0.5819578170776367,0.8714285714285714
117,right,mirror,-24.0,False,0.41614484786987305,0.8714285714285714
118,left,log,24.0,False,0.9329578876495361,0.8714285714285714
119,right,mirror,24.0,True,0.972161054611206,0.8714285714285714
120,left,mirror,-16.0,True,0.5116000175476074,0.8714285714285714
121,right,log,24.0,True,0.7315540313720703,0.8714285714285714
122,right,log,24.0,True,0.732478141784668,0.8714285714285714
123,right,log,16.0,True,0.6327180862426758,0.8714285714285714
124,left,log,-8.0,True,0.61641526222229,0.8714285714285714
125,right,log,40.0,True,0.5324909687042236,0.8714285714285714
126,left,log,-16.0,True,0.5501232147216797,0.8714285714285714
127,right,log,16.0,True,0.3479430675506592,0.8714285714285714
128,left,mirror,-32.0,True,0.4497859477996826,0.8714285714285714
129,left,log,-8.0,True,0.7724268436431885,0.8714285714285714
130,right,mirror,-32.0,False,5.574663162231445,0.8714285714285714
131,left,log,0.0,False,0.8582756519317627,0.8714285714285714
132,left,mirror,-40.0,True,0.5570921897888184,0.8714285714285714
133,left,log,-24.0,True,0.589601993560791,0.8714285714285714
134,left,log,-24.0,True,0.4757199287414551,0.8714285714285714
135,left,mirror,-32.0,True,0.42375707626342773,0.8714285714285714
136,left,mirror,-8.0,True,0.5905609130859375,0.8714285714285714
137,right,log,40.0,True,0.5577540397644043,0.8714285714285714
138,left,mirror,-24.0,True,0.8227088451385498,0.8714285714285714
139,left,log,-24.0,True,0.7249307632446289,0.8714285714285714
140,left,log,-32.0,True,0.6061980724334717,0.8714285714285714
141,right,log,40.0,True,0.5430631637573242,0.7428571428571429
142,left,log,8.0,False,0.7718081474304199,0.7428571428571429
143,left,mirror,-24.0,True,0.6888487339019775,0.7428571428571429
144,space,mirror,-40.0,False,7.667710065841675,0.7428571428571429
145,right,log,8.0,True,0.6434731483459473,0.7428571428571429
146,right,mirror,32.0,True,0.565941572189331,0.7428571428571429
147,left,mirror,0.0,False,1.3702771663665771,0.7428571428571429
148,left,log,24.0,False,2.270906925201416,0.7428571428571429
149,right,mirror,0.0,False,1.7957899570465088,0.7428571428571429
150,left,mirror,-8.0,True,0.7753479480743408,0.7428571428571429
151,right,log,8.0,True,0.47920799255371094,0.7428571428571429
152,left,mirror,-16.0,True,0.5328340530395508,0.7428571428571429
153,right,mirror,32.0,True,0.4509718418121338,0.7428571428571429
154,left,mirror,32.0,False,0.3477349281311035,0.7428571428571429
155,left,log,-16.0,True,0.8138532638549805,0.7428571428571429
156,right,mirror,32.0,True,0.5345799922943115,0.7428571428571429
157,left,mirror,-40.0,True,0.5995347499847412,0.7428571428571429
158,right,log,16.0,True,0.5163588523864746,0.7428571428571429
159,right,log,0.0,False,1.3417882919311523,0.7428571428571429
160,left,mirror,-24.0,True,0.8326857089996338,0.7428571428571429
161,right,log,32.0,True,0.5491988658905029,0.7428571428571429
162,left,mirror,-8.0,True,0.4996657371520996,0.7428571428571429
163,left,mirror,-8.0,True,0.5318241119384766,0.7428571428571429
164,left,mirror,-8.0,True,0.54988694190979,0.7428571428571429
165,right,log,8.0,True,0.5321090221405029,0.7428571428571429
166,left,log,-40.0,True,0.433027982711792,0.7428571428571429
167,right,log,32.0,True,0.4324352741241455,0.7428571428571429
168,right,log,24.0,True,0.48323988914489746,0.7428571428571429
169,left,log,-32.0,True,0.4151790142059326,0.7428571428571429
170,left,mirror,-32.0,True,0.5657320022583008,0.7428571428571429
171,left,mirror,-40.0,True,0.5151159763336182,0.7428571428571429
172,right,mirror,0.0,False,1.1477329730987549,0.7428571428571429
173,right,log,40.0,True,0.5987000465393066,0.7428571428571429
174,right,log,24.0,True,0.48337531089782715,0.7428571428571429
175,left,mirror,-40.0,True,0.43295884132385254,0.7428571428571429
176,right,mirror,8.0,True,0.33320188522338867,0.7428571428571429
177,left,mirror,0.0,False,0.3816559314727783,0.7428571428571429
178,left,log,-16.0,True,0.6498138904571533,0.7428571428571429
179,right,mirror,40.0,True,0.43241429328918457,0.7428571428571429
180,left,log,32.0,False,0.36679983139038086,0.7428571428571429
181,right,log,24.0,True,0.5159680843353271,0.7428571428571429
182,left,log,-16.0,True,0.49950408935546875,0.7428571428571429
