,Response,Test Stim,Test Speed,Correct,Time
0,space,mirror,-8.0,False,3.0260491371154785
1,left,log,-32.0,True,1.7089238166809082
2,left,log,-16.0,True,2.436791181564331
3,right,mirror,24.0,True,0.6781821250915527
4,left,log,40.0,False,0.4556589126586914
5,left,log,0.0,False,1.1336967945098877
6,right,mirror,24.0,True,0.9136919975280762
7,left,log,-40.0,True,0.6476728916168213
8,left,log,-32.0,True,0.06606221199035645
9,left,log,0.0,False,0.6827857494354248
10,right,log,8.0,True,0.8567690849304199
11,right,log,24.0,True,0.7709970474243164
12,right,log,32.0,True,0.5511438846588135
13,left,mirror,-32.0,True,0.470897912979126
14,right,mirror,24.0,True,0.6587920188903809
15,left,mirror,32.0,False,0.6992208957672119
16,right,mirror,40.0,True,0.5691287517547607
17,left,mirror,-32.0,True,0.9924948215484619
18,right,mirror,40.0,True,1.2353739738464355
19,left,log,-24.0,True,1.1580028533935547
20,left,log,-40.0,True,0.9543511867523193
21,left,mirror,-32.0,True,10.306768894195557
22,right,log,40.0,True,3.9224331378936768
23,left,mirror,-16.0,True,1.4318201541900635
24,left,mirror,8.0,False,1.2676060199737549
25,space,mirror,-8.0,False,102.80312204360962
26,left,mirror,-16.0,True,1.2960751056671143
27,left,mirror,-8.0,True,1.26025390625
28,left,mirror,-24.0,True,1.4052159786224365
29,right,log,32.0,True,1.392322063446045
30,left,mirror,8.0,False,0.8428640365600586
31,right,log,24.0,True,2.1882121562957764
32,left,log,-24.0,True,1.3614542484283447
33,left,mirror,40.0,False,2.181446075439453
34,right,log,24.0,True,1.0468900203704834
35,right,mirror,8.0,True,1.2209291458129883
36,right,mirror,8.0,True,1.170863151550293
37,left,log,-8.0,True,2.1979072093963623
38,left,mirror,-32.0,True,1.0668396949768066
39,right,mirror,-8.0,False,1.5941388607025146
40,left,log,-16.0,True,1.0688951015472412
41,right,mirror,24.0,True,1.0374119281768799
42,left,mirror,-8.0,True,1.1312367916107178
43,left,mirror,-40.0,True,0.9725587368011475
44,right,mirror,40.0,True,0.9128289222717285
45,right,mirror,-16.0,False,1.0392718315124512
46,left,mirror,-32.0,True,0.8907179832458496
47,right,mirror,24.0,True,0.9602260589599609
48,right,mirror,24.0,True,5.368056058883667
49,right,mirror,0.0,False,2.0357489585876465
50,left,mirror,-8.0,True,1.4872510433197021
51,right,mirror,0.0,False,3.002168893814087
52,left,log,-40.0,True,0.9963119029998779
53,left,log,-8.0,True,0.9438951015472412
54,right,mirror,0.0,False,1.0779519081115723
55,right,mirror,40.0,True,4.4109039306640625
56,left,log,-8.0,True,1.1141490936279297
57,left,log,16.0,False,14.201207637786865
58,right,log,-8.0,False,1.37074875831604
59,left,log,-40.0,True,1.5235939025878906
60,left,mirror,-8.0,True,1.115400791168213
61,right,log,40.0,True,2.780165910720825
62,left,mirror,-24.0,True,1.4504618644714355
63,right,mirror,32.0,True,1.1375937461853027
64,right,mirror,16.0,True,1.2966041564941406
65,right,log,32.0,True,14.528473138809204
66,left,log,-16.0,True,3.904681921005249
67,right,log,8.0,True,1.1057751178741455
68,right,mirror,24.0,True,1.1954081058502197
69,right,log,40.0,True,1.06858491897583
70,right,log,0.0,False,1.091707706451416
71,right,mirror,32.0,True,1.0478429794311523
72,right,log,32.0,True,1.0345580577850342
73,right,log,8.0,True,1.114076852798462
74,right,log,16.0,True,1.016662836074829
75,right,log,40.0,True,1.0262207984924316
76,left,log,-16.0,True,0.9647278785705566
77,right,log,-16.0,False,33.63977098464966
78,left,log,32.0,False,1.5587782859802246
79,left,mirror,40.0,False,5.14247727394104
80,right,log,16.0,True,1.3269140720367432
81,left,log,-32.0,True,1.0068869590759277
82,left,log,-24.0,True,1.1265320777893066
83,left,log,-24.0,True,2.3681719303131104
84,left,log,-24.0,True,1.8144922256469727
85,right,log,40.0,True,4.7773051261901855
86,right,log,8.0,True,1.09977126121521
87,left,mirror,-32.0,True,1.0043747425079346
88,right,mirror,16.0,True,1.1005809307098389
89,right,mirror,8.0,True,1.1740241050720215
90,right,log,24.0,True,7.000364780426025
91,right,mirror,-24.0,False,1.949310064315796
92,right,mirror,32.0,True,1.057417869567871
93,left,mirror,24.0,False,4.324319839477539
94,right,mirror,40.0,True,1.4864020347595215
95,right,mirror,8.0,True,7.965224981307983
96,left,log,-24.0,True,1.1285078525543213
97,left,log,24.0,False,8.959315776824951
98,right,log,24.0,True,1.1239750385284424
