,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,left,log,-8.0,True,0.9243037700653076,1.0
1,left,mirror,-40.0,True,0.8900868892669678,1.0
2,left,log,-40.0,True,0.4568789005279541,1.0
3,left,mirror,-32.0,True,0.6905388832092285,1.0
4,right,mirror,40.0,True,0.4559180736541748,1.0
5,right,log,24.0,True,0.9911861419677734,1.0
6,left,log,-16.0,True,0.5062792301177979,0.8714285714285714
7,right,log,24.0,True,0.656163215637207,0.8714285714285714
8,left,log,-40.0,True,0.43866991996765137,0.8714285714285714
9,right,log,16.0,True,0.640059232711792,0.8714285714285714
10,right,mirror,16.0,True,0.45664501190185547,0.8714285714285714
11,right,mirror,0.0,False,0.85760498046875,0.8714285714285714
12,left,mirror,-32.0,True,0.5240650177001953,0.7428571428571429
13,left,mirror,-24.0,True,0.522540807723999,0.7428571428571429
14,right,log,24.0,True,0.5056743621826172,0.7428571428571429
15,left,mirror,-40.0,True,0.4056837558746338,0.7428571428571429
16,left,mirror,-24.0,True,0.472210168838501,0.7428571428571429
17,right,log,40.0,True,0.4223179817199707,0.7428571428571429
18,left,log,-24.0,True,0.3884549140930176,0.6142857142857142
19,right,log,24.0,True,0.42226290702819824,0.6142857142857142
20,right,mirror,8.0,True,0.4400796890258789,0.6142857142857142
21,right,log,32.0,True,0.5388278961181641,0.6142857142857142
22,right,log,16.0,True,0.40674495697021484,0.6142857142857142
23,left,mirror,-32.0,True,0.4564809799194336,0.6142857142857142
24,left,mirror,-8.0,True,0.5072767734527588,0.48571428571428565
25,left,log,-32.0,True,0.6588709354400635,0.48571428571428565
26,left,log,-16.0,True,0.439410924911499,0.48571428571428565
27,left,log,-40.0,True,0.4213907718658447,0.48571428571428565
28,right,log,16.0,True,0.4731128215789795,0.48571428571428565
29,right,mirror,16.0,True,0.43952107429504395,0.48571428571428565
30,right,log,8.0,True,0.5644180774688721,0.3571428571428571
31,right,log,24.0,True,0.5252490043640137,0.3571428571428571
32,right,log,40.0,True,0.48700690269470215,0.3571428571428571
33,left,log,-16.0,True,0.4367790222167969,0.3571428571428571
34,left,mirror,-24.0,True,0.45469188690185547,0.3571428571428571
35,left,mirror,-32.0,True,0.42006802558898926,0.3571428571428571
36,right,log,16.0,True,0.46619176864624023,0.22857142857142843
37,left,mirror,-24.0,True,0.4772171974182129,0.22857142857142843
38,left,log,-24.0,True,0.3708012104034424,0.22857142857142843
39,right,mirror,32.0,True,0.35742688179016113,0.22857142857142843
40,left,log,0.0,False,0.991602897644043,0.22857142857142843
41,left,mirror,-24.0,True,0.4352872371673584,0.22857142857142843
42,right,mirror,8.0,True,0.4898498058319092,0.1
43,left,log,-32.0,True,0.5784969329833984,0.1
44,right,mirror,24.0,True,0.5477731227874756,0.1
45,right,mirror,8.0,True,1.065614938735962,0.1
46,right,mirror,8.0,True,0.8372669219970703,0.1
47,left,log,32.0,False,0.8069019317626953,0.1
