,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,16.0,True,3.381464958190918
1,right,log,16.0,True,0.6362860202789307
2,left,log,-40.0,True,0.4564647674560547
3,right,mirror,32.0,True,0.3976747989654541
4,left,log,-40.0,True,0.47265005111694336
5,left,mirror,-24.0,True,0.8582148551940918
6,right,log,40.0,True,0.4094109535217285
7,left,log,-40.0,True,0.6307439804077148
8,left,mirror,-40.0,True,0.6555280685424805
9,right,mirror,32.0,True,0.5067188739776611
10,left,mirror,-24.0,True,0.4828507900238037
11,right,mirror,8.0,True,0.49721598625183105
12,right,mirror,0.0,False,1.155867099761963
13,right,mirror,32.0,True,0.4351389408111572
14,right,log,-8.0,False,0.7880756855010986
15,left,log,-40.0,True,0.5949339866638184
16,right,log,8.0,True,0.502263069152832
17,right,mirror,24.0,True,0.5717129707336426
18,right,mirror,24.0,True,0.5261597633361816
19,right,log,32.0,True,0.42332005500793457
20,left,mirror,16.0,False,1.2907049655914307
21,left,mirror,-32.0,True,0.626741886138916
22,right,mirror,40.0,True,0.5835521221160889
23,right,log,0.0,False,1.0290560722351074
24,left,mirror,-8.0,True,0.5058140754699707
25,left,log,-32.0,True,0.5010199546813965
26,right,log,24.0,True,0.5912797451019287
27,left,mirror,-32.0,True,0.5185914039611816
28,right,mirror,8.0,True,0.49698591232299805
29,left,log,-40.0,True,0.9924571514129639
30,left,mirror,-32.0,True,1.5057008266448975
31,left,mirror,-40.0,True,0.6558399200439453
32,right,log,16.0,True,0.6945400238037109
33,left,mirror,0.0,False,1.0695369243621826
34,right,mirror,24.0,True,0.5648229122161865
35,left,mirror,0.0,False,0.8830320835113525
36,right,mirror,32.0,True,0.7406561374664307
37,right,log,0.0,False,0.753868818283081
38,right,log,40.0,True,0.5009341239929199
39,right,log,32.0,True,0.5292601585388184
40,right,log,-8.0,False,0.8664560317993164
41,left,mirror,-8.0,True,0.5435760021209717
42,left,log,0.0,False,1.1467320919036865
43,right,log,16.0,True,0.5136146545410156
44,left,mirror,-32.0,True,0.840939998626709
45,left,log,-24.0,True,0.5985231399536133
46,left,mirror,-32.0,True,0.606719970703125
47,right,log,24.0,True,0.4501030445098877
48,left,mirror,-40.0,True,0.5521810054779053
49,right,mirror,40.0,True,0.6219568252563477
50,left,mirror,-32.0,True,0.6044328212738037
51,right,log,32.0,True,0.4691798686981201
52,right,log,16.0,True,1.144063949584961
53,right,log,24.0,True,0.5814170837402344
54,left,mirror,-8.0,True,0.4995841979980469
55,left,log,-8.0,True,0.914949893951416
56,right,mirror,24.0,True,0.6253390312194824
57,left,mirror,0.0,False,0.7891068458557129
58,right,mirror,8.0,True,0.558992862701416
59,right,mirror,16.0,True,0.5802609920501709
60,left,log,-16.0,True,0.7810859680175781
61,right,log,40.0,True,0.4330427646636963
62,right,log,24.0,True,0.5504400730133057
63,left,mirror,-40.0,True,0.5525267124176025
64,left,log,-24.0,True,0.49761414527893066
65,left,log,-16.0,True,0.6459801197052002
66,right,log,40.0,True,0.49788594245910645
67,right,log,24.0,True,0.5713849067687988
68,left,mirror,-16.0,True,0.5381510257720947
69,right,log,32.0,True,0.5314319133758545
70,right,mirror,32.0,True,0.5474410057067871
71,left,mirror,-24.0,True,0.4922761917114258
72,left,log,-40.0,True,0.6494910717010498
73,left,mirror,-16.0,True,1.347404956817627
74,left,log,-8.0,True,0.7830047607421875
75,left,log,-40.0,True,0.6541199684143066
76,right,mirror,40.0,True,0.443554162979126
77,right,log,24.0,True,0.4579448699951172
78,right,mirror,40.0,True,0.4658010005950928
79,left,log,-32.0,True,0.5837979316711426
80,left,log,-16.0,True,1.0003700256347656
81,left,log,-32.0,True,0.5942771434783936
82,left,mirror,-16.0,True,0.5887806415557861
83,right,mirror,16.0,True,0.39411497116088867
84,left,log,-32.0,True,0.4050600528717041
85,right,log,0.0,False,0.8138821125030518
86,right,log,8.0,True,1.605940818786621
