,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,-32.0,False,1.8422157764434814
1,left,log,-16.0,True,0.7651617527008057
2,left,mirror,-24.0,True,0.8805367946624756
3,right,mirror,-8.0,False,0.4398353099822998
4,right,log,16.0,True,0.7594039440155029
5,left,mirror,-40.0,True,1.0496392250061035
6,right,log,32.0,True,0.553840160369873
7,right,mirror,40.0,True,0.4622526168823242
8,right,log,40.0,True,0.3807671070098877
9,right,mirror,16.0,True,0.4392671585083008
10,left,mirror,-32.0,True,0.5657021999359131
11,right,log,32.0,True,0.333629846572876
12,left,log,24.0,False,0.8905258178710938
13,left,log,0.0,False,0.5196871757507324
14,right,mirror,0.0,False,1.443803310394287
15,right,log,8.0,True,0.5092799663543701
16,left,mirror,-8.0,True,1.121933937072754
17,right,log,32.0,True,0.36456799507141113
18,right,mirror,24.0,True,0.41196417808532715
19,right,mirror,32.0,True,0.7714190483093262
20,right,log,24.0,True,0.40834999084472656
21,right,mirror,24.0,True,0.40053296089172363
22,left,mirror,16.0,False,0.37595510482788086
23,left,log,-16.0,True,1.4715461730957031
24,right,log,24.0,True,0.30689311027526855
25,left,mirror,0.0,False,0.663938045501709
26,right,mirror,32.0,True,0.4517347812652588
27,left,mirror,0.0,False,0.39894795417785645
28,right,mirror,40.0,True,0.38227200508117676
29,left,mirror,-24.0,True,0.518913984298706
30,right,mirror,24.0,True,0.34206581115722656
31,left,log,-24.0,True,0.5303671360015869
32,right,log,-8.0,False,0.32643604278564453
33,right,log,32.0,True,0.3381309509277344
34,left,mirror,-24.0,True,1.1852376461029053
35,right,log,32.0,True,0.3769090175628662
36,left,log,-24.0,True,1.0586168766021729
37,right,log,40.0,True,0.3506958484649658
38,left,mirror,-40.0,True,0.4198310375213623
39,right,log,16.0,True,0.4518110752105713
40,left,log,-16.0,True,0.5966269969940186
41,left,mirror,-32.0,True,0.6884579658508301
42,right,log,16.0,True,0.36493396759033203
43,left,mirror,-8.0,True,0.641345739364624
44,right,log,32.0,True,0.3190348148345947
45,left,log,40.0,False,1.019516944885254
46,left,mirror,-32.0,True,0.7084720134735107
47,right,log,16.0,True,0.3470611572265625
48,right,mirror,32.0,True,0.36188292503356934
49,left,mirror,32.0,False,0.36146116256713867
50,left,log,-32.0,True,0.624603271484375
51,right,log,24.0,True,0.30470895767211914
52,right,mirror,8.0,True,0.7156059741973877
53,right,mirror,24.0,True,0.4258089065551758
54,left,log,-32.0,True,0.44715285301208496
55,right,mirror,40.0,True,0.31699395179748535
56,left,log,-24.0,True,0.6165392398834229
57,right,log,-16.0,False,0.48090696334838867
58,right,mirror,16.0,True,0.402019739151001
59,left,mirror,16.0,False,1.0460879802703857
60,right,log,8.0,True,0.3879258632659912
61,left,mirror,-24.0,True,0.3797430992126465
62,right,mirror,-24.0,False,0.3053126335144043
63,right,log,-32.0,False,0.8628580570220947
64,right,log,32.0,True,0.32163286209106445
65,left,log,-24.0,True,0.45621395111083984
66,right,log,-40.0,False,0.3948538303375244
67,left,mirror,-32.0,True,0.3589749336242676
68,right,log,40.0,True,0.3669240474700928
69,right,log,24.0,True,0.3651902675628662
70,right,log,0.0,False,2.0683889389038086
71,right,mirror,16.0,True,0.5013360977172852
72,right,log,8.0,True,0.41332411766052246
73,left,log,-32.0,True,0.4160189628601074
74,right,log,32.0,True,0.3129730224609375
75,left,log,32.0,False,0.33556413650512695
76,right,mirror,0.0,False,2.1923840045928955
77,left,mirror,-40.0,True,0.584428071975708
78,left,log,-24.0,True,0.598883867263794
79,right,log,-32.0,False,0.36964988708496094
80,right,mirror,8.0,True,0.6336150169372559
81,right,log,32.0,True,0.3733210563659668
82,left,log,32.0,False,0.3576502799987793
83,left,log,40.0,False,0.34936070442199707
84,right,mirror,24.0,True,0.4140908718109131
85,left,mirror,8.0,False,0.3242020606994629
86,right,log,8.0,True,0.40395331382751465
87,left,mirror,-32.0,True,0.7529692649841309
88,right,log,40.0,True,0.4682331085205078
89,left,log,0.0,False,0.4003729820251465
90,left,log,-24.0,True,0.44362807273864746
91,left,mirror,-16.0,True,0.7437899112701416
92,right,mirror,-32.0,False,1.0251493453979492
93,right,log,24.0,True,0.437117338180542
94,left,log,-16.0,True,0.45430922508239746
95,right,log,-40.0,False,0.2810349464416504
96,right,mirror,40.0,True,0.4809579849243164
97,left,log,-40.0,True,0.42900919914245605
98,right,mirror,8.0,True,0.3641059398651123
99,left,mirror,-32.0,True,0.35409998893737793
100,left,log,-40.0,True,0.4877009391784668
101,left,mirror,0.0,False,1.0057299137115479
102,right,log,16.0,True,0.36588382720947266
103,left,log,0.0,False,0.3900620937347412
104,right,log,24.0,True,0.41649723052978516
105,left,log,-16.0,True,0.3029000759124756
106,right,log,32.0,True,0.42355775833129883
107,left,log,40.0,False,0.3415799140930176
108,right,mirror,-8.0,False,1.38248872756958
109,right,log,24.0,True,0.49572205543518066
110,left,mirror,8.0,False,1.3357901573181152
111,left,mirror,-40.0,True,0.511340856552124
112,right,mirror,-40.0,False,0.951185941696167
113,right,mirror,-24.0,False,0.43980979919433594
114,right,log,8.0,True,0.45557594299316406
115,right,mirror,16.0,True,0.442655086517334
116,right,log,16.0,True,0.3659830093383789
117,left,log,0.0,False,0.31070804595947266
118,left,log,-40.0,True,0.40851306915283203
119,left,mirror,-40.0,True,0.4196469783782959
120,right,mirror,40.0,True,0.31591010093688965
121,left,log,-40.0,True,0.4265761375427246
122,right,log,24.0,True,0.32691097259521484
123,left,log,16.0,False,0.37088990211486816
124,left,log,-32.0,True,1.2334446907043457
125,right,mirror,8.0,True,0.5945007801055908
126,right,log,0.0,False,1.343937635421753
127,left,mirror,-24.0,True,0.7856619358062744
128,right,mirror,-24.0,False,0.3788769245147705
129,left,log,-40.0,True,0.5511801242828369
130,right,log,40.0,True,0.3695039749145508
131,left,mirror,-16.0,True,0.42151498794555664
132,right,mirror,-16.0,False,0.36097097396850586
133,right,log,8.0,True,0.5171961784362793
134,left,log,-8.0,True,0.4043240547180176
135,left,mirror,-16.0,True,0.8015398979187012
136,right,mirror,16.0,True,0.39979028701782227
137,left,mirror,16.0,False,0.6803770065307617
138,left,log,-32.0,True,0.5495457649230957
139,left,mirror,-24.0,True,0.454909086227417
140,right,mirror,-16.0,False,0.43017077445983887
141,right,mirror,0.0,False,0.38999176025390625
142,right,log,32.0,True,0.4358041286468506
143,right,mirror,24.0,True,0.4949820041656494
144,left,mirror,-8.0,True,0.322725772857666
145,right,mirror,8.0,True,0.36591529846191406
146,right,mirror,40.0,True,0.5470490455627441
147,left,mirror,-8.0,True,0.3417019844055176
148,right,log,24.0,True,0.44089794158935547
149,left,mirror,8.0,False,0.8718831539154053
150,left,log,-24.0,True,1.0399231910705566
151,right,mirror,0.0,False,0.7420670986175537
152,left,log,-8.0,True,1.0248088836669922
153,left,mirror,-40.0,True,0.5402002334594727
154,right,log,-16.0,False,1.387157917022705
155,right,mirror,40.0,True,0.4752519130706787
156,left,log,-32.0,True,0.5921480655670166
157,right,log,-16.0,False,0.3517446517944336
158,right,mirror,8.0,True,0.4637720584869385
159,left,mirror,-8.0,True,0.41539788246154785
160,left,mirror,-24.0,True,0.54842209815979
161,right,mirror,-40.0,False,0.36089110374450684
162,right,mirror,-32.0,False,0.6316380500793457
163,right,log,0.0,False,0.8209998607635498
164,right,log,40.0,True,0.5967330932617188
165,left,mirror,-16.0,True,0.6282038688659668
166,right,log,16.0,True,0.4519059658050537
167,right,mirror,8.0,True,0.6571331024169922
168,left,mirror,-32.0,True,0.3582019805908203
169,right,log,0.0,False,0.8044672012329102
170,left,mirror,-8.0,True,0.631375789642334
171,right,log,8.0,True,0.38216304779052734
172,right,log,40.0,True,0.41555285453796387
173,left,mirror,0.0,False,0.6776111125946045
174,right,log,-8.0,False,1.045334815979004
175,right,log,8.0,True,0.35230016708374023
176,left,mirror,-40.0,True,0.45536375045776367
177,left,log,-24.0,True,1.1934587955474854
178,right,log,24.0,True,0.34511613845825195
179,left,log,40.0,False,0.37451171875
180,left,log,-16.0,True,0.5593972206115723
181,right,mirror,0.0,False,0.8760089874267578
182,left,mirror,0.0,False,1.1061320304870605
183,right,log,-8.0,False,0.5398530960083008
184,right,log,-8.0,False,0.8450450897216797
185,right,log,8.0,True,0.4176623821258545
186,left,log,-40.0,True,0.4003479480743408
187,right,log,-8.0,False,0.39687228202819824
188,left,mirror,-24.0,True,0.6335351467132568
189,right,mirror,-8.0,False,0.4694242477416992
190,left,log,-24.0,True,0.5486550331115723
191,right,log,-8.0,False,0.3527700901031494
192,right,log,32.0,True,0.375903844833374
193,left,mirror,-8.0,True,0.4621999263763428
194,right,mirror,40.0,True,0.43185925483703613
195,right,log,8.0,True,0.41750121116638184
196,left,log,0.0,False,0.6526951789855957
197,left,mirror,-16.0,True,0.762984037399292
198,left,log,-16.0,True,0.8459289073944092
199,right,log,-40.0,False,0.3912389278411865
200,right,log,-40.0,False,0.33516693115234375
201,left,mirror,-40.0,True,0.349790096282959
202,right,mirror,8.0,True,0.31804513931274414
203,left,log,-16.0,True,0.49843716621398926
204,right,log,16.0,True,0.4113039970397949
205,right,mirror,40.0,True,0.6058392524719238
206,left,mirror,-16.0,True,0.42290520668029785
207,right,log,40.0,True,0.41536402702331543
208,left,mirror,-40.0,True,0.4541921615600586
209,right,mirror,-32.0,False,0.3253912925720215
210,left,mirror,8.0,False,0.9976832866668701
211,left,log,-40.0,True,0.7077367305755615
212,left,mirror,-32.0,True,0.37528204917907715
213,right,mirror,32.0,True,0.33787107467651367
214,left,log,-40.0,True,0.6762223243713379
215,right,mirror,40.0,True,0.41662096977233887
216,left,mirror,-40.0,True,0.6065690517425537
217,right,log,-8.0,False,0.8024718761444092
218,right,mirror,24.0,True,0.5736203193664551
219,left,mirror,16.0,False,0.5335700511932373
220,left,mirror,-40.0,True,0.4671759605407715
221,left,log,-24.0,True,0.6369030475616455
222,right,log,-8.0,False,0.3497936725616455
223,right,log,16.0,True,0.4229912757873535
224,right,mirror,16.0,True,0.41790103912353516
225,right,mirror,-8.0,False,0.5705118179321289
226,right,mirror,0.0,False,0.6872251033782959
227,right,mirror,40.0,True,0.4151628017425537
228,left,log,-40.0,True,0.4083578586578369
229,right,log,16.0,True,0.3334951400756836
230,left,mirror,-24.0,True,0.37966108322143555
231,right,mirror,32.0,True,0.35089993476867676
232,left,mirror,0.0,False,0.29329586029052734
233,left,mirror,-40.0,True,0.504838228225708
234,left,log,-32.0,True,0.8245029449462891
235,right,log,-40.0,False,0.35587406158447266
236,left,mirror,-8.0,True,1.3698642253875732
237,right,log,24.0,True,0.42665576934814453
238,left,mirror,0.0,False,0.9109470844268799
239,right,mirror,8.0,True,0.3919181823730469
240,right,log,24.0,True,0.38371706008911133
241,left,log,-8.0,True,0.3944230079650879
242,right,mirror,8.0,True,0.41402602195739746
243,right,log,40.0,True,0.4053177833557129
244,left,mirror,-32.0,True,0.541205883026123
245,left,log,-32.0,True,0.7318370342254639
246,right,log,0.0,False,0.4695281982421875
247,left,log,-16.0,True,0.5264542102813721
248,right,mirror,24.0,True,0.409045934677124
249,left,mirror,-16.0,True,0.5230169296264648
250,left,log,-16.0,True,0.43079090118408203
251,right,log,-24.0,False,0.4452247619628906
252,right,log,-24.0,False,0.3546321392059326
253,right,log,-24.0,False,0.37041306495666504
254,right,log,-40.0,False,0.32346200942993164
255,left,mirror,-40.0,True,0.6255249977111816
256,right,log,8.0,True,0.35440993309020996
257,right,log,24.0,True,0.3623847961425781
258,right,mirror,24.0,True,0.424685001373291
259,left,mirror,40.0,False,2.244658946990967
260,left,mirror,-32.0,True,0.3621678352355957
261,left,log,-24.0,True,0.5928468704223633
262,right,log,-8.0,False,0.36069488525390625
263,right,mirror,16.0,True,0.5385499000549316
264,left,mirror,24.0,False,0.9172999858856201
265,left,log,-40.0,True,0.6196999549865723
266,right,log,24.0,True,0.37453508377075195
267,left,log,-32.0,True,0.37482595443725586
268,left,mirror,-24.0,True,0.7098469734191895
269,right,log,32.0,True,0.4217400550842285
270,left,mirror,-8.0,True,0.6563377380371094
271,right,mirror,32.0,True,0.4284491539001465
272,right,log,16.0,True,0.3825211524963379
273,left,mirror,8.0,False,1.761833906173706
274,left,mirror,-8.0,True,1.1581060886383057
275,left,log,-32.0,True,0.5357391834259033
276,right,log,8.0,True,0.3664708137512207
277,right,log,16.0,True,0.5626599788665771
278,left,mirror,-8.0,True,0.7550048828125
279,left,log,8.0,False,1.605118989944458
280,right,mirror,16.0,True,0.47869110107421875
281,left,mirror,-16.0,True,0.3820469379425049
282,right,mirror,-8.0,False,0.43729686737060547
283,left,log,-8.0,True,0.6691267490386963
284,right,mirror,8.0,True,0.644338846206665
285,left,log,0.0,False,1.1900243759155273
286,right,mirror,0.0,False,0.6519579887390137
287,right,mirror,16.0,True,1.7956719398498535
288,left,log,-40.0,True,0.70011305809021
289,right,mirror,0.0,False,0.6038000583648682
290,right,mirror,24.0,True,0.574357271194458
291,left,mirror,24.0,False,1.134181261062622
292,left,log,-8.0,True,1.2641849517822266
293,right,log,8.0,True,0.8077309131622314
294,right,log,16.0,True,0.4491539001464844
295,left,mirror,-16.0,True,0.834374189376831
296,right,log,8.0,True,0.44382190704345703
297,right,mirror,8.0,True,0.8289520740509033
298,left,mirror,-40.0,True,0.6746530532836914
299,left,log,-8.0,True,1.1892306804656982
300,right,mirror,40.0,True,0.420212984085083
301,left,mirror,-32.0,True,0.4842088222503662
302,right,mirror,-8.0,False,0.4631948471069336
303,right,mirror,32.0,True,0.43013787269592285
304,left,mirror,-8.0,True,0.43398404121398926
305,right,mirror,40.0,True,0.3786470890045166
306,left,mirror,24.0,False,0.35266685485839844
307,left,mirror,40.0,False,0.9128327369689941
308,left,mirror,-24.0,True,0.37439703941345215
309,right,log,-24.0,False,1.1639537811279297
310,right,mirror,24.0,True,0.57631516456604
311,right,log,-8.0,False,1.002464771270752
312,right,log,-8.0,False,0.42266106605529785
313,right,log,8.0,True,0.4286961555480957
314,right,log,24.0,True,0.44012904167175293
315,right,mirror,32.0,True,0.4158751964569092
316,left,mirror,-40.0,True,0.46361804008483887
317,right,log,24.0,True,0.42888498306274414
318,left,log,-24.0,True,0.43685388565063477
