,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,-6.0,False,0.9072203636169434
1,right,log,10.0,True,0.6438491344451904
2,right,log,-46.0,False,0.5753469467163086
3,right,mirror,-46.0,False,0.5408883094787598
4,left,log,-70.0,True,0.46361589431762695
5,right,log,-54.0,False,0.5980417728424072
6,right,log,-6.0,False,0.5386984348297119
7,right,log,2.0,True,0.5066518783569336
8,right,log,-46.0,False,0.40149426460266113
9,left,mirror,-14.0,True,0.5544276237487793
10,left,mirror,10.0,False,0.8426816463470459
11,left,mirror,-70.0,True,0.5109775066375732
12,right,log,-14.0,False,0.3958163261413574
13,right,mirror,-14.0,False,0.33004045486450195
14,right,log,10.0,True,0.36383700370788574
15,left,log,-54.0,True,0.6800882816314697
16,left,mirror,-46.0,True,0.5272893905639648
17,left,log,-38.0,True,0.6707150936126709
18,right,log,-38.0,False,0.5347590446472168
19,right,log,2.0,True,0.5042886734008789
20,right,mirror,-14.0,False,0.5378415584564209
21,left,mirror,-62.0,True,0.6750185489654541
22,left,mirror,-70.0,True,0.4686105251312256
23,right,mirror,-38.0,False,0.6308255195617676
24,right,mirror,-22.0,False,0.6765518188476562
25,left,mirror,-30.0,True,0.4259946346282959
26,left,mirror,-6.0,True,0.7292931079864502
27,right,log,-6.0,False,0.6266446113586426
28,left,mirror,-46.0,True,0.4445188045501709
29,left,log,-22.0,True,0.7687859535217285
30,left,mirror,-70.0,True,0.7877495288848877
31,right,mirror,-38.0,False,0.5689041614532471
32,left,mirror,-22.0,True,0.39722204208374023
33,left,mirror,-46.0,True,0.6289470195770264
34,right,log,-54.0,False,0.610278844833374
35,left,mirror,10.0,False,0.5358543395996094
36,left,log,-22.0,True,0.5510377883911133
37,left,mirror,2.0,False,0.5518064498901367
38,left,log,-14.0,True,0.6371350288391113
39,left,mirror,-70.0,True,0.49932265281677246
40,right,mirror,2.0,True,0.6295731067657471
41,right,mirror,2.0,True,0.6272733211517334
42,left,mirror,10.0,False,0.657193660736084
43,left,mirror,10.0,False,0.6011981964111328
44,left,mirror,-22.0,True,0.526724100112915
45,left,mirror,-46.0,True,0.47463250160217285
46,left,mirror,-14.0,True,0.6929011344909668
47,right,mirror,-70.0,False,0.45525622367858887
48,right,mirror,2.0,True,0.7789642810821533
49,right,mirror,-30.0,False,0.4830458164215088
50,left,mirror,-14.0,True,0.49350619316101074
51,left,mirror,-30.0,True,0.5637311935424805
52,left,mirror,2.0,False,0.8188021183013916
53,left,log,-46.0,True,0.6181387901306152
54,right,mirror,-46.0,False,0.3467283248901367
55,left,mirror,-70.0,True,0.6270346641540527
56,left,log,-54.0,True,0.572561502456665
57,right,log,-6.0,False,0.577113151550293
58,right,mirror,-14.0,False,0.6795029640197754
59,left,mirror,10.0,False,0.4410274028778076
60,left,mirror,-54.0,True,0.49254846572875977
61,left,log,-54.0,True,0.4637134075164795
62,left,log,-30.0,True,0.746356725692749
63,left,mirror,-70.0,True,0.5546159744262695
64,right,log,-46.0,False,0.815338134765625
65,left,log,-22.0,True,0.4015350341796875
66,left,mirror,-30.0,True,0.6271967887878418
67,left,log,-22.0,True,0.4890618324279785
68,left,mirror,-54.0,True,0.5349431037902832
69,right,log,2.0,True,0.5461699962615967
70,right,log,10.0,True,0.5518474578857422
71,left,mirror,-6.0,True,0.7012524604797363
72,left,mirror,-70.0,True,0.41445374488830566
73,left,mirror,-38.0,True,0.4540135860443115
74,left,mirror,-46.0,True,0.48161768913269043
75,right,mirror,-62.0,False,0.6142125129699707
76,left,mirror,-46.0,True,0.44852471351623535
77,left,mirror,-62.0,True,0.4456799030303955
78,left,log,-30.0,True,0.6707344055175781
79,left,mirror,-38.0,True,0.5300478935241699
80,left,mirror,-30.0,True,0.7412190437316895
81,right,log,-6.0,False,0.49357128143310547
82,left,log,-62.0,True,0.5733993053436279
83,left,log,-54.0,True,0.46632885932922363
84,left,mirror,-14.0,True,0.5738365650177002
85,right,log,-38.0,False,0.6730773448944092
