,Response,Test Stim,Test Speed,Correct,Time
0,left,log,-10.0,True,1.4436321258544922
1,left,mirror,6.0,False,0.5993039608001709
2,left,mirror,38.0,False,0.389174222946167
3,left,mirror,-10.0,True,0.45044422149658203
4,left,mirror,38.0,False,0.513404369354248
5,left,mirror,14.0,False,0.4069962501525879
6,left,mirror,46.0,False,0.4998021125793457
7,left,log,-2.0,True,0.43322277069091797
8,left,log,14.0,False,0.7042996883392334
9,left,mirror,6.0,False,0.43216466903686523
10,left,log,14.0,False,0.4302830696105957
11,right,log,70.0,True,0.7811610698699951
12,left,mirror,30.0,False,0.5310273170471191
13,left,mirror,-10.0,True,0.42571496963500977
14,left,mirror,-2.0,True,0.4613990783691406
15,left,mirror,-2.0,True,0.5841007232666016
16,right,log,30.0,True,0.836212158203125
17,left,mirror,62.0,False,1.13395094871521
18,left,mirror,54.0,False,0.5176708698272705
19,left,mirror,-10.0,True,0.48659205436706543
20,left,log,22.0,False,0.42762088775634766
21,left,log,-10.0,True,0.5677299499511719
22,left,mirror,38.0,False,0.997952938079834
23,left,mirror,14.0,False,0.4890258312225342
24,left,log,38.0,False,0.4932122230529785
25,left,mirror,46.0,False,0.40584564208984375
26,left,mirror,62.0,False,0.576566219329834
27,left,mirror,62.0,False,0.6922340393066406
28,left,log,22.0,False,0.4159739017486572
29,left,log,70.0,False,0.5443170070648193
30,left,mirror,22.0,False,0.5176389217376709
31,left,log,6.0,False,0.4163398742675781
32,left,log,-2.0,True,0.4262120723724365
33,left,mirror,46.0,False,0.5813031196594238
34,right,log,22.0,True,0.686182975769043
35,left,log,14.0,False,0.4230778217315674
36,left,mirror,-2.0,True,0.37392306327819824
37,left,mirror,62.0,False,0.3050558567047119
38,left,mirror,70.0,False,0.3349020481109619
39,left,mirror,54.0,False,0.49749135971069336
40,left,log,22.0,False,0.45081114768981934
41,left,mirror,30.0,False,0.4757840633392334
42,left,mirror,46.0,False,0.49948596954345703
43,left,log,14.0,False,0.696739912033081
44,left,log,6.0,False,0.5124368667602539
45,right,mirror,70.0,True,0.8197019100189209
46,left,log,-2.0,True,0.7056868076324463
47,right,log,54.0,True,0.5418798923492432
48,right,log,62.0,True,0.7958452701568604
49,left,mirror,30.0,False,0.4146718978881836
50,left,log,6.0,False,0.5759618282318115
51,right,mirror,62.0,True,1.115048885345459
52,left,log,46.0,False,2.3718321323394775
53,right,log,54.0,True,0.7829971313476562
54,left,mirror,30.0,False,0.6584300994873047
55,left,log,6.0,False,0.44914698600769043
56,left,mirror,22.0,False,0.41911768913269043
57,left,mirror,62.0,False,0.595412015914917
58,left,log,70.0,False,0.5371460914611816
59,left,log,38.0,False,0.9538850784301758
60,right,mirror,38.0,True,0.8739228248596191
61,left,log,22.0,False,0.5440800189971924
62,right,log,70.0,True,0.6266160011291504
63,left,log,6.0,False,0.9585192203521729
64,left,mirror,6.0,False,0.8865988254547119
65,left,log,62.0,False,0.6322207450866699
66,left,mirror,-10.0,True,0.49050211906433105
67,right,mirror,38.0,True,0.9880447387695312
68,right,log,46.0,True,0.6984078884124756
69,left,log,14.0,False,0.4636819362640381
70,left,log,22.0,False,0.44777917861938477
71,left,log,-10.0,True,0.46860289573669434
72,left,log,-2.0,True,0.39032769203186035
73,left,log,-2.0,True,0.4686100482940674
74,left,mirror,6.0,False,0.44502711296081543
75,right,mirror,62.0,True,1.1675729751586914
76,left,mirror,22.0,False,0.3627588748931885
77,left,log,6.0,False,0.5650057792663574
78,left,log,14.0,False,0.40068697929382324
79,right,log,38.0,True,0.6281509399414062
80,right,mirror,30.0,True,0.715900182723999
81,left,mirror,30.0,False,0.7845351696014404
82,left,mirror,22.0,False,0.7604050636291504
83,right,mirror,54.0,True,0.5390028953552246
84,left,mirror,30.0,False,0.6743979454040527
85,right,log,62.0,True,0.7385387420654297
86,right,mirror,62.0,True,0.6967349052429199
87,left,mirror,6.0,False,0.454603910446167
88,right,mirror,54.0,True,0.6732990741729736
89,left,log,30.0,False,0.47886109352111816
90,left,log,14.0,False,0.4765620231628418
91,left,log,6.0,False,0.45278501510620117
92,left,mirror,22.0,False,0.6207201480865479
93,left,mirror,-2.0,True,0.3876478672027588
94,left,mirror,38.0,False,0.44005513191223145
95,left,log,54.0,False,0.3775031566619873
96,left,mirror,-2.0,True,0.7665517330169678
97,left,mirror,-2.0,True,0.3882410526275635
98,right,log,46.0,True,0.6543688774108887
99,left,mirror,30.0,False,0.4320228099822998
100,left,mirror,14.0,False,0.3767681121826172
101,left,log,6.0,False,0.46444106101989746
102,right,mirror,70.0,True,1.1626191139221191
103,left,log,30.0,False,0.4299759864807129
104,left,mirror,-2.0,True,0.38489294052124023
105,left,mirror,30.0,False,0.5225090980529785
106,left,mirror,70.0,False,0.5595717430114746
107,left,mirror,22.0,False,0.43895673751831055
108,left,log,22.0,False,0.46625208854675293
109,left,log,46.0,False,0.556736946105957
110,left,log,-2.0,True,0.42731809616088867
111,left,log,54.0,False,0.42769527435302734
112,left,mirror,70.0,False,0.3705909252166748
113,left,mirror,22.0,False,0.40072011947631836
114,left,mirror,14.0,False,0.42914605140686035
115,left,log,22.0,False,0.48540806770324707
116,left,log,46.0,False,0.496351957321167
117,right,log,38.0,True,0.7579679489135742
118,right,mirror,70.0,True,0.6331210136413574
119,left,mirror,14.0,False,0.4241518974304199
120,left,mirror,6.0,False,0.6567437648773193
121,left,mirror,6.0,False,0.4232189655303955
122,left,mirror,54.0,False,0.39510512351989746
123,left,log,14.0,False,0.4807908535003662
124,left,mirror,54.0,False,0.3792591094970703
125,left,mirror,-10.0,True,0.4178040027618408
126,left,log,46.0,False,0.4136838912963867
127,left,log,14.0,False,0.3533010482788086
