,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,right,mirror,0.0,False,7.890222787857056,1.0
1,right,log,16.0,True,1.8059840202331543,1.0
2,left,log,0.0,False,1.4192681312561035,1.0
3,right,mirror,16.0,True,1.9389660358428955,1.0
4,left,mirror,-16.0,True,1.5360608100891113,1.0
5,right,log,24.0,True,0.716576337814331,1.0
6,left,log,-24.0,True,0.7659881114959717,1.0
7,left,mirror,-16.0,True,0.7328507900238037,1.0
8,left,log,0.0,False,2.8810272216796875,1.0
9,left,mirror,-32.0,True,3.4356698989868164,1.0
10,right,mirror,40.0,True,1.1328418254852295,1.0
11,left,log,-16.0,True,0.8663239479064941,1.0
12,right,log,40.0,True,3.0443711280822754,1.0
13,right,log,16.0,True,4.08248496055603,1.0
14,right,log,24.0,True,0.9330239295959473,1.0
15,left,mirror,-8.0,True,0.7332491874694824,0.8714285714285714
16,left,log,-8.0,True,0.883105993270874,0.8714285714285714
17,left,mirror,-16.0,True,1.055737018585205,0.8714285714285714
18,left,mirror,-8.0,True,1.0642271041870117,0.8714285714285714
19,right,mirror,16.0,True,0.5829823017120361,0.8714285714285714
20,left,log,0.0,False,1.6855480670928955,0.8714285714285714
21,left,mirror,-24.0,True,0.8397829532623291,0.7428571428571429
22,right,mirror,8.0,True,0.7328557968139648,0.7428571428571429
23,left,log,-32.0,True,0.6663761138916016,0.7428571428571429
24,left,mirror,-32.0,True,0.6324172019958496,0.7428571428571429
25,left,log,0.0,False,1.096801996231079,0.7428571428571429
26,right,mirror,8.0,True,0.9414088726043701,0.7428571428571429
27,right,mirror,32.0,True,0.5995156764984131,0.6142857142857142
28,right,mirror,8.0,True,1.3158011436462402,0.6142857142857142
29,left,mirror,-32.0,True,0.6334679126739502,0.6142857142857142
30,left,mirror,-32.0,True,0.6857311725616455,0.6142857142857142
31,left,log,-32.0,True,0.5502281188964844,0.6142857142857142
32,left,mirror,-16.0,True,0.6000430583953857,0.6142857142857142
33,left,log,-16.0,True,0.6026170253753662,0.48571428571428565
34,left,mirror,-32.0,True,0.46677708625793457,0.48571428571428565
35,right,log,32.0,True,0.501755952835083,0.48571428571428565
36,left,mirror,-16.0,True,0.5603768825531006,0.48571428571428565
37,left,mirror,-8.0,True,0.512239933013916,0.48571428571428565
38,right,log,40.0,True,0.5903308391571045,0.48571428571428565
39,left,log,-16.0,True,0.3945891857147217,0.3571428571428571
40,right,log,32.0,True,0.46320104598999023,0.3571428571428571
41,left,log,-40.0,True,0.434816837310791,0.3571428571428571
42,right,log,8.0,True,1.9222111701965332,0.3571428571428571
43,right,log,40.0,True,0.5431077480316162,0.3571428571428571
44,right,mirror,16.0,True,0.5721850395202637,0.3571428571428571
45,left,mirror,-32.0,True,0.5572209358215332,0.22857142857142843
46,left,mirror,-40.0,True,0.47287821769714355,0.22857142857142843
47,right,log,40.0,True,0.43660402297973633,0.22857142857142843
48,left,log,-8.0,True,0.5582518577575684,0.22857142857142843
49,left,mirror,0.0,False,1.3193869590759277,0.22857142857142843
50,right,log,24.0,True,1.3035449981689453,0.22857142857142843
51,left,log,-40.0,True,0.43061184883117676,0.1
52,right,mirror,8.0,True,0.7703070640563965,0.1
53,right,mirror,-16.0,False,1.0989508628845215,0.1
54,left,log,-40.0,True,0.9915950298309326,0.1
55,left,log,-32.0,True,0.5469648838043213,0.1
56,left,log,-8.0,True,0.8110158443450928,0.1
