,Response,Test Stim,Test Speed,Correct,Time
0,left,mirror,-24.0,True,1.8038551807403564
1,right,mirror,24.0,True,0.549206018447876
2,right,mirror,32.0,True,1.3066270351409912
3,right,mirror,24.0,True,0.5809969902038574
4,right,log,40.0,True,0.5209019184112549
5,right,log,40.0,True,0.536787748336792
6,right,mirror,32.0,True,0.6518940925598145
7,left,log,0.0,False,0.8829629421234131
8,right,mirror,16.0,True,0.5453050136566162
9,right,log,40.0,True,0.6117861270904541
10,left,mirror,-16.0,True,0.5654821395874023
11,left,mirror,-32.0,True,0.5328271389007568
12,left,log,-40.0,True,0.6532528400421143
13,left,mirror,0.0,False,1.2665681838989258
14,right,mirror,32.0,True,0.4913756847381592
15,left,mirror,-32.0,True,0.527414083480835
16,right,log,32.0,True,0.4219648838043213
17,right,log,40.0,True,0.5074343681335449
18,left,log,-32.0,True,0.4856839179992676
19,left,log,-32.0,True,0.5881772041320801
20,left,mirror,0.0,False,0.8400812149047852
21,right,mirror,32.0,True,0.4342069625854492
22,right,mirror,40.0,True,0.43154215812683105
23,left,log,-24.0,True,0.5113968849182129
24,left,log,-40.0,True,0.5374112129211426
25,left,mirror,-40.0,True,0.649155855178833
26,left,log,-8.0,True,1.6319661140441895
27,left,log,-32.0,True,0.48454761505126953
28,right,mirror,16.0,True,0.43059301376342773
29,right,mirror,16.0,True,0.461899995803833
30,left,log,-24.0,True,0.46262335777282715
31,right,log,24.0,True,0.46423792839050293
32,left,mirror,-16.0,True,0.572824239730835
33,right,mirror,0.0,False,1.1015129089355469
34,right,mirror,40.0,True,0.47075986862182617
35,left,mirror,-40.0,True,0.4519047737121582
36,left,mirror,-16.0,True,0.4764893054962158
37,right,mirror,24.0,True,0.4447181224822998
38,right,log,24.0,True,0.45789504051208496
39,left,log,0.0,False,0.8479270935058594
40,right,log,32.0,True,0.4578230381011963
41,left,log,-16.0,True,0.4594869613647461
42,left,log,-8.0,True,0.6479640007019043
43,left,log,-40.0,True,0.5223450660705566
44,right,log,24.0,True,0.5204050540924072
45,right,log,8.0,True,0.5224037170410156
46,right,mirror,32.0,True,0.5104827880859375
47,right,mirror,8.0,True,0.5365340709686279
48,left,mirror,0.0,False,0.7050440311431885
49,right,mirror,0.0,False,0.6199519634246826
50,left,mirror,-8.0,True,0.755263090133667
51,left,log,-24.0,True,0.48795008659362793
52,left,mirror,-40.0,True,0.5860872268676758
53,right,mirror,32.0,True,0.42871880531311035
54,right,mirror,32.0,True,0.4498460292816162
55,right,mirror,8.0,True,0.478471040725708
56,left,mirror,-40.0,True,0.49513697624206543
57,left,mirror,0.0,False,2.036525011062622
58,right,log,24.0,True,0.3895127773284912
59,left,log,-32.0,True,0.5149891376495361
60,left,mirror,-16.0,True,0.5319647789001465
61,right,mirror,8.0,True,0.600074052810669
62,right,mirror,8.0,True,0.5118772983551025
63,left,mirror,-16.0,True,0.5020310878753662
64,right,mirror,8.0,True,0.4933199882507324
65,right,log,32.0,True,0.5035247802734375
66,left,log,-16.0,True,0.4673600196838379
