,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,right,mirror,8.0,True,1.5565311908721924,1.0
1,right,log,8.0,True,1.1162841320037842,1.0
2,left,mirror,-40.0,True,0.5830988883972168,1.0
3,right,log,24.0,True,0.7320199012756348,1.0
4,left,log,-32.0,True,0.731626033782959,1.0
5,right,mirror,40.0,True,0.46500587463378906,1.0
6,left,log,16.0,False,0.24904799461364746,0.8714285714285714
7,left,log,-16.0,True,0.6321799755096436,0.8714285714285714
8,left,mirror,-8.0,True,1.631856918334961,0.8714285714285714
9,left,mirror,-24.0,True,0.6165821552276611,0.8714285714285714
10,left,mirror,-8.0,True,0.6490941047668457,0.8714285714285714
11,right,log,32.0,True,0.5824220180511475,0.8714285714285714
12,left,mirror,24.0,False,0.549983024597168,0.7428571428571429
13,left,log,32.0,False,0.6658649444580078,0.7428571428571429
14,right,mirror,-32.0,False,9.12769603729248,0.7428571428571429
15,right,log,8.0,True,1.3469083309173584,0.7428571428571429
16,left,log,-16.0,True,0.5662002563476562,0.7428571428571429
17,left,log,-16.0,True,0.5836851596832275,0.7428571428571429
18,left,log,0.0,False,2.0821878910064697,0.7428571428571429
19,left,mirror,-40.0,True,0.9279577732086182,0.7428571428571429
20,right,mirror,8.0,True,0.6492428779602051,0.7428571428571429
21,right,log,40.0,True,0.6837871074676514,0.7428571428571429
22,left,log,-16.0,True,0.4658486843109131,0.7428571428571429
23,left,mirror,0.0,False,0.7000648975372314,0.7428571428571429
24,left,mirror,-40.0,True,0.6993660926818848,0.7428571428571429
25,left,mirror,-32.0,True,0.5162181854248047,0.7428571428571429
26,right,log,0.0,False,0.7321560382843018,0.7428571428571429
27,left,mirror,-16.0,True,0.4990110397338867,0.7428571428571429
28,left,mirror,-24.0,True,0.5162258148193359,0.7428571428571429
29,right,mirror,40.0,True,0.5159101486206055,0.7428571428571429
30,left,log,40.0,False,1.0830929279327393,0.7428571428571429
31,left,log,-8.0,True,0.9483299255371094,0.7428571428571429
32,right,mirror,-24.0,False,0.7169437408447266,0.7428571428571429
33,right,log,32.0,True,0.6322782039642334,0.7428571428571429
34,left,log,-8.0,True,0.5666890144348145,0.7428571428571429
35,left,log,0.0,False,0.6328220367431641,0.7428571428571429
36,left,log,-24.0,True,0.5994210243225098,0.7428571428571429
37,right,mirror,24.0,True,0.5325610637664795,0.7428571428571429
38,left,mirror,-40.0,True,0.5332558155059814,0.7428571428571429
39,right,log,8.0,True,0.5986061096191406,0.7428571428571429
40,left,log,-40.0,True,0.5006721019744873,0.7428571428571429
41,left,mirror,-32.0,True,0.46666598320007324,0.7428571428571429
42,left,log,-8.0,True,0.5330779552459717,0.7428571428571429
43,left,log,-32.0,True,0.5158309936523438,0.7428571428571429
44,right,mirror,24.0,True,0.5334022045135498,0.7428571428571429
45,right,mirror,32.0,True,0.5322599411010742,0.7428571428571429
46,left,log,40.0,False,0.5496902465820312,0.7428571428571429
47,right,mirror,40.0,True,0.6824572086334229,0.7428571428571429
48,left,mirror,-32.0,True,0.732306957244873,0.7428571428571429
49,left,mirror,-16.0,True,0.5162501335144043,0.7428571428571429
50,right,log,0.0,False,8.176537275314331,0.7428571428571429
51,left,log,-8.0,True,0.8683221340179443,0.7428571428571429
52,right,log,32.0,True,0.5486578941345215,0.7428571428571429
53,left,log,-8.0,True,0.39974379539489746,0.7428571428571429
54,right,mirror,-40.0,False,0.36608004570007324,0.7428571428571429
55,left,mirror,-40.0,True,0.6484627723693848,0.7428571428571429
56,left,log,-8.0,True,0.5167617797851562,0.7428571428571429
57,right,log,40.0,True,0.5988569259643555,0.7428571428571429
58,left,log,-24.0,True,0.4162108898162842,0.7428571428571429
59,right,log,40.0,True,0.5327348709106445,0.7428571428571429
60,right,log,40.0,True,0.5338850021362305,0.7428571428571429
61,left,mirror,-32.0,True,0.49825310707092285,0.7428571428571429
62,right,log,16.0,True,0.5663349628448486,0.7428571428571429
63,left,log,-32.0,True,0.49971675872802734,0.7428571428571429
64,left,log,-24.0,True,0.4489099979400635,0.7428571428571429
65,right,log,40.0,True,0.517052173614502,0.7428571428571429
66,right,log,40.0,True,0.5490949153900146,0.7428571428571429
67,left,log,-24.0,True,0.5492689609527588,0.7428571428571429
68,left,mirror,-16.0,True,0.533073902130127,0.7428571428571429
69,right,mirror,8.0,True,0.6495170593261719,0.7428571428571429
70,right,mirror,16.0,True,0.5820698738098145,0.7428571428571429
71,left,mirror,-32.0,True,0.43228697776794434,0.7428571428571429
72,right,log,16.0,True,0.5989730358123779,0.6142857142857142
73,right,log,24.0,True,0.662200927734375,0.6142857142857142
74,right,mirror,16.0,True,0.6986541748046875,0.6142857142857142
75,left,mirror,-32.0,True,0.8183989524841309,0.6142857142857142
76,right,mirror,16.0,True,0.5975773334503174,0.6142857142857142
77,left,mirror,-24.0,True,0.9106559753417969,0.6142857142857142
78,right,log,24.0,True,0.5166730880737305,0.48571428571428565
79,right,mirror,0.0,False,9.293056011199951,0.48571428571428565
80,right,log,32.0,True,0.6011347770690918,0.48571428571428565
81,up,log,32.0,False,15.422486066818237,0.48571428571428565
82,left,log,-40.0,True,0.6217970848083496,0.48571428571428565
83,left,log,-32.0,True,0.5162768363952637,0.48571428571428565
84,left,log,0.0,False,12.290032863616943,0.48571428571428565
85,left,mirror,-40.0,True,0.506821870803833,0.48571428571428565
86,right,mirror,32.0,True,0.5742218494415283,0.48571428571428565
87,left,mirror,40.0,False,17.30478310585022,0.48571428571428565
88,right,mirror,-16.0,False,1.0587999820709229,0.48571428571428565
89,right,log,32.0,True,0.8063817024230957,0.48571428571428565
90,right,log,40.0,True,0.5224001407623291,0.48571428571428565
91,right,mirror,40.0,True,0.5727128982543945,0.48571428571428565
92,left,mirror,0.0,False,10.42676591873169,0.48571428571428565
93,right,mirror,24.0,True,0.5520131587982178,0.48571428571428565
94,right,mirror,8.0,True,0.5004990100860596,0.48571428571428565
95,left,mirror,-40.0,True,0.4994959831237793,0.48571428571428565
96,right,mirror,-24.0,False,0.5116860866546631,0.48571428571428565
97,left,log,8.0,False,14.649190902709961,0.48571428571428565
98,left,mirror,-40.0,True,0.6328182220458984,0.48571428571428565
99,left,mirror,-8.0,True,0.4152710437774658,0.48571428571428565
100,right,mirror,40.0,True,0.41688108444213867,0.48571428571428565
101,left,log,8.0,False,0.6365499496459961,0.48571428571428565
102,left,mirror,0.0,False,5.7646331787109375,0.48571428571428565
103,right,mirror,0.0,False,0.6108500957489014,0.48571428571428565
104,left,log,-16.0,True,0.4502599239349365,0.48571428571428565
105,right,mirror,32.0,True,0.4325690269470215,0.48571428571428565
106,right,mirror,8.0,True,0.4828298091888428,0.48571428571428565
107,right,mirror,8.0,True,0.4663968086242676,0.48571428571428565
108,left,log,16.0,False,0.5005261898040771,0.48571428571428565
109,left,log,-24.0,True,0.5785820484161377,0.48571428571428565
110,right,mirror,24.0,True,0.41605401039123535,0.48571428571428565
111,left,mirror,-16.0,True,0.4664168357849121,0.48571428571428565
112,right,mirror,40.0,True,0.5037810802459717,0.48571428571428565
113,left,log,16.0,False,0.3829479217529297,0.48571428571428565
114,right,mirror,24.0,True,0.4495511054992676,0.48571428571428565
115,left,mirror,24.0,False,0.3832671642303467,0.48571428571428565
116,right,log,8.0,True,5.1066389083862305,0.48571428571428565
117,left,mirror,-24.0,True,0.6250278949737549,0.48571428571428565
118,left,log,-40.0,True,0.5262119770050049,0.48571428571428565
119,left,log,0.0,False,0.6369421482086182,0.48571428571428565
120,left,log,-16.0,True,0.5020730495452881,0.48571428571428565
121,right,mirror,-8.0,False,0.5596308708190918,0.48571428571428565
122,left,log,-8.0,True,0.44980597496032715,0.48571428571428565
123,left,log,24.0,False,0.3658900260925293,0.48571428571428565
124,left,log,8.0,False,0.4828500747680664,0.48571428571428565
125,right,mirror,-32.0,False,0.4828920364379883,0.48571428571428565
126,left,log,0.0,False,0.39951491355895996,0.48571428571428565
127,right,mirror,8.0,True,0.4651961326599121,0.48571428571428565
128,left,log,32.0,False,0.4834916591644287,0.48571428571428565
129,right,mirror,-40.0,False,0.44853782653808594,0.48571428571428565
130,right,log,24.0,True,0.6331028938293457,0.48571428571428565
131,left,mirror,32.0,False,0.46709418296813965,0.48571428571428565
132,right,log,40.0,True,0.4321608543395996,0.48571428571428565
133,right,mirror,8.0,True,0.5253221988677979,0.48571428571428565
134,right,log,16.0,True,0.4823579788208008,0.48571428571428565
135,right,log,8.0,True,0.4484231472015381,0.48571428571428565
136,left,mirror,32.0,False,3.3486011028289795,0.48571428571428565
137,right,log,-8.0,False,0.5777759552001953,0.48571428571428565
138,left,mirror,-8.0,True,0.49907708168029785,0.48571428571428565
139,right,log,40.0,True,0.4162940979003906,0.48571428571428565
140,left,log,8.0,False,0.5340616703033447,0.48571428571428565
141,right,mirror,24.0,True,0.5329558849334717,0.48571428571428565
142,left,mirror,-32.0,True,0.41719794273376465,0.48571428571428565
143,right,log,-16.0,False,0.4665501117706299,0.48571428571428565
144,left,mirror,-24.0,True,0.529228925704956,0.48571428571428565
145,right,mirror,0.0,False,0.4328780174255371,0.48571428571428565
146,left,log,24.0,False,0.6355793476104736,0.48571428571428565
147,right,log,-32.0,False,0.4496729373931885,0.48571428571428565
148,left,log,-32.0,True,0.41593289375305176,0.48571428571428565
149,right,log,40.0,True,0.3993549346923828,0.48571428571428565
150,left,log,8.0,False,0.31600308418273926,0.48571428571428565
151,right,mirror,32.0,True,0.7014870643615723,0.48571428571428565
152,right,log,-24.0,False,9.28477692604065,0.48571428571428565
153,left,log,-40.0,True,0.8500888347625732,0.48571428571428565
154,right,log,40.0,True,1.0710301399230957,0.48571428571428565
155,right,mirror,0.0,False,0.8221821784973145,0.48571428571428565
156,right,mirror,24.0,True,0.49884605407714844,0.48571428571428565
157,right,log,40.0,True,0.43271923065185547,0.48571428571428565
158,left,log,16.0,False,22.238309860229492,0.48571428571428565
159,right,mirror,-16.0,False,0.6452751159667969,0.48571428571428565
160,right,log,-8.0,False,0.416107177734375,0.48571428571428565
161,right,log,-32.0,False,4.753304958343506,0.48571428571428565
