,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,24.0,True,0.866217851638794
1,right,log,40.0,True,0.439194917678833
2,left,mirror,-40.0,True,0.5575160980224609
3,right,log,16.0,True,0.4414691925048828
4,left,mirror,-24.0,True,0.49380993843078613
5,right,log,8.0,True,0.47713303565979004
6,left,mirror,-8.0,True,0.6989250183105469
7,left,mirror,-40.0,True,0.4861481189727783
8,right,mirror,32.0,True,0.5406589508056641
9,left,mirror,-24.0,True,0.46591901779174805
10,left,log,-24.0,True,0.46564817428588867
11,left,mirror,0.0,False,0.6075420379638672
12,left,mirror,-16.0,True,0.6910920143127441
13,right,mirror,-8.0,False,1.1815900802612305
14,right,log,40.0,True,0.4817841053009033
15,left,log,-16.0,True,0.4566938877105713
16,right,mirror,0.0,False,0.3632361888885498
17,left,log,-40.0,True,0.8492181301116943
18,left,mirror,-24.0,True,0.5695090293884277
19,left,log,0.0,False,0.5428199768066406
20,right,mirror,32.0,True,0.8896481990814209
21,left,log,-8.0,True,0.8009400367736816
22,left,mirror,-24.0,True,0.5041608810424805
23,right,log,32.0,True,0.6582810878753662
24,left,log,-32.0,True,0.8970229625701904
25,left,mirror,-32.0,True,0.5447189807891846
26,right,log,24.0,True,0.4949150085449219
27,right,mirror,24.0,True,0.547105073928833
28,left,log,-24.0,True,0.6016919612884521
29,right,log,24.0,True,0.5173001289367676
30,right,mirror,24.0,True,0.34948301315307617
31,left,mirror,8.0,False,0.4564218521118164
32,left,mirror,-32.0,True,0.5353379249572754
33,right,log,40.0,True,0.43607187271118164
34,left,log,-24.0,True,0.44712185859680176
35,right,mirror,16.0,True,0.7310280799865723
36,left,log,16.0,False,0.5379750728607178
37,left,mirror,-8.0,True,0.4851510524749756
38,right,mirror,-16.0,False,0.8014538288116455
39,left,log,-24.0,True,0.5520577430725098
40,right,log,-24.0,False,0.6332759857177734
41,right,log,-40.0,False,0.43897032737731934
42,right,mirror,40.0,True,0.44184184074401855
43,left,mirror,40.0,False,0.4708070755004883
44,right,log,24.0,True,0.41381311416625977
45,right,mirror,32.0,True,0.40363597869873047
46,right,log,40.0,True,0.4197502136230469
47,left,log,24.0,False,0.42162108421325684
48,left,log,32.0,False,0.43827295303344727
49,right,mirror,24.0,True,0.8391292095184326
50,right,log,8.0,True,0.4853951930999756
51,right,log,32.0,True,0.4292757511138916
52,right,mirror,32.0,True,0.48499584197998047
53,left,mirror,-40.0,True,0.4237937927246094
54,left,log,-32.0,True,0.5219719409942627
55,right,log,24.0,True,0.3933260440826416
56,left,log,24.0,False,0.472271203994751
57,right,mirror,0.0,False,0.6009678840637207
58,left,log,-40.0,True,0.42243313789367676
59,left,mirror,-24.0,True,0.5612821578979492
60,right,mirror,40.0,True,0.4864308834075928
61,left,mirror,8.0,False,0.518517017364502
62,left,log,-40.0,True,0.36075687408447266
63,right,log,-16.0,False,0.3644390106201172
64,right,log,32.0,True,0.5673317909240723
65,right,mirror,8.0,True,0.8423337936401367
66,right,log,-32.0,False,0.9932382106781006
67,right,log,32.0,True,0.5270962715148926
68,left,log,16.0,False,0.6942658424377441
