,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,16.0,True,0.8091630935668945
1,right,mirror,32.0,True,0.45995664596557617
2,right,log,8.0,True,0.46511340141296387
3,left,mirror,-40.0,True,0.39044761657714844
4,left,mirror,-40.0,True,0.41153812408447266
5,right,mirror,40.0,True,0.39655637741088867
6,left,mirror,-24.0,True,0.4278542995452881
7,right,log,8.0,True,0.3968021869659424
8,left,log,0.0,False,0.4417109489440918
9,left,log,-16.0,True,0.43305087089538574
10,left,log,-16.0,True,0.485776424407959
11,right,log,40.0,True,0.39337658882141113
12,left,mirror,-32.0,True,0.3943812847137451
13,right,log,8.0,True,0.3753230571746826
14,left,log,-16.0,True,0.39403223991394043
15,left,log,-40.0,True,0.4756438732147217
16,left,log,-24.0,True,0.40435099601745605
17,left,mirror,-24.0,True,0.4199206829071045
18,left,mirror,-32.0,True,0.4536769390106201
19,right,log,32.0,True,0.4261341094970703
20,right,log,32.0,True,0.5142827033996582
21,right,log,40.0,True,0.43047118186950684
22,left,mirror,0.0,False,0.598987340927124
23,right,log,40.0,True,0.3986020088195801
24,left,mirror,-40.0,True,0.5100581645965576
25,right,log,0.0,False,0.44596385955810547
26,left,mirror,-24.0,True,0.43820929527282715
27,left,mirror,-16.0,True,0.5005588531494141
28,left,log,-16.0,True,0.4923832416534424
29,right,log,8.0,True,0.4114670753479004
30,right,mirror,32.0,True,0.43741583824157715
31,right,log,0.0,False,0.5248298645019531
32,right,mirror,40.0,True,0.4335134029388428
33,left,log,-40.0,True,0.40232229232788086
34,left,mirror,-16.0,True,0.4730048179626465
35,left,mirror,-32.0,True,0.43173933029174805
36,right,log,8.0,True,0.4999840259552002
37,left,mirror,0.0,False,0.585644006729126
38,right,log,8.0,True,0.4238758087158203
39,right,mirror,32.0,True,0.4931001663208008
40,left,mirror,-32.0,True,0.39307093620300293
41,left,log,-24.0,True,0.466080904006958
42,left,log,0.0,False,0.5095474720001221
43,right,mirror,8.0,True,0.524951696395874
44,left,mirror,-16.0,True,0.4439830780029297
45,right,mirror,32.0,True,0.4346780776977539
46,left,log,-40.0,True,0.4431800842285156
47,right,mirror,8.0,True,0.5157451629638672
48,right,log,16.0,True,0.4404137134552002
49,left,mirror,-40.0,True,0.4022188186645508
50,left,mirror,-24.0,True,0.4059255123138428
51,right,mirror,0.0,False,0.4013247489929199
52,left,mirror,-8.0,True,0.45607638359069824
53,right,log,16.0,True,0.4315829277038574
54,left,mirror,-8.0,True,0.4772341251373291
55,right,mirror,16.0,True,0.4842262268066406
56,left,mirror,-40.0,True,0.37586474418640137
57,left,mirror,-24.0,True,0.40781211853027344
58,right,log,24.0,True,0.4173243045806885
59,right,log,40.0,True,0.40658092498779297
60,right,log,32.0,True,0.4269449710845947
61,left,mirror,-24.0,True,0.41812586784362793
62,right,mirror,0.0,False,0.39600396156311035
63,right,mirror,8.0,True,0.42258167266845703
64,right,mirror,8.0,True,0.44439244270324707
65,left,log,0.0,False,0.5993602275848389
66,right,mirror,16.0,True,0.4188880920410156
67,right,mirror,40.0,True,0.3880307674407959
68,right,mirror,24.0,True,0.4594097137451172
69,right,mirror,32.0,True,0.38791799545288086
70,left,log,-8.0,True,0.4393167495727539
71,right,mirror,8.0,True,0.5205268859863281
72,left,log,-16.0,True,0.39878106117248535
73,right,log,8.0,True,0.9115920066833496
74,right,log,32.0,True,0.4264802932739258
75,right,mirror,16.0,True,0.4244832992553711
76,right,mirror,40.0,True,0.41321229934692383
77,right,log,24.0,True,0.43728065490722656
78,left,mirror,-40.0,True,0.4159379005432129
79,left,log,-24.0,True,0.48980188369750977
80,right,log,24.0,True,0.4132087230682373
81,left,log,-40.0,True,0.41393494606018066
82,left,log,-40.0,True,0.40485191345214844
83,left,mirror,-24.0,True,0.3942399024963379
84,left,mirror,-32.0,True,0.427837610244751
85,left,mirror,-24.0,True,0.39708900451660156
86,right,mirror,0.0,False,0.4297306537628174
87,right,mirror,16.0,True,0.5057275295257568
88,right,mirror,8.0,True,0.551990270614624
89,left,log,-40.0,True,0.47685933113098145
90,left,log,-40.0,True,0.43495869636535645
91,left,mirror,-40.0,True,0.4278128147125244
92,left,mirror,-40.0,True,0.47975802421569824
93,left,log,0.0,False,0.4965376853942871
94,right,mirror,40.0,True,0.42848896980285645
95,right,mirror,40.0,True,0.4472982883453369
96,right,mirror,32.0,True,0.4762916564941406
97,left,mirror,-32.0,True,0.41382694244384766
98,left,mirror,0.0,False,0.43809008598327637
99,right,mirror,16.0,True,0.39983606338500977
100,left,mirror,-40.0,True,0.4162161350250244
101,left,log,-8.0,True,0.4637768268585205
102,left,log,-40.0,True,0.41820645332336426
103,left,log,-24.0,True,0.5262265205383301
104,right,log,40.0,True,0.42446398735046387
105,right,mirror,24.0,True,0.48233842849731445
106,left,mirror,-32.0,True,0.41405797004699707
107,left,log,-32.0,True,0.4395163059234619
108,left,log,-8.0,True,0.45026731491088867
109,right,mirror,40.0,True,0.4169137477874756
110,right,log,32.0,True,0.40082550048828125
111,right,mirror,8.0,True,0.48505234718322754
112,left,log,-16.0,True,0.4195115566253662
113,right,log,32.0,True,0.4171624183654785
114,right,mirror,40.0,True,0.4645702838897705
115,right,log,32.0,True,0.40821218490600586
116,left,mirror,-24.0,True,0.3840620517730713
117,right,mirror,40.0,True,0.4233875274658203
