,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,right,mirror,8.0,True,1.330352783203125,1.0
1,right,mirror,0.0,False,2.258758544921875,1.0
2,left,mirror,-40.0,True,1.421499490737915,1.0
3,left,log,-8.0,True,1.3083937168121338,1.0
4,left,mirror,-24.0,True,1.28157377243042,1.0
5,left,mirror,-32.0,True,1.4364089965820312,1.0
6,right,mirror,40.0,True,1.17744779586792,0.8714285714285714
7,right,log,40.0,True,1.1370105743408203,0.8714285714285714
8,left,mirror,-16.0,True,1.1458442211151123,0.8714285714285714
9,right,log,0.0,False,1.1186919212341309,0.8714285714285714
10,left,log,-16.0,True,1.1547749042510986,0.8714285714285714
11,left,log,-8.0,True,1.1555752754211426,0.8714285714285714
12,right,log,16.0,True,1.1005187034606934,0.7428571428571429
13,right,log,8.0,True,1.0072605609893799,0.7428571428571429
14,left,log,-8.0,True,1.035128116607666,0.7428571428571429
15,right,log,40.0,True,1.007220983505249,0.7428571428571429
16,right,mirror,16.0,True,1.019181728363037,0.7428571428571429
17,right,mirror,16.0,True,0.9982097148895264,0.7428571428571429
18,left,mirror,-32.0,True,0.9183411598205566,0.6142857142857142
19,left,mirror,-40.0,True,0.8990254402160645,0.6142857142857142
20,right,mirror,16.0,True,0.8567917346954346,0.6142857142857142
21,right,log,16.0,True,0.8952634334564209,0.6142857142857142
22,right,mirror,16.0,True,0.8835482597351074,0.6142857142857142
23,left,log,-24.0,True,0.8765904903411865,0.6142857142857142
24,right,log,0.0,False,0.753441572189331,0.48571428571428565
25,left,mirror,-24.0,True,0.8151161670684814,0.48571428571428565
26,left,log,-40.0,True,0.7977738380432129,0.48571428571428565
27,right,mirror,24.0,True,0.7412374019622803,0.48571428571428565
28,right,log,16.0,True,0.7379257678985596,0.48571428571428565
29,right,mirror,16.0,True,0.758765697479248,0.48571428571428565
30,left,log,-16.0,True,0.6961581707000732,0.3571428571428571
31,right,mirror,16.0,True,0.6712644100189209,0.3571428571428571
32,right,log,8.0,True,0.6807770729064941,0.3571428571428571
33,right,mirror,24.0,True,0.6488595008850098,0.3571428571428571
34,right,mirror,16.0,True,0.6411967277526855,0.3571428571428571
35,left,log,-8.0,True,0.6649520397186279,0.3571428571428571
36,left,log,-16.0,True,0.5945606231689453,0.22857142857142843
37,left,mirror,0.0,False,1.4611561298370361,0.22857142857142843
38,left,log,-24.0,True,0.5263693332672119,0.22857142857142843
39,left,mirror,0.0,False,3.0385823249816895,0.22857142857142843
40,right,mirror,24.0,True,0.5021944046020508,0.22857142857142843
41,right,log,16.0,True,0.7160348892211914,0.22857142857142843
42,right,log,40.0,True,0.7988677024841309,0.22857142857142843
43,left,log,-40.0,True,0.5790960788726807,0.22857142857142843
44,left,log,-24.0,True,0.5485734939575195,0.22857142857142843
45,right,mirror,16.0,True,0.5261924266815186,0.22857142857142843
46,right,mirror,16.0,True,1.712052345275879,0.1
47,left,log,-40.0,True,0.7114906311035156,0.1
48,right,log,16.0,True,0.5765652656555176,0.1
49,right,log,8.0,True,0.7380945682525635,0.1
50,left,mirror,-40.0,True,0.5238358974456787,0.1
51,left,log,-24.0,True,0.9414515495300293,0.1
