,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,8.0,True,0.5178096294403076
1,left,mirror,-24.0,True,0.3611905574798584
2,left,log,-24.0,True,0.4227280616760254
3,right,log,-40.0,False,0.34095096588134766
4,right,log,-16.0,False,0.5482378005981445
5,left,mirror,0.0,False,0.5561213493347168
6,left,mirror,-24.0,True,0.4131782054901123
7,right,mirror,-32.0,False,0.5174496173858643
8,right,mirror,-16.0,False,0.594153642654419
9,right,mirror,-8.0,False,0.5042538642883301
10,right,log,0.0,False,0.5632269382476807
11,right,log,40.0,True,0.38754701614379883
12,left,log,-8.0,True,0.37827515602111816
13,right,log,-16.0,False,0.6931600570678711
14,left,mirror,-8.0,True,0.45292115211486816
15,right,log,32.0,True,0.35866641998291016
16,right,mirror,40.0,True,0.6101982593536377
17,left,mirror,24.0,False,0.3810157775878906
18,right,log,40.0,True,0.42790770530700684
19,left,log,24.0,False,0.37270498275756836
20,right,mirror,24.0,True,0.4197075366973877
21,left,mirror,-40.0,True,0.35898590087890625
22,left,log,-40.0,True,0.5131094455718994
23,right,log,0.0,False,0.34921813011169434
24,right,log,16.0,True,0.697265625
25,right,mirror,24.0,True,0.7488405704498291
26,right,log,8.0,True,0.7850949764251709
27,right,mirror,16.0,True,0.6283106803894043
28,left,log,-32.0,True,0.3521738052368164
29,right,log,-40.0,False,0.5896661281585693
30,right,mirror,40.0,True,0.5035152435302734
31,right,log,16.0,True,0.5818946361541748
32,left,log,-24.0,True,0.5880589485168457
33,left,mirror,-16.0,True,0.993643045425415
34,right,mirror,-32.0,False,1.6501505374908447
35,left,log,-16.0,True,0.4327061176300049
36,right,log,-24.0,False,0.40096235275268555
37,left,mirror,-8.0,True,0.5400192737579346
38,right,log,16.0,True,0.6380484104156494
39,left,mirror,-32.0,True,0.42870593070983887
40,right,mirror,-40.0,False,0.45911455154418945
41,right,mirror,-16.0,False,0.5602409839630127
42,right,mirror,-8.0,False,0.665168046951294
43,left,log,-24.0,True,0.4579300880432129
44,right,log,16.0,True,0.47678232192993164
45,right,log,40.0,True,0.5195529460906982
46,left,mirror,-8.0,True,0.47353029251098633
47,left,log,-40.0,True,0.4591982364654541
48,right,mirror,16.0,True,0.4302825927734375
49,left,mirror,24.0,False,0.5234425067901611
50,left,mirror,16.0,False,0.6685202121734619
51,left,log,-16.0,True,0.6058225631713867
52,right,mirror,40.0,True,0.5166966915130615
53,left,mirror,-40.0,True,0.5319087505340576
54,right,mirror,16.0,True,0.39325666427612305
55,left,mirror,-16.0,True,0.5586252212524414
56,right,log,8.0,True,0.5695531368255615
57,left,mirror,-24.0,True,0.4546473026275635
58,right,mirror,16.0,True,0.3213613033294678
59,left,log,-24.0,True,0.4880990982055664
60,left,log,-32.0,True,0.7416243553161621
61,right,log,-16.0,False,0.5684375762939453
62,right,log,8.0,True,0.5144109725952148
63,right,mirror,16.0,True,0.5272865295410156
64,left,mirror,-40.0,True,0.3612544536590576
65,left,log,-32.0,True,0.47239136695861816
66,right,mirror,8.0,True,0.5251526832580566
67,left,log,-24.0,True,0.476715087890625
68,left,mirror,-40.0,True,0.5114946365356445
69,right,mirror,0.0,False,0.5046319961547852
70,left,mirror,-32.0,True,0.3958446979522705
71,right,log,40.0,True,0.4163932800292969
72,left,log,8.0,False,0.3744640350341797
73,left,log,-8.0,True,0.6199924945831299
74,left,mirror,-16.0,True,0.5408124923706055
75,right,mirror,0.0,False,0.38275742530822754
76,right,log,8.0,True,0.5055434703826904
77,left,mirror,-32.0,True,0.4873523712158203
78,right,mirror,-24.0,False,0.7150282859802246
79,left,log,-32.0,True,0.5865669250488281
80,right,log,16.0,True,0.5062131881713867
81,right,mirror,32.0,True,0.7483828067779541
82,left,mirror,-16.0,True,0.4205498695373535
83,right,mirror,40.0,True,0.5732667446136475
84,left,mirror,8.0,False,0.40897560119628906
85,left,mirror,-32.0,True,0.5129837989807129
86,right,mirror,24.0,True,0.49135661125183105
87,left,mirror,32.0,False,0.6473333835601807
88,right,log,16.0,True,0.7456896305084229
89,left,log,16.0,False,0.5264155864715576
90,left,mirror,-32.0,True,0.4910619258880615
91,right,mirror,-16.0,False,0.5633955001831055
92,left,mirror,-40.0,True,0.485382080078125
93,right,mirror,40.0,True,0.43291187286376953
94,right,log,32.0,True,0.5054748058319092
95,right,mirror,8.0,True,0.8553438186645508
96,right,log,8.0,True,0.48154187202453613
97,left,log,0.0,False,0.5628533363342285
98,right,log,32.0,True,0.39064717292785645
99,left,log,40.0,False,0.5263597965240479
100,left,log,16.0,False,0.6474466323852539
101,left,log,-16.0,True,0.4930994510650635
102,left,mirror,-40.0,True,0.8861806392669678
103,right,mirror,0.0,False,0.5343887805938721
104,right,log,24.0,True,0.5565063953399658
105,right,mirror,32.0,True,0.5657901763916016
106,left,mirror,40.0,False,0.6156172752380371
107,right,log,40.0,True,0.6222403049468994
108,right,mirror,16.0,True,0.6168718338012695
109,right,log,0.0,False,0.7629616260528564
110,left,log,-32.0,True,0.49869251251220703
111,left,mirror,-16.0,True,0.9355616569519043
112,right,mirror,32.0,True,0.4597630500793457
113,right,log,40.0,True,0.5505716800689697
114,left,log,-40.0,True,0.5268428325653076
115,right,log,16.0,True,0.3648383617401123
116,right,mirror,32.0,True,0.6243572235107422
117,right,log,8.0,True,0.6189560890197754
118,right,log,24.0,True,0.5816469192504883
119,left,mirror,-24.0,True,0.4434537887573242
120,right,mirror,0.0,False,0.6202456951141357
121,right,log,40.0,True,0.7218966484069824
122,left,mirror,-8.0,True,0.5493848323822021
123,right,mirror,40.0,True,0.47747159004211426
124,right,log,24.0,True,0.5628998279571533
125,left,log,16.0,False,0.3908803462982178
126,right,log,32.0,True,0.5739812850952148
127,left,log,-8.0,True,0.43846583366394043
128,left,log,-16.0,True,0.769538402557373
129,right,mirror,16.0,True,0.5962543487548828
130,right,log,0.0,False,0.6668157577514648
131,right,log,16.0,True,0.576693058013916
132,left,mirror,-16.0,True,0.6677894592285156
133,right,mirror,-16.0,False,0.3920776844024658
134,right,mirror,-8.0,False,0.7881190776824951
135,right,mirror,16.0,True,0.4752175807952881
136,right,mirror,40.0,True,0.5859105587005615
137,right,log,40.0,True,0.6387999057769775
138,left,log,-8.0,True,1.153759479522705
139,left,mirror,0.0,False,1.5421416759490967
140,right,mirror,40.0,True,0.4952280521392822
141,left,mirror,40.0,False,0.7387089729309082
142,right,log,0.0,False,0.8653354644775391
143,right,mirror,24.0,True,0.5945477485656738
144,right,log,24.0,True,0.6819794178009033
145,left,log,32.0,False,0.4959909915924072
146,left,log,-40.0,True,0.42464518547058105
147,right,log,0.0,False,0.6609556674957275
148,right,log,8.0,True,0.5136826038360596
149,right,log,24.0,True,0.8443799018859863
150,left,mirror,-16.0,True,0.5626659393310547
151,right,log,0.0,False,20.449814796447754
152,right,mirror,40.0,True,16.182599782943726
153,left,log,-32.0,True,1.226494550704956
154,left,log,-40.0,True,0.7701704502105713
155,left,mirror,-40.0,True,0.6106956005096436
156,right,mirror,-32.0,False,0.3458688259124756
157,right,log,8.0,True,0.6504390239715576
158,right,log,40.0,True,0.8078675270080566
159,left,log,40.0,False,0.572333574295044
160,left,log,-24.0,True,0.44736433029174805
161,left,mirror,-40.0,True,0.5813066959381104
162,right,log,24.0,True,0.5457262992858887
163,left,log,-16.0,True,1.0875084400177002
164,right,log,-8.0,False,1.5621001720428467
165,right,mirror,-8.0,False,15.540259599685669
166,left,mirror,-32.0,True,1.001033067703247
167,right,mirror,40.0,True,0.39208006858825684
168,left,mirror,16.0,False,0.4440772533416748
169,left,mirror,0.0,False,0.5344295501708984
170,left,log,-16.0,True,0.5683345794677734
171,left,mirror,-40.0,True,0.47543764114379883
172,right,mirror,32.0,True,0.37169337272644043
173,left,mirror,-16.0,True,0.5668766498565674
174,right,mirror,40.0,True,0.40694713592529297
175,left,mirror,32.0,False,0.526348352432251
176,left,mirror,-24.0,True,2.2610185146331787
177,right,mirror,40.0,True,0.4814724922180176
178,right,log,0.0,False,0.6846728324890137
179,right,log,40.0,True,1.4148731231689453
180,left,log,-32.0,True,0.39046192169189453
181,right,mirror,32.0,True,0.4464390277862549
182,left,log,-16.0,True,0.4436666965484619
183,right,mirror,16.0,True,0.4263784885406494
184,left,mirror,8.0,False,0.37316465377807617
185,left,log,-24.0,True,0.44231271743774414
186,right,log,24.0,True,0.42205357551574707
187,left,mirror,-24.0,True,0.4187021255493164
188,right,mirror,32.0,True,0.7632334232330322
189,left,log,-24.0,True,0.6568729877471924
190,right,mirror,24.0,True,0.6290247440338135
191,left,mirror,16.0,False,1.1995980739593506
192,left,log,-24.0,True,0.47031307220458984
193,left,mirror,-8.0,True,0.4985673427581787
194,right,log,8.0,True,0.9595704078674316
195,left,mirror,-24.0,True,1.1181588172912598
196,left,mirror,-40.0,True,0.9715828895568848
197,right,mirror,-24.0,False,0.713508129119873
198,right,mirror,-16.0,False,0.5078475475311279
199,right,mirror,0.0,False,0.7791407108306885
200,right,log,24.0,True,0.504817008972168
201,right,mirror,24.0,True,30.939101934432983
202,left,mirror,-24.0,True,0.46701765060424805
203,right,mirror,-32.0,False,1.8170392513275146
204,right,mirror,24.0,True,0.5630910396575928
205,right,log,32.0,True,0.8433418273925781
206,right,mirror,0.0,False,25.654815196990967
207,left,log,-8.0,True,0.48362231254577637
208,right,mirror,32.0,True,0.4767186641693115
209,right,log,16.0,True,0.4896512031555176
210,right,log,24.0,True,0.47164225578308105
211,left,log,0.0,False,0.3783535957336426
212,left,log,-16.0,True,0.6987700462341309
213,left,log,-40.0,True,0.5862159729003906
214,right,log,-32.0,False,0.41028618812561035
215,right,mirror,24.0,True,0.43060731887817383
216,right,log,32.0,True,0.5424408912658691
217,left,log,-16.0,True,0.3812282085418701
218,right,log,0.0,False,0.5916743278503418
219,right,log,40.0,True,1.1157417297363281
220,left,log,-40.0,True,0.4934673309326172
221,right,log,32.0,True,0.44483232498168945
222,left,mirror,-32.0,True,0.6383635997772217
223,left,log,-32.0,True,0.6258435249328613
224,left,mirror,-8.0,True,0.5903294086456299
225,left,log,-8.0,True,0.6614398956298828
226,right,mirror,8.0,True,0.5784916877746582
227,left,log,-8.0,True,0.521841287612915
228,right,mirror,40.0,True,1.2151930332183838
229,left,log,-32.0,True,1.4769492149353027
230,left,mirror,0.0,False,0.8996427059173584
231,left,log,-16.0,True,0.6541128158569336
232,right,log,32.0,True,0.4936103820800781
233,left,mirror,-8.0,True,0.6720833778381348
234,left,mirror,-24.0,True,0.5323634147644043
235,right,mirror,-24.0,False,0.9874289035797119
236,left,log,-32.0,True,0.4071505069732666
237,right,log,24.0,True,0.41815924644470215
238,ralt,log,24.0,False,0.3808431625366211
239,left,mirror,24.0,False,0.4842405319213867
240,ralt,log,-32.0,False,0.38854074478149414
241,right,mirror,24.0,True,0.4679138660430908
242,right,mirror,32.0,True,1.1592020988464355
243,left,log,-40.0,True,0.43424201011657715
244,left,mirror,-8.0,True,0.5792474746704102
245,right,log,16.0,True,0.4660918712615967
246,left,log,-32.0,True,1.4351768493652344
247,right,log,-32.0,False,1.066742181777954
248,right,log,-8.0,False,1.6544826030731201
249,right,mirror,32.0,True,0.5923271179199219
250,left,mirror,0.0,False,0.6706943511962891
251,right,log,8.0,True,0.5118532180786133
252,left,mirror,-8.0,True,0.44904112815856934
253,left,mirror,-16.0,True,0.7616493701934814
