,Response,Test Stim,Test Speed,Correct,Time
0,right,log,24.0,True,0.5871717929840088
1,left,log,-24.0,True,0.349092960357666
2,right,mirror,16.0,True,0.400282621383667
3,left,log,-8.0,True,0.3341548442840576
4,right,log,-8.0,False,0.3958261013031006
5,right,mirror,24.0,True,0.36614465713500977
6,right,log,16.0,True,0.629849910736084
7,left,mirror,-40.0,True,0.37152886390686035
8,left,log,-16.0,True,0.43032288551330566
9,right,log,8.0,True,0.40683507919311523
10,left,log,-24.0,True,0.3806612491607666
11,left,mirror,-16.0,True,0.41450071334838867
12,right,mirror,16.0,True,0.37910914421081543
13,left,mirror,-16.0,True,0.3648099899291992
14,right,mirror,-16.0,False,0.3890094757080078
15,left,log,-40.0,True,0.3535435199737549
16,right,mirror,8.0,True,0.33925938606262207
17,left,mirror,-32.0,True,0.3525266647338867
18,right,mirror,-8.0,False,0.34728264808654785
19,left,log,32.0,False,0.32762885093688965
20,left,mirror,-24.0,True,0.3939802646636963
21,left,log,-32.0,True,0.45491933822631836
22,right,log,16.0,True,0.3456563949584961
23,left,log,-8.0,True,0.3828451633453369
24,right,mirror,0.0,False,0.5708210468292236
25,left,log,-8.0,True,0.4238443374633789
26,left,log,-16.0,True,0.4672985076904297
27,right,mirror,0.0,False,0.5791699886322021
28,left,mirror,-40.0,True,0.46344470977783203
29,right,mirror,8.0,True,0.47505831718444824
30,left,log,0.0,False,0.9808049201965332
31,right,log,8.0,True,0.43737053871154785
32,right,log,16.0,True,0.5115118026733398
33,left,mirror,-16.0,True,0.39719510078430176
34,left,log,-32.0,True,0.4448106288909912
35,right,log,-32.0,False,0.3787267208099365
36,left,mirror,0.0,False,0.5073413848876953
37,left,mirror,-40.0,True,0.4857783317565918
38,right,log,8.0,True,0.5503032207489014
39,right,mirror,32.0,True,0.4301729202270508
40,left,mirror,-16.0,True,0.4003174304962158
41,left,mirror,-24.0,True,0.6178641319274902
42,right,mirror,16.0,True,0.40209341049194336
43,right,mirror,0.0,False,0.7426154613494873
44,left,mirror,0.0,False,0.5247452259063721
45,right,log,0.0,False,0.5587422847747803
46,right,mirror,8.0,True,0.5038573741912842
47,left,mirror,8.0,False,0.5289907455444336
48,right,mirror,16.0,True,0.5483951568603516
49,left,log,-16.0,True,0.5029354095458984
50,left,log,-32.0,True,0.6576974391937256
51,left,mirror,-32.0,True,0.739516019821167
52,right,log,0.0,False,0.619915246963501
53,right,log,16.0,True,0.42786288261413574
54,right,log,24.0,True,0.5947930812835693
55,left,mirror,-40.0,True,0.42891669273376465
56,right,mirror,32.0,True,0.39693570137023926
57,left,mirror,-40.0,True,0.37600231170654297
58,right,mirror,40.0,True,0.31940627098083496
59,left,mirror,-8.0,True,0.3593423366546631
60,right,mirror,0.0,False,0.3936123847961426
61,right,mirror,16.0,True,0.5613067150115967
62,left,log,-8.0,True,0.467693567276001
63,right,mirror,8.0,True,0.3926229476928711
64,left,log,-40.0,True,0.40058231353759766
65,right,log,16.0,True,0.3054511547088623
66,right,mirror,16.0,True,0.4661247730255127
67,left,mirror,40.0,False,0.39655566215515137
68,right,mirror,40.0,True,0.5607419013977051
69,left,mirror,16.0,False,0.4871666431427002
70,left,mirror,-24.0,True,0.584845781326294
71,right,mirror,32.0,True,0.45694565773010254
72,left,mirror,-16.0,True,0.3992462158203125
73,left,mirror,-32.0,True,0.525644063949585
74,right,mirror,-16.0,False,0.3690154552459717
75,left,log,-24.0,True,0.4424407482147217
76,left,mirror,-24.0,True,0.4253971576690674
77,right,mirror,-24.0,False,0.3660621643066406
78,right,log,16.0,True,0.4426755905151367
79,left,mirror,-24.0,True,0.5225465297698975
80,right,mirror,-24.0,False,0.4301936626434326
81,left,log,0.0,False,0.6020162105560303
82,right,mirror,40.0,True,0.4248926639556885
83,left,mirror,-8.0,True,0.4377164840698242
84,right,mirror,-24.0,False,0.5900139808654785
85,right,mirror,0.0,False,0.5110788345336914
86,right,log,16.0,True,0.4205329418182373
87,left,mirror,-40.0,True,0.6161782741546631
88,right,mirror,-32.0,False,0.36499857902526855
89,right,mirror,-24.0,False,0.7590570449829102
90,right,mirror,24.0,True,0.36343884468078613
91,left,mirror,0.0,False,0.35953187942504883
92,left,log,-32.0,True,0.39906978607177734
93,right,log,-40.0,False,0.7216091156005859
94,right,mirror,8.0,True,0.47066259384155273
95,right,mirror,32.0,True,0.47076416015625
96,left,mirror,16.0,False,0.38661932945251465
97,left,log,-8.0,True,0.7575550079345703
98,right,mirror,8.0,True,0.37499547004699707
99,left,mirror,-8.0,True,0.3673858642578125
100,left,mirror,-16.0,True,0.569918155670166
101,right,mirror,-40.0,False,0.3920764923095703
102,right,mirror,-8.0,False,0.38906002044677734
103,right,log,16.0,True,0.608834981918335
104,left,log,8.0,False,0.4101827144622803
105,left,log,-40.0,True,0.41440606117248535
106,right,mirror,8.0,True,0.4135162830352783
107,left,mirror,-24.0,True,0.36721014976501465
108,left,mirror,-40.0,True,0.6685647964477539
109,left,log,-24.0,True,0.4219956398010254
110,right,log,-8.0,False,0.3256692886352539
111,right,log,8.0,True,0.4363725185394287
112,left,log,-16.0,True,0.4246647357940674
113,right,log,-24.0,False,0.3634836673736572
114,right,mirror,40.0,True,0.42099452018737793
115,left,mirror,-16.0,True,0.3181734085083008
116,right,log,16.0,True,0.368013858795166
117,left,log,-8.0,True,0.3754918575286865
118,left,log,-40.0,True,0.4719266891479492
119,right,mirror,0.0,False,0.4503457546234131
120,left,log,-32.0,True,0.39033961296081543
121,right,mirror,16.0,True,0.4291269779205322
122,left,mirror,-32.0,True,0.36624908447265625
123,right,log,32.0,True,0.3867676258087158
124,left,log,40.0,False,0.3760945796966553
125,right,mirror,-8.0,False,0.8581736087799072
126,right,mirror,-8.0,False,0.5541443824768066
127,left,log,-32.0,True,0.4327659606933594
128,right,log,40.0,True,0.38099193572998047
129,left,mirror,-32.0,True,0.373248815536499
130,right,log,24.0,True,0.43371009826660156
131,left,log,-16.0,True,0.4132986068725586
132,right,log,24.0,True,0.3627660274505615
133,left,log,16.0,False,0.3424816131591797
134,right,mirror,24.0,True,0.37279224395751953
135,left,log,-16.0,True,0.36312270164489746
136,left,log,-32.0,True,0.5534813404083252
137,right,log,0.0,False,0.34293103218078613
138,left,mirror,-16.0,True,0.42486119270324707
139,left,mirror,-32.0,True,0.6038362979888916
140,right,mirror,32.0,True,0.3550679683685303
141,right,log,40.0,True,0.37200164794921875
142,left,mirror,-24.0,True,0.46480607986450195
143,right,mirror,8.0,True,0.43697428703308105
144,right,log,0.0,False,0.6075043678283691
145,right,log,40.0,True,0.4265477657318115
146,left,log,40.0,False,0.4370875358581543
147,right,mirror,24.0,True,0.3994619846343994
148,left,mirror,-32.0,True,0.4582493305206299
149,left,log,-8.0,True,0.6196916103363037
150,left,log,-24.0,True,0.5364367961883545
151,left,mirror,0.0,False,0.4102480411529541
152,left,mirror,-16.0,True,0.4511892795562744
153,right,mirror,32.0,True,0.3866603374481201
154,left,log,-8.0,True,0.3446221351623535
155,right,log,32.0,True,0.3129739761352539
156,right,mirror,32.0,True,0.4242844581604004
157,left,log,-32.0,True,0.422588586807251
158,right,mirror,40.0,True,0.45481371879577637
159,right,log,40.0,True,0.4891672134399414
160,right,mirror,8.0,True,0.37702369689941406
161,left,mirror,-24.0,True,0.38256025314331055
162,right,mirror,16.0,True,0.40279579162597656
163,right,mirror,8.0,True,0.681316614151001
164,right,log,16.0,True,0.4567255973815918
165,left,mirror,-40.0,True,0.4112091064453125
166,right,log,0.0,False,0.4335453510284424
167,right,log,40.0,True,0.376450777053833
168,left,mirror,-24.0,True,0.34764933586120605
169,right,mirror,24.0,True,0.4316878318786621
170,right,log,24.0,True,0.4142594337463379
171,left,log,24.0,False,0.30663108825683594
172,left,mirror,-40.0,True,0.42635631561279297
173,right,mirror,0.0,False,0.3408529758453369
174,right,mirror,16.0,True,0.40004658699035645
175,left,log,-24.0,True,0.4185004234313965
176,right,log,40.0,True,0.3627924919128418
177,left,log,-24.0,True,0.461381196975708
178,right,log,-24.0,False,0.3163871765136719
179,right,log,32.0,True,0.3775489330291748
180,right,mirror,8.0,True,0.5321478843688965
181,left,mirror,-8.0,True,0.3933234214782715
182,right,mirror,8.0,True,0.39756035804748535
183,left,log,-16.0,True,0.5986382961273193
184,right,mirror,8.0,True,0.363025426864624
185,right,log,24.0,True,0.4095726013183594
186,left,log,40.0,False,0.32805609703063965
187,left,log,24.0,False,0.44356489181518555
188,left,mirror,-32.0,True,0.4947643280029297
189,left,log,-24.0,True,0.4720022678375244
190,right,mirror,24.0,True,0.3967165946960449
191,left,mirror,-40.0,True,0.6716089248657227
192,right,log,16.0,True,0.40389251708984375
193,right,log,32.0,True,0.44956135749816895
194,right,log,24.0,True,0.5382735729217529
195,left,log,8.0,False,0.3341801166534424
196,right,mirror,-8.0,False,0.4456310272216797
197,left,mirror,-24.0,True,0.5327861309051514
198,right,mirror,32.0,True,0.31272172927856445
199,left,mirror,-32.0,True,0.3706932067871094
200,right,mirror,-16.0,False,0.39789724349975586
201,left,log,-32.0,True,0.33658766746520996
202,left,mirror,-8.0,True,0.5934085845947266
203,right,log,16.0,True,0.41756224632263184
204,right,mirror,24.0,True,0.36726927757263184
205,right,mirror,32.0,True,0.5790159702301025
206,right,log,24.0,True,0.4360625743865967
207,left,log,40.0,False,0.39889979362487793
208,left,log,-40.0,True,0.4080080986022949
209,right,log,-24.0,False,0.39376163482666016
210,left,mirror,-16.0,True,0.4554738998413086
211,right,mirror,-16.0,False,1.6405253410339355
212,right,mirror,32.0,True,0.3610868453979492
213,left,mirror,-8.0,True,0.390225887298584
214,right,log,24.0,True,0.43096160888671875
215,left,log,8.0,False,0.40541791915893555
216,left,log,0.0,False,0.6093001365661621
217,right,mirror,8.0,True,0.47106099128723145
218,left,log,-16.0,True,0.5142946243286133
219,left,log,-32.0,True,1.2904045581817627
220,right,mirror,40.0,True,0.3810865879058838
221,left,mirror,24.0,False,0.4229927062988281
222,right,log,16.0,True,0.5709984302520752
223,right,log,40.0,True,0.48821520805358887
224,right,mirror,32.0,True,0.46480488777160645
225,left,mirror,-16.0,True,0.42409753799438477
226,right,mirror,-16.0,False,0.37200498580932617
227,right,mirror,8.0,True,0.37711334228515625
228,left,mirror,-40.0,True,0.41257596015930176
229,right,log,24.0,True,0.4223012924194336
230,left,mirror,-32.0,True,0.4009702205657959
231,right,mirror,40.0,True,0.34947681427001953
232,right,log,40.0,True,0.42804479598999023
233,left,log,0.0,False,0.3798506259918213
234,right,mirror,40.0,True,0.38286781311035156
235,right,log,40.0,True,0.41417789459228516
236,left,log,32.0,False,0.6766986846923828
237,left,log,16.0,False,0.8070244789123535
238,right,log,8.0,True,0.4941844940185547
239,right,log,32.0,True,0.45329976081848145
240,left,log,0.0,False,0.5582942962646484
241,left,log,-32.0,True,0.713087797164917
242,left,mirror,-24.0,True,0.6172463893890381
243,right,mirror,-32.0,False,0.5410985946655273
244,left,log,-8.0,True,0.5993871688842773
245,right,mirror,40.0,True,0.3901193141937256
246,right,log,8.0,True,0.4321885108947754
247,right,log,32.0,True,0.3872370719909668
248,left,log,-32.0,True,0.45125555992126465
249,right,log,-16.0,False,0.3651590347290039
250,left,mirror,-8.0,True,0.9073772430419922
251,right,log,24.0,True,0.38217973709106445
252,right,mirror,24.0,True,0.3867831230163574
253,right,log,32.0,True,0.37531471252441406
254,left,log,-8.0,True,0.3466629981994629
255,left,log,-40.0,True,0.5138905048370361
256,left,mirror,-40.0,True,0.36983585357666016
257,right,mirror,0.0,False,0.38048648834228516
258,right,log,32.0,True,0.40639472007751465
259,right,mirror,16.0,True,0.3889603614807129
260,left,mirror,-40.0,True,0.3888058662414551
261,right,mirror,-24.0,False,0.3095846176147461
262,right,log,32.0,True,0.4048655033111572
263,right,mirror,0.0,False,0.43648195266723633
264,right,log,24.0,True,1.0176258087158203
265,left,mirror,-8.0,True,0.5588505268096924
266,right,log,24.0,True,0.6582961082458496
267,right,log,32.0,True,0.4857022762298584
268,left,log,40.0,False,0.8067905902862549
269,left,log,32.0,False,0.6410260200500488
270,left,log,16.0,False,0.6388304233551025
271,left,log,-40.0,True,0.38872194290161133
272,right,log,-24.0,False,0.425004243850708
273,right,log,16.0,True,0.4143369197845459
274,right,mirror,8.0,True,0.42503809928894043
275,left,log,-24.0,True,0.4012160301208496
276,right,log,40.0,True,0.4993596076965332
277,left,mirror,0.0,False,0.5601775646209717
278,left,log,-40.0,True,0.41241002082824707
279,right,mirror,16.0,True,0.36394619941711426
280,right,log,8.0,True,0.5446639060974121
281,left,log,-40.0,True,0.4772036075592041
282,right,mirror,24.0,True,0.8029270172119141
283,right,log,40.0,True,0.5374808311462402
284,left,mirror,-24.0,True,0.4387223720550537
285,right,mirror,-8.0,False,0.5404140949249268
286,left,log,-24.0,True,0.4175446033477783
287,right,mirror,40.0,True,0.4543290138244629
288,left,log,-24.0,True,0.334089994430542
289,right,mirror,16.0,True,0.3820455074310303
290,right,mirror,32.0,True,0.47791171073913574
291,right,mirror,32.0,True,0.5979535579681396
292,right,log,8.0,True,0.4616072177886963
293,left,mirror,-16.0,True,0.8228063583374023
294,right,log,8.0,True,0.5185818672180176
295,right,log,8.0,True,0.6903958320617676
296,right,log,24.0,True,0.5346627235412598
297,right,mirror,40.0,True,0.6086883544921875
298,right,log,0.0,False,0.5945281982421875
299,right,mirror,16.0,True,0.4435136318206787
300,left,log,-40.0,True,0.4598114490509033
301,right,mirror,-8.0,False,0.4910712242126465
302,right,mirror,24.0,True,0.3577413558959961
303,right,mirror,16.0,True,0.5407421588897705
304,right,log,8.0,True,0.5111420154571533
305,left,log,-8.0,True,0.35780858993530273
306,left,mirror,-8.0,True,0.7275412082672119
307,right,log,32.0,True,0.3458716869354248
308,right,log,16.0,True,0.4069099426269531
309,left,mirror,-32.0,True,0.41703009605407715
310,right,log,8.0,True,0.5107951164245605
311,left,mirror,0.0,False,0.4223442077636719
312,right,log,32.0,True,0.3495173454284668
313,left,log,0.0,False,0.3555607795715332
314,right,log,0.0,False,0.85416579246521
315,left,log,-16.0,True,0.40599703788757324
316,right,log,24.0,True,0.32962942123413086
317,left,log,0.0,False,0.40262937545776367
318,right,mirror,32.0,True,0.3605642318725586
319,right,mirror,32.0,True,0.7755680084228516
