,Response,Test Stim,Test Speed,Correct,Time
0,left,log,-32.0,True,1.1697542667388916
1,right,mirror,32.0,True,0.8130829334259033
2,left,mirror,24.0,False,0.8898773193359375
3,left,mirror,-40.0,True,0.716010570526123
4,right,mirror,8.0,True,0.5938112735748291
5,left,log,-40.0,True,0.7090902328491211
6,right,mirror,40.0,True,0.6269564628601074
7,right,log,16.0,True,1.4904706478118896
8,right,mirror,8.0,True,1.1518609523773193
9,left,log,-8.0,True,1.0612363815307617
10,right,log,0.0,False,0.8008146286010742
11,right,mirror,24.0,True,0.9546394348144531
12,left,mirror,-8.0,True,0.667546272277832
13,left,log,-24.0,True,0.6546399593353271
14,left,mirror,-16.0,True,0.9611122608184814
15,right,mirror,16.0,True,0.6652476787567139
16,left,mirror,-32.0,True,0.7422115802764893
17,right,mirror,-8.0,False,0.6825268268585205
18,left,mirror,-16.0,True,1.116711139678955
19,left,mirror,-40.0,True,0.8811233043670654
20,right,mirror,32.0,True,0.6318180561065674
21,left,log,-32.0,True,0.8055830001831055
22,right,log,-24.0,False,0.7233321666717529
23,left,mirror,-24.0,True,0.8228991031646729
24,left,log,-8.0,True,0.9271512031555176
25,right,log,8.0,True,0.9081394672393799
26,right,mirror,40.0,True,0.7943837642669678
27,left,mirror,-24.0,True,0.6826765537261963
28,right,log,16.0,True,0.8295304775238037
29,right,log,40.0,True,0.8249802589416504
30,left,log,-8.0,True,0.6830332279205322
31,right,mirror,40.0,True,0.6900582313537598
32,left,mirror,24.0,False,0.6717698574066162
33,left,log,-16.0,True,1.1535675525665283
34,right,mirror,24.0,True,0.6714544296264648
35,right,mirror,40.0,True,1.2969682216644287
36,left,mirror,-8.0,True,0.6347293853759766
37,right,mirror,0.0,False,0.8837954998016357
38,right,log,32.0,True,0.7984154224395752
39,left,log,24.0,False,0.6668868064880371
40,right,mirror,32.0,True,0.705291748046875
41,right,log,0.0,False,1.2631981372833252
42,right,mirror,16.0,True,1.553361177444458
43,right,log,24.0,True,0.9016420841217041
44,left,mirror,-32.0,True,0.6443629264831543
45,right,mirror,-24.0,False,1.2830665111541748
46,right,mirror,-32.0,False,0.7656562328338623
47,right,log,16.0,True,1.203101634979248
48,left,log,-32.0,True,0.5943019390106201
49,right,log,40.0,True,0.7353944778442383
50,left,log,-32.0,True,0.6793956756591797
51,right,log,40.0,True,0.703211784362793
52,left,mirror,0.0,False,1.5795214176177979
53,left,mirror,-16.0,True,1.1639440059661865
54,right,log,8.0,True,1.1843092441558838
55,left,mirror,-32.0,True,0.6727378368377686
56,right,mirror,40.0,True,0.6071372032165527
57,right,log,24.0,True,0.8841061592102051
58,left,log,-8.0,True,0.7426292896270752
59,left,mirror,-8.0,True,1.0627808570861816
60,right,mirror,16.0,True,0.789027214050293
61,right,log,40.0,True,0.8215553760528564
62,left,mirror,-8.0,True,0.8607361316680908
63,right,log,32.0,True,0.8232460021972656
64,left,mirror,0.0,False,1.2531440258026123
65,left,mirror,0.0,False,0.9329431056976318
66,left,mirror,-40.0,True,0.7322092056274414
67,right,log,40.0,True,0.775801420211792
68,left,mirror,-40.0,True,0.7770657539367676
69,left,log,-32.0,True,0.7781541347503662
70,right,log,32.0,True,0.718731164932251
71,left,mirror,-8.0,True,0.8735198974609375
72,right,log,40.0,True,0.8140480518341064
73,right,mirror,24.0,True,0.8480062484741211
74,right,log,16.0,True,1.2449114322662354
75,left,mirror,-32.0,True,0.695044755935669
76,right,mirror,-40.0,False,0.8263490200042725
77,left,log,-40.0,True,0.7342214584350586
78,right,mirror,24.0,True,0.7391517162322998
79,right,log,8.0,True,1.6670000553131104
80,right,mirror,16.0,True,1.2686913013458252
81,left,mirror,8.0,False,0.7185914516448975
82,left,mirror,-8.0,True,0.8282473087310791
83,left,mirror,-32.0,True,0.7698204517364502
84,left,log,-40.0,True,0.6532313823699951
85,right,log,-32.0,False,0.722956657409668
86,left,mirror,-16.0,True,0.830472469329834
87,right,mirror,8.0,True,0.7630608081817627
88,left,log,-8.0,True,1.3917138576507568
89,left,mirror,-24.0,True,0.8466818332672119
90,right,mirror,-40.0,False,1.1559031009674072
91,right,mirror,16.0,True,0.8889026641845703
92,left,mirror,0.0,False,0.8322312831878662
93,right,mirror,32.0,True,0.9465532302856445
94,left,mirror,-40.0,True,0.8448042869567871
95,right,log,8.0,True,1.3042478561401367
96,left,log,-16.0,True,0.6254351139068604
97,right,mirror,24.0,True,0.8288652896881104
98,right,log,16.0,True,1.1175789833068848
99,left,log,16.0,False,0.8135454654693604
100,right,log,40.0,True,0.9563815593719482
101,left,log,8.0,False,0.7515873908996582
102,left,log,-16.0,True,0.8804025650024414
103,right,log,-16.0,False,0.7973227500915527
104,right,mirror,8.0,True,0.9613382816314697
105,left,mirror,-32.0,True,0.7969589233398438
106,right,mirror,8.0,True,0.6850929260253906
107,left,mirror,8.0,False,1.1064021587371826
108,left,mirror,-32.0,True,0.6700890064239502
109,right,log,32.0,True,1.017179012298584
110,right,mirror,40.0,True,0.7456939220428467
111,right,log,24.0,True,0.9825937747955322
112,left,mirror,0.0,False,1.64949369430542
113,left,mirror,-16.0,True,1.0898380279541016
114,right,mirror,-16.0,False,0.7631909847259521
115,right,mirror,8.0,True,0.7330129146575928
116,right,log,-8.0,False,1.6341452598571777
117,right,mirror,40.0,True,0.9362308979034424
118,left,mirror,-24.0,True,0.5391457080841064
119,right,mirror,-32.0,False,0.6527326107025146
120,right,mirror,-40.0,False,0.7092142105102539
121,left,log,-8.0,True,1.0095267295837402
122,right,log,40.0,True,0.7235331535339355
123,left,mirror,-32.0,True,0.7812473773956299
124,right,log,8.0,True,1.7355022430419922
125,right,log,16.0,True,1.239868402481079
126,left,log,-40.0,True,0.7456440925598145
127,right,log,-32.0,False,0.8907907009124756
128,right,log,16.0,True,0.7312023639678955
129,left,log,0.0,False,0.7363238334655762
130,right,log,0.0,False,1.7007756233215332
131,left,log,-40.0,True,0.7524240016937256
132,left,mirror,-32.0,True,0.6162497997283936
133,right,mirror,-40.0,False,0.6895656585693359
134,left,log,-40.0,True,0.7492415904998779
135,right,mirror,32.0,True,0.6270720958709717
136,left,mirror,32.0,False,0.6855759620666504
137,left,mirror,-32.0,True,0.5637521743774414
138,right,log,8.0,True,1.2070047855377197
139,right,log,40.0,True,0.8223681449890137
140,right,mirror,0.0,False,1.450096845626831
141,right,mirror,0.0,False,1.95524263381958
142,left,log,-32.0,True,0.7870514392852783
143,right,mirror,32.0,True,0.7202441692352295
144,left,mirror,-32.0,True,0.5905835628509521
145,right,mirror,0.0,False,0.6821689605712891
146,right,mirror,16.0,True,1.2569994926452637
147,left,log,-40.0,True,0.7400918006896973
148,right,mirror,16.0,True,0.9731795787811279
149,right,log,32.0,True,0.7547588348388672
150,right,mirror,0.0,False,1.4545261859893799
151,right,mirror,16.0,True,0.9786849021911621
152,left,log,-40.0,True,0.7340152263641357
153,left,mirror,-8.0,True,1.1633503437042236
154,right,log,0.0,False,1.2381455898284912
155,right,log,-8.0,False,1.964782953262329
156,right,log,8.0,True,0.8321187496185303
157,left,mirror,0.0,False,1.5533418655395508
158,right,log,40.0,True,0.8359799385070801
159,right,mirror,32.0,True,0.7725307941436768
160,left,log,-32.0,True,0.7035629749298096
161,left,mirror,-40.0,True,0.7807967662811279
162,left,log,-16.0,True,1.1132919788360596
163,right,mirror,32.0,True,0.8273131847381592
164,left,mirror,-16.0,True,0.5994281768798828
165,left,log,0.0,False,1.0884826183319092
166,left,log,-16.0,True,0.7088315486907959
167,right,mirror,24.0,True,0.733109712600708
168,left,log,-40.0,True,0.698366641998291
169,right,log,-16.0,False,0.8178670406341553
170,right,log,40.0,True,0.7212724685668945
171,right,mirror,24.0,True,1.1192207336425781
172,left,mirror,-16.0,True,0.7059106826782227
173,right,mirror,16.0,True,0.6854162216186523
174,left,log,-8.0,True,0.8101022243499756
175,right,log,-8.0,False,0.7213690280914307
176,right,log,24.0,True,0.642444372177124
177,left,log,0.0,False,0.588158369064331
178,left,log,-8.0,True,0.7567570209503174
179,left,mirror,-24.0,True,0.7348134517669678
180,left,mirror,-40.0,True,1.9583866596221924
181,left,log,-40.0,True,0.6210076808929443
182,right,mirror,40.0,True,0.734464168548584
183,right,log,24.0,True,0.7890524864196777
184,left,log,-8.0,True,0.7008187770843506
185,right,mirror,32.0,True,0.7234416007995605
186,left,mirror,40.0,False,1.0321588516235352
187,left,mirror,24.0,False,0.9689631462097168
188,left,log,-24.0,True,0.8244462013244629
189,right,log,16.0,True,0.8028290271759033
190,left,log,-40.0,True,0.8107821941375732
191,right,log,24.0,True,0.6829824447631836
192,left,mirror,-24.0,True,0.823601245880127
193,right,mirror,-16.0,False,0.65006422996521
194,left,log,-40.0,True,0.6535005569458008
195,right,log,16.0,True,0.6114072799682617
196,left,mirror,-24.0,True,0.6787664890289307
197,left,log,-24.0,True,0.7283461093902588
198,left,mirror,-8.0,True,0.9778344631195068
199,left,mirror,-24.0,True,1.5609052181243896
200,right,log,24.0,True,0.6652538776397705
201,left,log,40.0,False,1.1051208972930908
202,left,log,-40.0,True,0.8595788478851318
203,right,log,8.0,True,0.5752336978912354
204,right,mirror,16.0,True,0.9142606258392334
205,left,mirror,24.0,False,0.8178093433380127
206,left,mirror,16.0,False,0.6398305892944336
207,left,mirror,16.0,False,0.828812837600708
208,left,mirror,-16.0,True,0.6807308197021484
209,right,mirror,24.0,True,0.6518933773040771
