,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,40.0,True,1.609572172164917
1,left,mirror,-32.0,True,0.5650250911712646
2,right,log,8.0,True,0.5096690654754639
3,left,mirror,-32.0,True,0.5963470935821533
4,right,mirror,8.0,True,0.486051082611084
5,left,mirror,8.0,False,0.8809208869934082
6,left,mirror,-40.0,True,0.18073391914367676
7,left,log,-40.0,True,0.5738909244537354
8,right,mirror,40.0,True,0.7409012317657471
9,right,log,-32.0,False,1.880213975906372
10,left,mirror,-24.0,True,0.561290979385376
11,left,log,-32.0,True,0.5362558364868164
12,left,mirror,-24.0,True,0.8905322551727295
13,right,mirror,-32.0,False,0.509037971496582
14,right,mirror,-40.0,False,1.192296028137207
15,right,mirror,8.0,True,0.5884380340576172
16,right,mirror,40.0,True,1.9886350631713867
17,left,mirror,-32.0,True,0.41501903533935547
18,right,mirror,-16.0,False,0.44713616371154785
19,right,mirror,16.0,True,0.4861149787902832
20,right,log,24.0,True,0.5077099800109863
21,left,mirror,-8.0,True,0.5472099781036377
22,left,mirror,-32.0,True,0.4984610080718994
23,right,log,-8.0,False,0.5860390663146973
24,left,log,-40.0,True,0.5701980590820312
25,left,mirror,8.0,False,0.7155129909515381
26,right,log,24.0,True,0.4380040168762207
27,left,log,24.0,False,0.4184713363647461
28,right,mirror,32.0,True,0.637923002243042
29,left,log,-24.0,True,0.6512858867645264
30,right,mirror,-32.0,False,1.091724157333374
31,right,mirror,-32.0,False,0.9023749828338623
32,left,log,-16.0,True,0.5446269512176514
33,right,mirror,8.0,True,0.5336408615112305
34,left,mirror,-32.0,True,0.5096099376678467
35,left,log,-24.0,True,1.2392151355743408
36,right,mirror,32.0,True,1.0056142807006836
37,right,log,32.0,True,0.8069570064544678
38,left,log,-8.0,True,0.6141839027404785
39,right,log,-16.0,False,0.5155966281890869
40,right,log,-16.0,False,1.727496862411499
41,right,log,40.0,True,0.5265200138092041
42,left,log,16.0,False,0.8502197265625
43,right,log,32.0,True,0.6768567562103271
44,left,mirror,-16.0,True,0.520988941192627
45,right,mirror,0.0,False,0.40274477005004883
46,left,log,-32.0,True,0.4737741947174072
47,right,log,-8.0,False,0.3593888282775879
48,left,log,-8.0,True,0.6984939575195312
49,right,mirror,40.0,True,0.47784900665283203
50,right,log,40.0,True,0.5007741451263428
51,left,mirror,-40.0,True,0.517719030380249
52,right,mirror,8.0,True,0.5309209823608398
53,right,log,40.0,True,0.5632562637329102
54,right,mirror,-8.0,False,0.3842349052429199
55,left,log,-16.0,True,0.5873920917510986
56,right,mirror,24.0,True,0.5273211002349854
57,left,log,-40.0,True,0.4836709499359131
58,right,log,-32.0,False,0.6051681041717529
59,left,mirror,-24.0,True,0.40874290466308594
60,right,log,0.0,False,0.6046810150146484
61,right,mirror,-24.0,False,0.5815751552581787
62,right,log,8.0,True,0.5547928810119629
63,left,log,-32.0,True,0.48755693435668945
64,left,mirror,-32.0,True,0.62837815284729
65,right,mirror,32.0,True,0.5852401256561279
66,roption,mirror,-32.0,False,0.6851139068603516
67,right,log,-40.0,False,0.7332918643951416
68,right,log,8.0,True,0.4417121410369873
69,left,log,-16.0,True,0.48807597160339355
70,right,mirror,16.0,True,0.5277490615844727
71,right,log,16.0,True,0.6906168460845947
72,right,mirror,40.0,True,6.286140203475952
73,left,mirror,32.0,False,2.7277660369873047
74,left,log,-24.0,True,0.5108299255371094
75,left,log,-32.0,True,0.5110058784484863
76,right,log,-8.0,False,0.38443589210510254
77,right,log,8.0,True,0.758202314376831
78,left,mirror,32.0,False,0.5050277709960938
79,left,mirror,24.0,False,0.47556018829345703
80,left,log,-32.0,True,0.44185805320739746
81,right,mirror,0.0,False,0.9023511409759521
82,right,mirror,16.0,True,0.5686929225921631
83,left,mirror,-8.0,True,0.5972609519958496
84,left,mirror,0.0,False,0.9033000469207764
85,left,log,8.0,False,10.2812180519104
86,left,mirror,0.0,False,0.9678866863250732
87,left,log,-16.0,True,6.096263885498047
88,right,mirror,40.0,True,0.4420287609100342
89,right,log,32.0,True,0.48972225189208984
90,left,log,-32.0,True,0.5086138248443604
91,right,log,16.0,True,0.41927170753479004
92,right,log,24.0,True,0.6217279434204102
93,right,log,32.0,True,0.5533850193023682
94,left,log,-24.0,True,0.418438196182251
95,right,log,16.0,True,0.6732048988342285
96,left,mirror,0.0,False,0.6711030006408691
97,left,mirror,-8.0,True,0.3275179862976074
98,left,mirror,0.0,False,7.0508811473846436
99,right,log,0.0,False,0.34975481033325195
100,left,mirror,-8.0,True,0.4762740135192871
101,left,log,-16.0,True,0.6256041526794434
102,right,mirror,16.0,True,0.3911879062652588
103,right,log,16.0,True,0.7045819759368896
104,right,log,16.0,True,0.5504498481750488
105,right,log,40.0,True,0.7293429374694824
106,right,mirror,40.0,True,0.5339791774749756
107,right,log,40.0,True,0.4985840320587158
108,left,log,0.0,False,0.5075151920318604
109,right,log,24.0,True,0.8059976100921631
110,left,mirror,-40.0,True,0.6313722133636475
111,right,mirror,0.0,False,0.717818021774292
112,left,mirror,-24.0,True,0.6329200267791748
113,left,log,-8.0,True,0.48673272132873535
114,left,log,-40.0,True,0.6405479907989502
115,right,mirror,8.0,True,0.4609410762786865
116,left,log,0.0,False,0.7307860851287842
117,right,log,16.0,True,0.4165058135986328
118,left,mirror,-40.0,True,0.5538570880889893
119,right,log,32.0,True,0.6208057403564453
120,left,log,8.0,False,0.5021703243255615
121,left,log,-24.0,True,0.5663177967071533
122,right,mirror,0.0,False,0.6345741748809814
123,left,mirror,-32.0,True,0.5603749752044678
124,right,log,0.0,False,0.5276217460632324
125,right,log,16.0,True,0.5384049415588379
126,right,mirror,24.0,True,0.4944028854370117
127,left,mirror,8.0,False,0.8012759685516357
128,left,log,-16.0,True,0.7345380783081055
