,Response,Test Stim,Test Speed,Correct,Time
0,left,mirror,8.0,False,0.6810879707336426
1,left,log,-24.0,True,0.6202011108398438
2,left,mirror,-8.0,True,0.5167639255523682
3,right,log,-8.0,False,0.4091379642486572
4,left,log,0.0,False,0.688014030456543
5,right,mirror,16.0,True,0.5217258930206299
6,left,log,-16.0,True,0.42185401916503906
7,right,log,0.0,False,0.4541029930114746
8,right,mirror,32.0,True,0.3540229797363281
9,right,mirror,16.0,True,0.4858710765838623
10,left,log,-16.0,True,0.4522838592529297
11,right,log,40.0,True,0.5834629535675049
12,right,log,16.0,True,0.4044528007507324
13,right,mirror,8.0,True,0.4778439998626709
14,left,mirror,-8.0,True,0.4511559009552002
15,right,mirror,8.0,True,0.40927696228027344
16,left,log,-32.0,True,0.48445987701416016
17,left,log,-8.0,True,0.5745391845703125
18,right,mirror,24.0,True,0.4096870422363281
19,left,log,24.0,False,0.6026208400726318
20,right,log,32.0,True,0.4507279396057129
21,left,log,-24.0,True,0.4312319755554199
22,left,mirror,-8.0,True,0.3856191635131836
23,right,mirror,24.0,True,0.3891932964324951
24,left,mirror,0.0,False,0.6174652576446533
25,left,mirror,-8.0,True,0.5375161170959473
26,right,mirror,8.0,True,0.9547767639160156
27,left,mirror,0.0,False,0.4974229335784912
28,down,mirror,8.0,False,0.46694493293762207
29,left,log,-32.0,True,1.009545087814331
30,right,log,8.0,True,0.5232090950012207
31,left,mirror,-8.0,True,0.5669798851013184
32,left,log,-40.0,True,0.5549881458282471
33,left,mirror,-16.0,True,0.585435152053833
34,right,mirror,40.0,True,0.4446399211883545
35,right,log,32.0,True,0.4922518730163574
36,right,log,24.0,True,0.41008496284484863
37,down,log,0.0,False,0.5448219776153564
38,right,log,24.0,True,0.45871520042419434
39,right,mirror,8.0,True,0.4802401065826416
40,right,log,16.0,True,0.36284685134887695
41,left,mirror,0.0,False,0.6686930656433105
42,down,log,32.0,False,0.5026700496673584
43,down,mirror,0.0,False,0.7191710472106934
44,down,log,24.0,False,0.48079991340637207
45,left,mirror,-8.0,True,0.5211479663848877
46,down,log,16.0,False,0.44681429862976074
47,left,mirror,-16.0,True,0.44100522994995117
48,right,mirror,16.0,True,0.6477208137512207
49,right,mirror,24.0,True,0.7337749004364014
50,right,log,24.0,True,0.5027248859405518
51,right,mirror,-24.0,False,0.5926008224487305
52,right,log,8.0,True,0.9094541072845459
53,right,log,-16.0,False,0.4851698875427246
54,right,mirror,16.0,True,0.46721363067626953
55,right,mirror,-40.0,False,0.4802968502044678
56,right,log,24.0,True,4.157297134399414
57,right,mirror,-8.0,False,3.7060701847076416
58,right,mirror,8.0,True,1.0754988193511963
59,right,log,-40.0,False,0.5660717487335205
60,right,log,16.0,True,0.37511396408081055
61,right,mirror,-40.0,False,0.3787388801574707
62,left,mirror,-8.0,True,0.45940303802490234
63,right,mirror,40.0,True,0.5917761325836182
64,right,log,32.0,True,0.5857999324798584
65,left,mirror,-40.0,True,0.6942310333251953
66,right,log,8.0,True,1.2354390621185303
67,right,log,40.0,True,0.3887619972229004
68,right,mirror,-24.0,False,1.1415631771087646
69,left,log,32.0,False,0.5156459808349609
70,right,log,-16.0,False,0.48514699935913086
71,right,mirror,16.0,True,0.5828359127044678
72,right,mirror,8.0,True,0.5029072761535645
73,right,log,8.0,True,0.5927650928497314
74,right,log,-24.0,False,0.623291015625
75,right,log,32.0,True,2.03958797454834
76,left,log,-40.0,True,0.4834561347961426
77,right,mirror,-16.0,False,0.46057605743408203
78,right,mirror,0.0,False,0.669381856918335
79,left,log,-16.0,True,0.563992977142334
80,right,mirror,0.0,False,0.6298699378967285
81,right,log,32.0,True,0.5276107788085938
82,left,log,-16.0,True,0.5046861171722412
83,right,log,-24.0,False,0.7557499408721924
84,right,mirror,24.0,True,0.542119026184082
85,left,log,-16.0,True,0.45209598541259766
86,right,mirror,24.0,True,0.4980001449584961
87,left,log,-40.0,True,0.45414113998413086
88,right,mirror,40.0,True,0.5762460231781006
89,left,log,16.0,False,0.42968297004699707
90,left,log,-32.0,True,0.5762910842895508
91,right,log,32.0,True,0.4108099937438965
92,left,mirror,-8.0,True,0.6404464244842529
93,left,mirror,-32.0,True,0.771047830581665
94,right,mirror,16.0,True,0.3867919445037842
95,left,mirror,-32.0,True,0.44385385513305664
96,left,log,-32.0,True,0.508037805557251
97,left,mirror,-32.0,True,0.45343780517578125
98,left,log,-32.0,True,0.7721889019012451
99,right,log,24.0,True,0.4135270118713379
100,left,mirror,-40.0,True,0.52268385887146
101,right,log,8.0,True,0.4863119125366211
102,left,log,-24.0,True,0.42462897300720215
103,right,log,0.0,False,0.5843112468719482
104,left,mirror,-16.0,True,0.5037641525268555
105,right,mirror,-24.0,False,0.540431022644043
106,right,log,8.0,True,0.6698119640350342
107,right,log,16.0,True,0.7524569034576416
108,left,mirror,24.0,False,0.4999978542327881
109,right,mirror,16.0,True,1.3876478672027588
110,right,log,-16.0,False,0.5963211059570312
111,left,log,40.0,False,1.9873671531677246
112,right,mirror,-40.0,False,0.6585321426391602
113,right,mirror,24.0,True,0.6465010643005371
114,right,mirror,24.0,True,0.7424728870391846
115,left,log,-8.0,True,0.7734742164611816
116,right,log,16.0,True,0.4956228733062744
117,right,log,16.0,True,0.6916449069976807
118,left,log,24.0,False,0.86881422996521
119,right,mirror,40.0,True,0.6695799827575684
120,right,mirror,8.0,True,0.6217339038848877
121,right,log,-32.0,False,0.5132060050964355
122,right,log,-40.0,False,0.5923120975494385
123,left,log,-40.0,True,0.4647343158721924
124,right,log,32.0,True,0.5098757743835449
125,right,log,-32.0,False,0.7129809856414795
126,right,mirror,32.0,True,0.7702038288116455
127,right,mirror,-8.0,False,1.2043142318725586
128,right,log,40.0,True,0.6829850673675537
129,right,log,32.0,True,0.669079065322876
130,right,log,40.0,True,0.8454608917236328
131,left,mirror,0.0,False,0.5872330665588379
132,right,mirror,-24.0,False,0.7083022594451904
133,right,log,40.0,True,0.5211899280548096
134,left,log,-40.0,True,0.6797521114349365
135,right,log,16.0,True,3.3491299152374268
136,left,log,-40.0,True,0.5024712085723877
137,right,mirror,40.0,True,0.45574092864990234
138,right,mirror,8.0,True,0.5681009292602539
139,left,log,-40.0,True,0.6990840435028076
140,right,mirror,-32.0,False,5.707361221313477
141,right,mirror,40.0,True,0.5118379592895508
142,right,mirror,0.0,False,0.12610936164855957
143,right,mirror,8.0,True,0.7677109241485596
144,right,mirror,32.0,True,0.7021341323852539
145,right,mirror,-24.0,False,0.743427038192749
146,right,mirror,40.0,True,0.742901086807251
147,left,log,32.0,False,0.882929801940918
148,right,log,16.0,True,0.5265121459960938
149,right,log,32.0,True,0.45932984352111816
150,left,mirror,-40.0,True,0.4479050636291504
151,right,mirror,24.0,True,0.42993712425231934
152,right,mirror,16.0,True,0.3797111511230469
153,left,mirror,-16.0,True,0.4959087371826172
154,left,log,0.0,False,0.45833396911621094
155,right,log,32.0,True,0.4277660846710205
156,left,mirror,-24.0,True,1.6816446781158447
157,right,log,0.0,False,0.5490081310272217
158,left,mirror,-24.0,True,0.535085916519165
159,left,mirror,-32.0,True,0.48966097831726074
160,right,mirror,32.0,True,0.5131208896636963
161,right,mirror,24.0,True,0.4505269527435303
162,right,mirror,16.0,True,0.45062685012817383
163,left,mirror,-40.0,True,0.4332878589630127
164,left,mirror,-8.0,True,0.633526086807251
165,right,log,40.0,True,0.4344360828399658
166,left,mirror,-8.0,True,0.5921308994293213
167,right,mirror,40.0,True,0.4789130687713623
168,right,mirror,0.0,False,1.6079697608947754
169,left,mirror,-40.0,True,0.4608192443847656
170,left,log,-32.0,True,0.34509730339050293
171,left,log,-24.0,True,0.47626399993896484
172,left,mirror,-16.0,True,1.6008129119873047
173,left,mirror,24.0,False,9.158424854278564
174,left,mirror,32.0,False,1.0956368446350098
175,right,mirror,-16.0,False,1.3056669235229492
176,right,log,0.0,False,1.2215089797973633
177,right,log,8.0,True,0.4742300510406494
178,right,mirror,0.0,False,0.9328477382659912
179,right,mirror,32.0,True,0.4470698833465576
180,left,log,-40.0,True,0.5329680442810059
181,right,mirror,40.0,True,0.3433830738067627
182,right,mirror,-24.0,False,0.547982931137085
183,right,log,-40.0,False,1.532667875289917
184,right,log,-8.0,False,0.5482110977172852
185,left,mirror,-32.0,True,0.45245814323425293
186,right,log,0.0,False,0.5743570327758789
187,left,mirror,-8.0,True,0.6517841815948486
188,left,mirror,-24.0,True,0.6063597202301025
189,left,mirror,-40.0,True,0.5844500064849854
190,left,log,-16.0,True,0.503572940826416
191,left,mirror,-24.0,True,0.49980735778808594
192,right,mirror,8.0,True,0.4320991039276123
193,right,mirror,-32.0,False,5.264958143234253
194,left,mirror,-32.0,True,0.6403920650482178
195,left,log,-8.0,True,0.6657910346984863
196,left,mirror,-8.0,True,0.5007779598236084
197,right,log,8.0,True,0.5925009250640869
198,right,mirror,32.0,True,0.42633700370788574
199,right,log,32.0,True,0.3652827739715576
200,left,mirror,-16.0,True,0.6263847351074219
201,right,mirror,16.0,True,0.46042394638061523
202,right,mirror,40.0,True,0.4193248748779297
203,left,log,-32.0,True,0.4182448387145996
204,left,mirror,-40.0,True,0.5401780605316162
205,right,log,40.0,True,0.4515860080718994
206,right,mirror,16.0,True,0.5572869777679443
207,right,mirror,40.0,True,0.8232450485229492
208,right,log,0.0,False,0.3404979705810547
209,left,log,-24.0,True,0.48389625549316406
210,right,mirror,0.0,False,0.503115177154541
211,right,log,0.0,False,0.4891479015350342
212,left,mirror,-40.0,True,0.4144759178161621
213,left,mirror,-40.0,True,0.5075099468231201
