,Response,Test Stim,Test Speed,Correct,Time
0,right,log,-16.0,False,2.334134101867676
1,right,mirror,-8.0,False,1.088912010192871
2,right,log,24.0,True,1.2905540466308594
3,right,mirror,24.0,True,0.8278052806854248
4,left,log,-8.0,True,0.9431889057159424
5,right,log,0.0,False,0.5861270427703857
6,left,mirror,-32.0,True,0.7967660427093506
7,right,mirror,0.0,False,0.766690731048584
8,right,log,32.0,True,0.8915789127349854
9,left,log,-40.0,True,1.0031118392944336
10,right,log,-8.0,False,0.833554744720459
11,right,log,16.0,True,0.813730001449585
12,right,mirror,24.0,True,0.9346697330474854
13,left,mirror,-8.0,True,1.0465011596679688
14,left,log,-16.0,True,2.146672010421753
15,right,log,40.0,True,1.0317580699920654
16,right,mirror,32.0,True,1.3363659381866455
17,right,mirror,8.0,True,1.170447826385498
18,right,log,0.0,False,0.7991969585418701
19,left,log,8.0,False,0.956373929977417
20,right,log,40.0,True,0.7334041595458984
21,right,log,24.0,True,0.793637752532959
22,left,log,-40.0,True,0.8358309268951416
23,left,log,-32.0,True,0.9183721542358398
24,right,log,24.0,True,0.6749680042266846
25,left,mirror,-32.0,True,0.6640458106994629
26,left,mirror,-32.0,True,0.7906413078308105
27,right,log,-16.0,False,0.7065961360931396
28,right,log,8.0,True,0.7643139362335205
29,right,log,32.0,True,0.8183822631835938
30,left,mirror,-16.0,True,0.6667470932006836
31,right,mirror,32.0,True,0.8969860076904297
32,right,mirror,0.0,False,0.8987810611724854
33,left,mirror,0.0,False,1.1149039268493652
34,right,mirror,24.0,True,0.7413630485534668
35,left,mirror,-16.0,True,0.7563841342926025
36,left,mirror,-32.0,True,1.1772429943084717
37,right,mirror,40.0,True,1.0894858837127686
38,right,log,-16.0,False,0.6248676776885986
39,right,log,-32.0,False,0.5721542835235596
40,right,mirror,32.0,True,0.6352410316467285
41,left,log,0.0,False,0.95943284034729
42,left,mirror,-32.0,True,0.7635061740875244
43,right,log,-16.0,False,1.1026079654693604
44,right,mirror,40.0,True,0.688774824142456
45,left,log,-16.0,True,0.8033499717712402
46,left,mirror,0.0,False,0.681941032409668
47,right,log,8.0,True,0.7775168418884277
48,right,log,32.0,True,0.7873599529266357
49,right,log,8.0,True,0.940885066986084
50,left,log,-32.0,True,0.8391270637512207
51,right,log,16.0,True,0.7535710334777832
52,right,mirror,0.0,False,0.5418198108673096
53,left,log,-16.0,True,1.223160982131958
54,right,log,32.0,True,0.7223801612854004
55,right,log,-16.0,False,1.2539539337158203
56,left,log,40.0,False,1.0611882209777832
57,right,mirror,32.0,True,1.0043611526489258
58,right,mirror,24.0,True,1.3341052532196045
59,right,mirror,8.0,True,0.9294381141662598
60,right,log,8.0,True,1.2303249835968018
61,right,mirror,40.0,True,0.8064258098602295
62,left,mirror,-32.0,True,0.8320541381835938
63,left,log,0.0,False,0.922778844833374
64,right,log,-40.0,False,1.0206248760223389
65,left,log,-40.0,True,0.8238441944122314
66,left,mirror,-40.0,True,0.8670258522033691
67,left,log,-24.0,True,1.0897338390350342
68,left,mirror,-16.0,True,1.057981252670288
69,left,log,8.0,False,1.5743207931518555
70,right,mirror,8.0,True,1.0469307899475098
71,right,log,32.0,True,1.215177059173584
72,right,mirror,0.0,False,1.314729928970337
73,left,log,-40.0,True,1.338447093963623
74,right,mirror,8.0,True,1.1894609928131104
75,left,mirror,-40.0,True,1.333738088607788
76,left,log,-32.0,True,1.1229958534240723
77,left,mirror,-32.0,True,0.9158320426940918
78,right,mirror,24.0,True,1.0405421257019043
79,left,mirror,-16.0,True,1.102099895477295
80,left,log,8.0,False,1.3809847831726074
81,right,mirror,0.0,False,0.899399995803833
82,right,mirror,40.0,True,0.5277249813079834
83,left,mirror,-40.0,True,0.5612080097198486
84,right,log,0.0,False,0.5919921398162842
85,left,mirror,-24.0,True,0.6986880302429199
86,right,mirror,8.0,True,0.5186259746551514
87,right,log,32.0,True,1.3455772399902344
88,right,log,40.0,True,1.1237859725952148
89,left,mirror,-40.0,True,1.2556581497192383
90,right,mirror,32.0,True,1.0004777908325195
91,left,log,-40.0,True,1.1554269790649414
92,right,log,40.0,True,1.2215721607208252
93,left,mirror,-24.0,True,1.0340001583099365
94,left,mirror,-8.0,True,0.9205818176269531
95,left,mirror,-40.0,True,0.6815128326416016
96,right,mirror,0.0,False,0.6405129432678223
97,right,mirror,32.0,True,0.781052827835083
98,left,mirror,-40.0,True,0.9272868633270264
99,right,log,32.0,True,0.8187189102172852
100,right,mirror,32.0,True,1.0070509910583496
101,right,mirror,16.0,True,1.8534061908721924
102,right,mirror,32.0,True,1.24143385887146
103,left,mirror,-24.0,True,1.3817288875579834
104,left,mirror,-8.0,True,1.1629722118377686
105,left,log,24.0,False,1.5636610984802246
106,right,mirror,40.0,True,1.198164939880371
107,right,mirror,-16.0,False,1.4953408241271973
108,right,mirror,8.0,True,1.3471171855926514
109,left,mirror,-40.0,True,1.5432586669921875
110,right,log,24.0,True,1.0427370071411133
111,left,mirror,-24.0,True,1.1809720993041992
112,left,mirror,-8.0,True,1.0824987888336182
113,left,mirror,-32.0,True,1.0348846912384033
114,left,log,-8.0,True,1.4931769371032715
115,left,log,-24.0,True,1.217860221862793
116,left,log,-8.0,True,1.3643848896026611
117,left,log,-24.0,True,1.136908769607544
118,right,log,16.0,True,1.1099371910095215
119,left,log,-40.0,True,1.1107819080352783
120,left,log,-40.0,True,1.0887620449066162
121,right,mirror,0.0,False,1.3118751049041748
122,left,log,-40.0,True,0.8137528896331787
123,left,log,-32.0,True,0.9591782093048096
124,right,mirror,-16.0,False,2.447266101837158
125,right,log,-16.0,False,1.5662522315979004
126,right,log,-32.0,False,0.8551838397979736
127,left,log,-32.0,True,1.141394853591919
128,left,mirror,40.0,False,1.4234471321105957
129,left,mirror,-32.0,True,1.3766469955444336
130,left,mirror,-8.0,True,1.229396104812622
131,left,log,-32.0,True,1.293238878250122
132,left,log,8.0,False,1.3099939823150635
133,left,log,-40.0,True,1.0885009765625
134,left,log,-8.0,True,0.7834658622741699
135,left,log,-8.0,True,1.103917121887207
136,right,log,16.0,True,1.0820448398590088
137,left,mirror,-8.0,True,0.9337069988250732
138,left,mirror,-24.0,True,1.3609488010406494
139,left,log,-32.0,True,1.1594910621643066
140,left,log,-8.0,True,0.8178339004516602
141,right,mirror,16.0,True,1.1560900211334229
142,right,mirror,24.0,True,1.4864459037780762
143,left,log,-40.0,True,1.3577880859375
144,left,log,-32.0,True,0.8512566089630127
145,left,mirror,-40.0,True,1.1677460670471191
146,left,mirror,-16.0,True,1.3513169288635254
147,right,mirror,8.0,True,1.140834093093872
148,right,mirror,8.0,True,1.2951960563659668
149,left,log,0.0,False,0.895474910736084
150,left,mirror,-16.0,True,1.581104040145874
151,right,mirror,32.0,True,1.2385308742523193
152,right,log,32.0,True,0.8845641613006592
