,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,left,log,-24.0,True,2.1210038661956787,1.0
1,right,mirror,32.0,True,1.6545698642730713,1.0
2,right,mirror,24.0,True,1.3246889114379883,1.0
3,right,mirror,8.0,True,2.075968027114868,1.0
4,left,mirror,-32.0,True,2.2924020290374756,1.0
5,left,mirror,-32.0,True,2.364626169204712,1.0
6,left,log,-24.0,True,2.3170337677001953,0.8714285714285714
7,right,log,32.0,True,1.934480905532837,0.8714285714285714
8,left,log,-8.0,True,1.972088098526001,0.8714285714285714
9,left,log,-40.0,True,1.8036820888519287,0.8714285714285714
10,right,log,8.0,True,2.0482370853424072,0.8714285714285714
11,left,log,-24.0,True,2.0550661087036133,0.8714285714285714
12,left,mirror,-24.0,True,1.9661328792572021,0.7428571428571429
13,right,log,0.0,False,1.7187778949737549,0.7428571428571429
14,left,log,-16.0,True,1.277829885482788,0.7428571428571429
15,left,log,-8.0,True,1.5137999057769775,0.7428571428571429
16,left,mirror,-24.0,True,1.646394968032837,0.7428571428571429
17,left,log,-24.0,True,2.2317590713500977,0.7428571428571429
18,right,mirror,16.0,True,1.310647964477539,0.6142857142857142
19,left,mirror,-32.0,True,1.8155298233032227,0.6142857142857142
20,left,log,-40.0,True,1.8052000999450684,0.6142857142857142
21,right,mirror,0.0,False,1.2540919780731201,0.6142857142857142
22,right,log,8.0,True,0.9235808849334717,0.6142857142857142
23,right,mirror,0.0,False,0.8739478588104248,0.6142857142857142
24,left,mirror,-8.0,True,1.0831761360168457,0.6142857142857142
25,left,log,0.0,False,1.8240480422973633,0.6142857142857142
26,right,log,24.0,True,1.4553759098052979,0.6142857142857142
27,right,mirror,0.0,False,1.6503119468688965,0.6142857142857142
28,left,mirror,-24.0,True,1.347621202468872,0.6142857142857142
29,left,mirror,-32.0,True,1.5781261920928955,0.6142857142857142
30,right,log,24.0,True,1.054149866104126,0.6142857142857142
31,right,mirror,32.0,True,1.1452610492706299,0.6142857142857142
32,left,mirror,-24.0,True,1.1475160121917725,0.6142857142857142
33,right,log,40.0,True,0.9966981410980225,0.6142857142857142
34,left,mirror,-16.0,True,0.955125093460083,0.6142857142857142
35,right,log,24.0,True,0.9906821250915527,0.6142857142857142
36,left,mirror,-40.0,True,0.9006221294403076,0.6142857142857142
37,left,log,-8.0,True,1.2523741722106934,0.6142857142857142
38,right,log,0.0,False,1.2204089164733887,0.48571428571428565
39,left,mirror,-8.0,True,0.6426539421081543,0.48571428571428565
40,right,mirror,40.0,True,0.5666110515594482,0.48571428571428565
41,right,mirror,16.0,True,0.5064167976379395,0.48571428571428565
42,right,mirror,24.0,True,0.5066120624542236,0.48571428571428565
43,right,log,32.0,True,16.19901394844055,0.48571428571428565
44,right,log,32.0,True,0.9524688720703125,0.3571428571428571
45,right,mirror,32.0,True,0.9105720520019531,0.3571428571428571
46,right,log,40.0,True,0.891693115234375,0.3571428571428571
47,right,mirror,16.0,True,1.081502914428711,0.3571428571428571
48,right,mirror,24.0,True,0.7194366455078125,0.3571428571428571
49,right,mirror,32.0,True,0.7397329807281494,0.3571428571428571
50,right,mirror,40.0,True,0.4514350891113281,0.22857142857142843
51,left,log,0.0,False,0.6918988227844238,0.22857142857142843
52,left,log,-8.0,True,0.7040660381317139,0.22857142857142843
53,right,log,40.0,True,0.415477991104126,0.22857142857142843
54,left,mirror,-24.0,True,0.6195061206817627,0.22857142857142843
55,right,log,24.0,True,0.7009069919586182,0.22857142857142843
56,left,log,-24.0,True,0.5765678882598877,0.1
57,left,mirror,-8.0,True,0.6132731437683105,0.1
58,right,mirror,0.0,False,0.7222189903259277,0.1
59,left,mirror,-40.0,True,0.5165660381317139,0.1
60,right,mirror,8.0,True,0.5572559833526611,0.1
61,right,log,40.0,True,0.6696910858154297,0.1
