,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,left,mirror,-32.0,True,3.074860095977783,1.0
1,left,mirror,-32.0,True,1.033813238143921,1.0
2,right,log,40.0,True,1.0621309280395508,1.0
3,left,log,-8.0,True,1.2759239673614502,1.0
4,right,mirror,40.0,True,0.8325881958007812,1.0
5,left,mirror,-8.0,True,1.447606086730957,1.0
6,right,mirror,16.0,True,1.2917189598083496,0.8714285714285714
7,right,mirror,32.0,True,0.997819185256958,0.8714285714285714
8,right,log,16.0,True,1.0504820346832275,0.8714285714285714
9,right,log,40.0,True,0.7836780548095703,0.8714285714285714
10,left,log,-8.0,True,1.2107458114624023,0.8714285714285714
11,left,log,-8.0,True,0.8337068557739258,0.8714285714285714
12,left,mirror,-16.0,True,0.9748389720916748,0.7428571428571429
13,left,mirror,-32.0,True,48.742175817489624,0.7428571428571429
14,right,mirror,24.0,True,1.1852209568023682,0.7428571428571429
15,right,log,32.0,True,0.8705229759216309,0.7428571428571429
16,left,mirror,0.0,False,1.6502091884613037,0.7428571428571429
17,left,mirror,-8.0,True,1.275954008102417,0.7428571428571429
18,left,mirror,0.0,False,1.4635918140411377,0.6142857142857142
19,left,mirror,-16.0,True,1.0649957656860352,0.6142857142857142
20,left,log,-40.0,True,0.9250357151031494,0.6142857142857142
21,left,mirror,-8.0,True,1.131032943725586,0.6142857142857142
22,left,log,-40.0,True,0.8629879951477051,0.6142857142857142
23,left,log,-24.0,True,0.9366319179534912,0.6142857142857142
24,right,log,32.0,True,0.8042819499969482,0.48571428571428565
25,right,log,40.0,True,0.6416029930114746,0.48571428571428565
26,left,mirror,-32.0,True,0.67051100730896,0.48571428571428565
27,left,log,-40.0,True,0.7864990234375,0.48571428571428565
28,right,log,0.0,False,2.9353978633880615,0.48571428571428565
29,left,log,-32.0,True,0.6817059516906738,0.48571428571428565
30,left,log,-40.0,True,0.6921210289001465,0.3571428571428571
31,right,log,8.0,True,1.566593885421753,0.3571428571428571
32,left,mirror,-40.0,True,0.6532838344573975,0.3571428571428571
33,left,mirror,0.0,False,1.8551719188690186,0.3571428571428571
34,right,log,32.0,True,0.8046059608459473,0.3571428571428571
35,left,mirror,-32.0,True,0.8864359855651855,0.3571428571428571
36,left,log,-16.0,True,2.2981479167938232,0.22857142857142843
37,right,log,8.0,True,0.9158110618591309,0.22857142857142843
38,right,mirror,40.0,True,1.067505121231079,0.22857142857142843
39,left,mirror,-40.0,True,0.7550058364868164,0.22857142857142843
40,left,mirror,-32.0,True,0.5963609218597412,0.22857142857142843
41,left,mirror,16.0,False,0.8162040710449219,0.22857142857142843
42,right,log,16.0,True,0.6473081111907959,0.1
43,left,mirror,-32.0,True,0.6580240726470947,0.1
44,right,log,40.0,True,0.6490466594696045,0.1
45,left,mirror,40.0,False,0.6363089084625244,0.1
46,left,mirror,0.0,False,1.1813578605651855,0.1
47,left,mirror,-8.0,True,1.6015851497650146,0.1
48,left,log,-8.0,True,1.850978136062622,0.1
49,left,mirror,-24.0,True,0.9250071048736572,0.1
50,right,log,40.0,True,0.6593890190124512,0.1
51,right,log,24.0,True,0.6100070476531982,0.1
