,Response,Test Stim,Test Speed,Correct,Time
0,left,mirror,40.0,False,5.792623043060303
1,left,log,-40.0,True,1.0948381423950195
2,left,log,-24.0,True,0.9722151756286621
3,right,log,16.0,True,0.6957111358642578
4,left,mirror,-24.0,True,0.8521740436553955
5,left,mirror,-40.0,True,0.6847820281982422
6,left,mirror,-24.0,True,0.7650439739227295
7,right,mirror,24.0,True,0.5657291412353516
8,right,log,40.0,True,0.492016077041626
9,right,mirror,40.0,True,0.4770829677581787
10,left,log,-24.0,True,0.5194997787475586
11,right,log,8.0,True,0.5000219345092773
12,right,log,32.0,True,0.5150086879730225
13,left,log,-24.0,True,0.6986007690429688
14,right,log,24.0,True,0.4962770938873291
15,left,mirror,-16.0,True,0.5561938285827637
16,right,log,16.0,True,0.582125186920166
17,left,log,-32.0,True,0.4998738765716553
18,right,log,0.0,False,0.6382818222045898
19,right,mirror,32.0,True,0.6288580894470215
20,right,log,24.0,True,0.7059838771820068
21,right,log,16.0,True,0.645456075668335
22,left,log,-32.0,True,0.5429089069366455
23,left,log,-8.0,True,0.5426030158996582
24,right,log,40.0,True,0.7355160713195801
25,left,mirror,0.0,False,0.7042410373687744
26,left,log,-24.0,True,0.49867892265319824
27,left,log,-32.0,True,0.5118589401245117
28,left,log,-8.0,True,0.4878048896789551
29,right,log,16.0,True,0.7296891212463379
30,right,log,24.0,True,0.6195201873779297
31,left,log,-24.0,True,0.506115198135376
32,right,mirror,32.0,True,0.9130806922912598
33,left,log,-8.0,True,0.7010421752929688
34,left,mirror,0.0,False,0.6502261161804199
35,left,log,-40.0,True,0.7016391754150391
36,left,mirror,-8.0,True,1.7087228298187256
37,right,mirror,24.0,True,0.5979089736938477
38,left,log,-40.0,True,0.6067178249359131
39,right,log,0.0,False,0.7481858730316162
40,left,mirror,-8.0,True,0.7012298107147217
41,right,log,32.0,True,1.3084819316864014
42,left,log,-16.0,True,0.618196964263916
43,right,mirror,8.0,True,0.7200391292572021
44,left,mirror,-8.0,True,0.6966328620910645
45,right,mirror,24.0,True,0.8292028903961182
46,left,mirror,-8.0,True,0.8274586200714111
47,left,mirror,-32.0,True,0.5558876991271973
48,right,log,24.0,True,0.9567852020263672
49,left,log,-40.0,True,0.514265775680542
50,left,mirror,-16.0,True,0.5166311264038086
51,left,log,-24.0,True,0.551426887512207
52,right,log,24.0,True,0.7582230567932129
53,left,mirror,-8.0,True,0.7594990730285645
54,left,mirror,0.0,False,0.7687790393829346
55,right,mirror,40.0,True,0.758864164352417
56,right,log,16.0,True,2.6469171047210693
57,right,log,8.0,True,2.0379891395568848
58,left,mirror,-8.0,True,0.6254708766937256
59,left,log,-8.0,True,0.5894448757171631
60,left,log,-40.0,True,0.5195581912994385
61,left,mirror,8.0,False,0.7442607879638672
62,left,log,8.0,False,0.4633769989013672
63,left,log,-40.0,True,0.4638969898223877
64,right,mirror,16.0,True,0.6063551902770996
65,right,log,16.0,True,0.7683799266815186
66,left,mirror,16.0,False,0.839698314666748
67,left,log,0.0,False,0.554196834564209
68,right,mirror,16.0,True,0.7703530788421631
69,left,mirror,-24.0,True,0.5168919563293457
70,left,log,0.0,False,0.5651059150695801
71,left,mirror,-24.0,True,0.5434410572052002
72,left,log,-16.0,True,0.5089328289031982
