,Response,Test Stim,Test Speed,Correct,Time
0,right,log,8.0,True,1.0133399963378906
1,right,log,32.0,True,0.5215508937835693
2,left,log,24.0,False,0.49535608291625977
3,left,mirror,-32.0,True,0.4462621212005615
4,right,log,16.0,True,0.44065213203430176
5,right,mirror,40.0,True,0.5336661338806152
6,left,mirror,8.0,False,0.42413902282714844
7,left,mirror,16.0,False,0.4696366786956787
8,left,log,-8.0,True,0.6210317611694336
9,right,log,32.0,True,0.4553689956665039
10,right,mirror,16.0,True,0.7018368244171143
11,left,log,-16.0,True,0.8083429336547852
12,right,log,-32.0,False,1.0831921100616455
13,right,log,-8.0,False,0.5058779716491699
14,right,log,-32.0,False,0.7204170227050781
15,right,log,24.0,True,0.45046186447143555
16,left,log,16.0,False,0.5426239967346191
17,left,log,-24.0,True,0.4675321578979492
18,left,mirror,-8.0,True,0.6006190776824951
19,right,mirror,0.0,False,0.7949941158294678
20,right,mirror,40.0,True,0.5036280155181885
21,left,log,-24.0,True,0.6575050354003906
22,left,log,-32.0,True,0.646838903427124
23,right,log,-32.0,False,1.6176869869232178
24,right,mirror,8.0,True,0.5950782299041748
25,left,mirror,16.0,False,0.7082490921020508
26,left,log,-40.0,True,0.5049641132354736
27,right,mirror,16.0,True,0.5101361274719238
28,left,mirror,-40.0,True,0.5076968669891357
29,left,log,-24.0,True,0.5221290588378906
30,right,mirror,8.0,True,0.628990888595581
31,left,mirror,8.0,False,0.6593198776245117
32,left,log,-24.0,True,0.4979667663574219
33,right,log,24.0,True,0.4045870304107666
34,left,log,-8.0,True,0.49521684646606445
35,right,mirror,0.0,False,0.5628209114074707
36,left,mirror,0.0,False,0.6217536926269531
37,left,log,-32.0,True,0.5547518730163574
38,left,mirror,-24.0,True,0.5307939052581787
39,right,mirror,-24.0,False,0.44114208221435547
40,right,mirror,-32.0,False,0.6229119300842285
41,left,log,-16.0,True,0.43246006965637207
42,left,mirror,-24.0,True,0.42771387100219727
43,right,mirror,-40.0,False,0.6602859497070312
44,right,mirror,8.0,True,0.44273805618286133
45,right,log,32.0,True,0.4808838367462158
46,left,log,24.0,False,0.44919300079345703
47,left,log,0.0,False,0.48270273208618164
48,right,log,32.0,True,0.49134063720703125
49,left,mirror,-16.0,True,0.7585790157318115
50,right,mirror,0.0,False,0.3944549560546875
51,right,mirror,16.0,True,0.5224378108978271
52,left,log,-32.0,True,0.809973955154419
53,right,log,-32.0,False,0.4717268943786621
54,right,mirror,-16.0,False,0.7596828937530518
55,right,mirror,24.0,True,0.4478340148925781
56,right,log,16.0,True,0.9101390838623047
57,left,log,-16.0,True,0.6610918045043945
58,right,log,16.0,True,0.5169463157653809
59,right,log,32.0,True,0.8222339153289795
60,right,mirror,32.0,True,0.4931640625
61,right,log,0.0,False,0.6745359897613525
62,left,log,-24.0,True,1.4935688972473145
63,right,log,16.0,True,0.3855478763580322
64,left,log,16.0,False,0.604100227355957
65,left,mirror,-32.0,True,0.5097589492797852
66,right,log,8.0,True,0.5155713558197021
67,left,log,-24.0,True,0.43329572677612305
68,right,mirror,24.0,True,0.6431429386138916
69,right,log,40.0,True,0.7216429710388184
70,left,log,24.0,False,0.44373106956481934
71,left,mirror,-32.0,True,0.892827033996582
72,right,log,16.0,True,0.5293841361999512
73,right,mirror,8.0,True,0.6222541332244873
74,right,mirror,32.0,True,0.48302721977233887
75,right,log,32.0,True,0.5511510372161865
76,right,mirror,24.0,True,0.5188450813293457
77,left,log,-40.0,True,0.5207300186157227
78,right,log,-16.0,False,0.4288489818572998
79,left,mirror,-32.0,True,0.5558662414550781
80,right,log,0.0,False,0.65293288230896
81,left,log,-16.0,True,0.546320915222168
82,right,mirror,-8.0,False,0.7620222568511963
83,left,mirror,-24.0,True,1.234361171722412
84,right,log,24.0,True,0.4486961364746094
85,right,log,40.0,True,0.6270368099212646
86,left,log,32.0,False,0.43393826484680176
87,left,log,0.0,False,0.4419529438018799
