,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,left,mirror,-24.0,True,1.902878999710083,1.0
1,right,log,0.0,False,2.2367608547210693,1.0
2,left,mirror,-32.0,True,1.8743982315063477,1.0
3,right,mirror,40.0,True,2.800806999206543,1.0
4,right,log,32.0,True,1.8395609855651855,1.0
5,left,mirror,-32.0,True,1.8400299549102783,1.0
6,left,mirror,-16.0,True,1.432675838470459,0.8714285714285714
7,left,log,-16.0,True,1.7108299732208252,0.8714285714285714
8,right,mirror,24.0,True,1.7332830429077148,0.8714285714285714
9,left,mirror,-32.0,True,1.4819872379302979,0.8714285714285714
10,left,mirror,-32.0,True,1.4965953826904297,0.8714285714285714
11,right,mirror,8.0,True,1.322432041168213,0.8714285714285714
12,right,mirror,32.0,True,1.292011022567749,0.7428571428571429
13,left,mirror,-8.0,True,1.2328782081604004,0.7428571428571429
14,left,log,-32.0,True,1.3711578845977783,0.7428571428571429
15,left,log,-16.0,True,1.3191871643066406,0.7428571428571429
16,right,log,32.0,True,1.2087130546569824,0.7428571428571429
17,right,log,24.0,True,1.1209590435028076,0.7428571428571429
18,left,mirror,-24.0,True,0.9904708862304688,0.6142857142857142
19,right,log,8.0,True,0.5831739902496338,0.6142857142857142
20,left,mirror,0.0,False,3.8212947845458984,0.6142857142857142
21,left,log,-8.0,True,1.0951790809631348,0.6142857142857142
22,right,mirror,8.0,True,0.6148428916931152,0.6142857142857142
23,left,log,-32.0,True,1.2844243049621582,0.6142857142857142
24,left,log,-24.0,True,1.017228126525879,0.48571428571428565
25,right,log,16.0,True,0.7615261077880859,0.48571428571428565
26,right,mirror,8.0,True,0.9676861763000488,0.48571428571428565
27,left,log,-32.0,True,0.8070511817932129,0.48571428571428565
28,right,mirror,40.0,True,1.1837890148162842,0.48571428571428565
29,right,mirror,8.0,True,1.0087013244628906,0.48571428571428565
30,right,mirror,8.0,True,0.8231070041656494,0.3571428571428571
31,left,log,-32.0,True,0.7495570182800293,0.3571428571428571
32,left,mirror,-32.0,True,0.7475452423095703,0.3571428571428571
33,right,mirror,8.0,True,0.6903553009033203,0.3571428571428571
34,left,log,-40.0,True,0.6123569011688232,0.3571428571428571
35,left,mirror,-8.0,True,0.7818679809570312,0.3571428571428571
36,left,log,-16.0,True,0.6829941272735596,0.22857142857142843
37,right,log,40.0,True,0.7848012447357178,0.22857142857142843
38,right,log,0.0,False,0.9656097888946533,0.22857142857142843
39,left,log,-32.0,True,0.7377760410308838,0.22857142857142843
40,left,log,-40.0,True,0.8164539337158203,0.22857142857142843
41,right,mirror,24.0,True,0.5076510906219482,0.22857142857142843
42,left,mirror,-8.0,True,0.7122368812561035,0.1
43,right,log,16.0,True,0.5207931995391846,0.1
44,left,mirror,-8.0,True,0.5149471759796143,0.1
45,right,mirror,40.0,True,0.44170689582824707,0.1
46,right,mirror,8.0,True,0.5406029224395752,0.1
47,right,log,40.0,True,0.5255260467529297,0.1
