,Response,Test Stim,Test Speed,Correct,Time
0,right,log,8.0,True,5.311671018600464
1,right,mirror,40.0,True,0.7294931411743164
2,right,log,32.0,True,0.7619612216949463
3,left,log,-24.0,True,0.6002249717712402
4,left,log,-16.0,True,1.011955976486206
5,left,log,-24.0,True,0.6232891082763672
6,left,mirror,-8.0,True,0.726085901260376
7,left,mirror,-24.0,True,0.4329407215118408
8,right,mirror,32.0,True,0.47787904739379883
9,right,mirror,24.0,True,0.49776625633239746
10,right,mirror,16.0,True,0.5212178230285645
11,left,mirror,-24.0,True,0.5052621364593506
12,right,log,32.0,True,0.4874861240386963
13,left,mirror,-24.0,True,0.5258350372314453
14,left,mirror,-8.0,True,0.4565911293029785
15,right,mirror,24.0,True,0.5144767761230469
16,right,log,8.0,True,0.5107362270355225
17,left,log,-8.0,True,0.5654668807983398
18,left,mirror,-40.0,True,0.5313107967376709
19,right,log,16.0,True,0.5051820278167725
20,right,mirror,24.0,True,0.47786498069763184
21,right,log,8.0,True,0.4544210433959961
22,right,log,0.0,False,0.4582850933074951
23,right,log,0.0,False,0.4736518859863281
24,right,mirror,24.0,True,0.6443989276885986
25,right,mirror,8.0,True,0.5257260799407959
26,right,log,40.0,True,0.4781019687652588
27,right,mirror,24.0,True,0.41171789169311523
28,left,mirror,-24.0,True,0.5083508491516113
29,left,mirror,-8.0,True,0.5189738273620605
30,right,log,0.0,False,0.4113810062408447
31,left,mirror,-8.0,True,0.6904270648956299
32,left,mirror,-16.0,True,0.6576101779937744
33,left,mirror,-8.0,True,0.44193100929260254
34,right,log,40.0,True,0.4367990493774414
35,right,mirror,8.0,True,0.4273250102996826
36,left,log,-24.0,True,0.40340209007263184
37,left,log,-8.0,True,0.6077709197998047
38,right,mirror,8.0,True,0.5982120037078857
39,left,log,-40.0,True,0.5376641750335693
40,left,mirror,0.0,False,0.5938470363616943
41,right,mirror,16.0,True,0.4596118927001953
42,left,mirror,-40.0,True,0.49500203132629395
43,left,mirror,-40.0,True,0.4713609218597412
44,right,log,8.0,True,0.4658350944519043
45,right,mirror,16.0,True,0.4423809051513672
46,left,mirror,-16.0,True,0.5036718845367432
47,left,mirror,-24.0,True,0.8919680118560791
48,left,log,-8.0,True,0.6675431728363037
49,left,log,-8.0,True,0.4808979034423828
50,right,mirror,24.0,True,0.47473621368408203
51,right,mirror,8.0,True,0.6771419048309326
52,left,mirror,-16.0,True,0.5318858623504639
53,right,mirror,32.0,True,0.4816288948059082
54,right,log,16.0,True,0.46832895278930664
55,left,mirror,-32.0,True,0.48761582374572754
56,right,mirror,32.0,True,0.49440884590148926
57,left,log,-32.0,True,0.4290339946746826
58,right,log,0.0,False,0.9592831134796143
59,left,mirror,0.0,False,0.5522279739379883
60,left,mirror,-40.0,True,0.49488019943237305
61,right,mirror,32.0,True,0.4617321491241455
62,left,mirror,-40.0,True,0.5508830547332764
63,left,log,-32.0,True,0.5488197803497314
64,left,log,-16.0,True,0.541168212890625
65,left,log,0.0,False,0.658240795135498
66,right,mirror,40.0,True,0.4972660541534424
67,left,log,-32.0,True,0.5161709785461426
68,right,log,16.0,True,0.676506757736206
69,right,log,16.0,True,0.5517032146453857
70,left,mirror,-8.0,True,0.5826728343963623
71,right,mirror,8.0,True,0.6686420440673828
72,right,mirror,16.0,True,0.5198867321014404
73,left,log,-24.0,True,0.49945807456970215
74,left,mirror,-16.0,True,0.5617988109588623
75,right,mirror,8.0,True,0.5350549221038818
76,right,log,32.0,True,0.4203193187713623
77,left,mirror,-24.0,True,0.5217480659484863
78,right,log,0.0,False,0.467911958694458
79,right,mirror,16.0,True,0.4815700054168701
80,right,mirror,8.0,True,0.523064136505127
81,right,log,40.0,True,0.5861361026763916
82,right,log,16.0,True,0.4402761459350586
83,right,mirror,32.0,True,0.4099860191345215
84,right,log,0.0,False,0.4939150810241699
85,left,log,-16.0,True,0.4647560119628906
86,left,log,-8.0,True,0.6075122356414795
87,right,log,32.0,True,0.5081050395965576
88,right,mirror,40.0,True,0.592094898223877
89,left,log,-24.0,True,0.5292510986328125
90,left,mirror,-16.0,True,0.5991461277008057
91,left,log,-40.0,True,0.6320469379425049
92,right,mirror,40.0,True,0.4406149387359619
93,left,log,-24.0,True,0.5260498523712158
94,right,mirror,32.0,True,0.4492931365966797
95,left,mirror,-40.0,True,0.9386439323425293
96,left,mirror,-8.0,True,0.5200397968292236
97,right,log,40.0,True,0.48836302757263184
98,left,log,-24.0,True,0.5117781162261963
99,right,mirror,16.0,True,0.46634602546691895
100,right,log,40.0,True,0.45490527153015137
101,left,log,-24.0,True,0.4973912239074707
102,left,log,-24.0,True,0.5219769477844238
103,left,log,0.0,False,0.8061380386352539
104,right,log,40.0,True,0.49949216842651367
105,right,log,24.0,True,0.5308229923248291
106,right,log,24.0,True,0.47109079360961914
107,left,mirror,-40.0,True,0.5626828670501709
108,left,log,-40.0,True,0.5790929794311523
109,right,mirror,24.0,True,0.502810001373291
110,left,mirror,-32.0,True,0.5767560005187988
111,right,mirror,0.0,False,0.7007520198822021
112,left,log,-24.0,True,0.5565540790557861
113,right,mirror,40.0,True,0.451401948928833
114,right,mirror,0.0,False,0.5260400772094727
115,left,mirror,-24.0,True,0.474545955657959
116,right,mirror,16.0,True,0.46530890464782715
117,left,mirror,-32.0,True,0.5281391143798828
118,left,mirror,-8.0,True,0.5311727523803711
119,left,log,-40.0,True,0.4821200370788574
120,left,mirror,-32.0,True,0.5408139228820801
121,left,mirror,-8.0,True,0.47661900520324707
122,left,log,-8.0,True,0.5964710712432861
123,left,mirror,-40.0,True,0.4544839859008789
124,right,mirror,40.0,True,0.559891939163208
125,left,log,-16.0,True,0.5769741535186768
126,right,mirror,32.0,True,0.5726828575134277
127,left,mirror,-32.0,True,1.0124170780181885
128,left,log,-16.0,True,0.63167405128479
129,left,log,-32.0,True,1.4405338764190674
130,right,mirror,32.0,True,0.45441198348999023
131,right,mirror,0.0,False,0.6179671287536621
132,right,mirror,24.0,True,0.4855160713195801
133,left,log,-16.0,True,0.5477569103240967
134,right,mirror,16.0,True,0.5176382064819336
135,left,log,-16.0,True,0.6165108680725098
136,right,mirror,8.0,True,0.62034010887146
137,right,log,40.0,True,0.6865630149841309
138,right,mirror,0.0,False,0.5549192428588867
139,right,mirror,16.0,True,0.7037298679351807
140,left,mirror,-32.0,True,0.5031349658966064
141,left,log,-32.0,True,0.4916810989379883
142,right,log,32.0,True,0.555042028427124
143,left,mirror,-40.0,True,0.46677517890930176
144,left,log,-32.0,True,0.4829139709472656
145,left,log,-8.0,True,0.5149321556091309
146,left,log,-8.0,True,0.4973878860473633
147,left,log,-8.0,True,0.4899561405181885
148,right,mirror,8.0,True,0.5148589611053467
149,right,log,32.0,True,0.46007418632507324
150,left,mirror,-40.0,True,0.48049402236938477
151,right,log,40.0,True,0.48017406463623047
152,right,log,16.0,True,0.5092883110046387
153,left,mirror,-24.0,True,0.41611599922180176
154,left,log,-16.0,True,0.48058605194091797
155,left,mirror,-24.0,True,0.5155479907989502
156,left,log,8.0,False,1.1140060424804688
157,right,mirror,8.0,True,0.5926899909973145
158,right,mirror,8.0,True,0.5251250267028809
159,left,mirror,-32.0,True,0.6664531230926514
160,right,mirror,0.0,False,1.1094789505004883
161,right,log,8.0,True,0.5889520645141602
162,right,mirror,32.0,True,1.3999741077423096
163,right,log,32.0,True,0.5743670463562012
164,left,log,-16.0,True,1.1980609893798828
165,left,mirror,-24.0,True,0.498931884765625
166,left,log,-8.0,True,0.4889793395996094
167,right,log,8.0,True,0.6515560150146484
168,right,log,-8.0,False,0.5884463787078857
169,left,mirror,0.0,False,0.6021411418914795
170,left,log,-24.0,True,0.5715811252593994
171,right,log,40.0,True,0.5494811534881592
172,left,log,-40.0,True,0.4819529056549072
173,right,mirror,16.0,True,0.46031904220581055
174,right,mirror,-8.0,False,0.8210158348083496
175,right,mirror,40.0,True,0.43735814094543457
176,right,mirror,32.0,True,0.43117785453796387
177,right,mirror,24.0,True,0.40904808044433594
178,left,mirror,-16.0,True,0.6072099208831787
179,right,mirror,0.0,False,0.6012411117553711
180,right,log,16.0,True,0.5143978595733643
181,left,log,-8.0,True,0.46349501609802246
182,right,log,24.0,True,0.44626617431640625
183,left,mirror,-16.0,True,0.5624120235443115
184,left,log,-16.0,True,0.5257070064544678
185,left,mirror,0.0,False,0.60076904296875
186,left,mirror,-32.0,True,0.9058940410614014
187,right,mirror,8.0,True,0.8133020401000977
188,right,log,24.0,True,0.5096168518066406
189,right,log,32.0,True,0.5042412281036377
190,left,mirror,-32.0,True,0.5561761856079102
191,left,log,-40.0,True,0.5247719287872314
192,right,mirror,16.0,True,0.8226439952850342
193,left,mirror,-40.0,True,0.61480712890625
194,right,log,0.0,False,0.6440219879150391
195,right,log,24.0,True,0.5407249927520752
196,left,mirror,-8.0,True,0.6090998649597168
197,right,log,0.0,False,0.460629940032959
198,left,mirror,-32.0,True,0.5452480316162109
199,right,mirror,0.0,False,0.5452899932861328
200,right,mirror,16.0,True,0.5993599891662598
201,right,mirror,24.0,True,0.476276159286499
202,right,log,40.0,True,0.5277550220489502
203,left,log,-40.0,True,0.5594401359558105
204,right,log,40.0,True,0.5136618614196777
205,right,mirror,24.0,True,0.5395450592041016
206,right,mirror,40.0,True,0.4856441020965576
207,right,mirror,40.0,True,0.5107910633087158
