,Response,Test Stim,Test Speed,Correct,Time
0,left,mirror,-32.0,True,2.1464571952819824
1,left,log,-24.0,True,1.0135791301727295
2,left,mirror,-16.0,True,1.0409362316131592
3,right,mirror,8.0,True,0.9196197986602783
4,left,mirror,24.0,False,4.874450206756592
5,left,mirror,32.0,False,1.3156712055206299
6,left,mirror,-40.0,True,1.8508141040802002
7,right,mirror,8.0,True,0.48825597763061523
8,roption,mirror,-32.0,False,0.5518472194671631
9,right,mirror,16.0,True,0.40808796882629395
10,right,log,40.0,True,0.4514179229736328
11,left,log,-40.0,True,0.4036369323730469
12,right,mirror,8.0,True,0.3899989128112793
13,left,log,-8.0,True,0.5240321159362793
14,left,mirror,-32.0,True,1.1442008018493652
15,right,mirror,8.0,True,0.6201457977294922
16,right,mirror,40.0,True,0.5137481689453125
17,left,log,-32.0,True,0.4710369110107422
18,left,mirror,-16.0,True,0.43448781967163086
19,left,log,-16.0,True,0.6697261333465576
20,right,mirror,32.0,True,0.44159412384033203
21,right,log,16.0,True,0.5180890560150146
22,right,mirror,32.0,True,0.47524499893188477
23,left,mirror,-40.0,True,0.4592909812927246
24,right,mirror,-32.0,False,0.4094841480255127
25,right,mirror,16.0,True,0.5283370018005371
26,left,mirror,0.0,False,0.4476919174194336
27,left,mirror,-8.0,True,0.6698181629180908
28,right,mirror,32.0,True,0.40923500061035156
29,left,log,-8.0,True,0.4832298755645752
30,right,log,0.0,False,0.44243788719177246
31,right,log,40.0,True,0.46952295303344727
32,left,mirror,-8.0,True,0.6781690120697021
33,left,mirror,-32.0,True,0.5616190433502197
34,right,log,32.0,True,0.5234119892120361
35,left,mirror,-16.0,True,0.44176387786865234
36,right,log,24.0,True,0.5650389194488525
37,left,log,16.0,False,0.39737606048583984
38,left,log,-40.0,True,0.43175601959228516
39,right,log,0.0,False,0.3700978755950928
40,right,log,16.0,True,0.49521899223327637
41,left,log,24.0,False,1.7942211627960205
42,left,mirror,0.0,False,1.2896111011505127
43,right,mirror,-24.0,False,3.96740984916687
44,right,mirror,24.0,True,0.44069504737854004
45,left,mirror,16.0,False,0.9948108196258545
46,right,log,0.0,False,0.6301350593566895
47,right,mirror,16.0,True,0.4401259422302246
48,left,mirror,0.0,False,2.8007631301879883
49,right,log,16.0,True,0.5062069892883301
50,left,log,0.0,False,0.5116751194000244
51,right,mirror,16.0,True,0.4029428958892822
52,right,mirror,16.0,True,2.3046319484710693
53,left,mirror,40.0,False,2.934812068939209
54,left,mirror,-32.0,True,0.4576230049133301
55,right,log,32.0,True,0.5032029151916504
56,right,mirror,8.0,True,0.7102401256561279
57,left,log,-16.0,True,0.6799197196960449
58,left,mirror,-40.0,True,0.49013495445251465
59,left,log,24.0,False,0.9590399265289307
60,right,mirror,32.0,True,0.780493974685669
61,left,log,-32.0,True,1.0862150192260742
62,right,log,8.0,True,0.47330403327941895
