,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,right,log,24.0,True,1.851248025894165,1.0
1,left,log,-24.0,True,1.1894779205322266,1.0
2,right,mirror,24.0,True,0.774773120880127,1.0
3,right,log,0.0,False,3.0442559719085693,1.0
4,left,log,-40.0,True,0.8732180595397949,1.0
5,left,log,40.0,False,0.9568698406219482,1.0
6,left,mirror,-8.0,True,1.6523261070251465,1.0
7,right,mirror,8.0,True,0.8580610752105713,1.0
8,right,log,0.0,False,1.1917660236358643,1.0
9,left,log,-32.0,True,0.6402289867401123,1.0
10,right,log,32.0,True,0.9231259822845459,1.0
11,right,log,0.0,False,0.8906378746032715,1.0
12,left,log,0.0,False,1.4762449264526367,1.0
13,right,log,32.0,True,0.573889970779419,1.0
14,right,log,24.0,True,0.6566658020019531,1.0
15,left,mirror,-32.0,True,1.1689462661743164,1.0
16,right,log,16.0,True,0.7898449897766113,1.0
17,right,mirror,32.0,True,1.3340659141540527,1.0
18,left,log,-24.0,True,0.6906168460845947,1.0
19,left,log,40.0,False,0.974337100982666,1.0
20,right,log,40.0,True,0.5898468494415283,1.0
21,left,mirror,-24.0,True,0.7894117832183838,1.0
22,right,mirror,24.0,True,0.7236018180847168,1.0
23,left,mirror,-16.0,True,0.9236268997192383,1.0
24,right,mirror,8.0,True,1.207137107849121,1.0
25,right,mirror,16.0,True,0.7296631336212158,1.0
26,left,mirror,-40.0,True,0.6232259273529053,1.0
27,left,mirror,-8.0,True,0.6732082366943359,1.0
28,right,log,32.0,True,0.5559110641479492,1.0
29,left,mirror,-24.0,True,0.5561270713806152,1.0
30,right,log,24.0,True,0.5398149490356445,0.8714285714285714
31,left,mirror,-40.0,True,0.4898390769958496,0.8714285714285714
32,right,mirror,16.0,True,0.9461781978607178,0.8714285714285714
33,left,mirror,-16.0,True,0.6654338836669922,0.8714285714285714
34,right,mirror,40.0,True,0.8567781448364258,0.8714285714285714
35,left,mirror,-32.0,True,0.5731861591339111,0.8714285714285714
36,left,mirror,-16.0,True,0.5895411968231201,0.7428571428571429
37,right,log,16.0,True,0.6065678596496582,0.7428571428571429
38,left,log,-40.0,True,0.40511631965637207,0.7428571428571429
39,right,mirror,8.0,True,0.5736038684844971,0.7428571428571429
40,left,log,-8.0,True,0.7334539890289307,0.7428571428571429
41,space,log,-32.0,False,52.26195502281189,0.7428571428571429
42,right,mirror,-32.0,False,0.840181827545166,0.6142857142857142
43,left,log,-32.0,True,0.47301602363586426,0.6142857142857142
44,right,mirror,8.0,True,0.5733587741851807,0.6142857142857142
45,right,mirror,-16.0,False,0.7955272197723389,0.6142857142857142
46,right,mirror,8.0,True,0.5401480197906494,0.6142857142857142
47,left,mirror,-24.0,True,0.6230101585388184,0.6142857142857142
48,left,log,-32.0,True,0.5729751586914062,0.6142857142857142
49,left,log,8.0,False,0.8133361339569092,0.6142857142857142
50,right,log,0.0,False,0.7668778896331787,0.6142857142857142
51,left,mirror,-24.0,True,0.6226599216461182,0.6142857142857142
52,left,log,0.0,False,0.8244149684906006,0.6142857142857142
53,left,log,-16.0,True,0.47363710403442383,0.6142857142857142
54,right,mirror,-16.0,False,0.6066019535064697,0.6142857142857142
55,left,mirror,40.0,False,0.5727810859680176,0.6142857142857142
56,left,log,-32.0,True,0.48935389518737793,0.6142857142857142
57,left,log,0.0,False,0.6292362213134766,0.6142857142857142
58,right,mirror,24.0,True,0.5223760604858398,0.6142857142857142
59,left,mirror,-24.0,True,0.6232569217681885,0.6142857142857142
60,right,log,-16.0,False,0.3220789432525635,0.6142857142857142
61,left,log,40.0,False,0.5229427814483643,0.6142857142857142
62,right,log,24.0,True,0.6239931583404541,0.6142857142857142
63,right,log,8.0,True,0.7321772575378418,0.6142857142857142
64,left,log,0.0,False,0.590034008026123,0.6142857142857142
65,left,log,-32.0,True,0.5225660800933838,0.6142857142857142
66,right,mirror,16.0,True,0.4562511444091797,0.6142857142857142
67,left,mirror,-40.0,True,0.5223701000213623,0.6142857142857142
68,left,log,-16.0,True,0.523428201675415,0.6142857142857142
69,left,log,-16.0,True,0.4889097213745117,0.6142857142857142
70,right,mirror,32.0,True,0.43906307220458984,0.6142857142857142
71,left,mirror,-40.0,True,0.42247509956359863,0.6142857142857142
72,left,log,-8.0,True,0.47254514694213867,0.6142857142857142
73,left,mirror,-32.0,True,0.6563329696655273,0.6142857142857142
74,right,log,40.0,True,0.4891049861907959,0.6142857142857142
75,left,log,40.0,False,7.614582061767578,0.6142857142857142
76,left,log,-40.0,True,0.5387990474700928,0.6142857142857142
77,left,mirror,0.0,False,0.7568619251251221,0.6142857142857142
78,right,log,32.0,True,0.6262810230255127,0.6142857142857142
79,up,log,0.0,False,7.717918872833252,0.6142857142857142
80,right,log,40.0,True,0.506303071975708,0.6142857142857142
81,left,log,-8.0,True,0.5564320087432861,0.6142857142857142
82,up,mirror,0.0,False,90.2530128955841,0.6142857142857142
83,right,mirror,8.0,True,0.7770266532897949,0.6142857142857142
84,left,log,-8.0,True,0.5569050312042236,0.6142857142857142
85,left,log,-24.0,True,0.6299548149108887,0.6142857142857142
86,right,mirror,16.0,True,0.473496675491333,0.6142857142857142
87,right,mirror,40.0,True,0.5222680568695068,0.6142857142857142
88,right,mirror,-40.0,False,0.35529112815856934,0.6142857142857142
89,right,mirror,40.0,True,0.48913097381591797,0.6142857142857142
90,right,mirror,8.0,True,0.48946475982666016,0.6142857142857142
91,right,mirror,24.0,True,0.5561771392822266,0.6142857142857142
92,left,mirror,-16.0,True,0.5904719829559326,0.6142857142857142
93,right,log,8.0,True,0.7794559001922607,0.6142857142857142
94,left,mirror,-24.0,True,0.6070311069488525,0.6142857142857142
95,right,mirror,24.0,True,0.45580387115478516,0.6142857142857142
96,left,mirror,-16.0,True,0.5223829746246338,0.6142857142857142
97,right,mirror,40.0,True,0.33846306800842285,0.6142857142857142
98,left,log,16.0,False,3.1943700313568115,0.6142857142857142
99,right,mirror,8.0,True,0.42331480979919434,0.6142857142857142
100,left,log,24.0,False,0.388873815536499,0.6142857142857142
101,right,log,40.0,True,0.4389369487762451,0.6142857142857142
102,right,mirror,32.0,True,0.42229390144348145,0.6142857142857142
103,right,mirror,0.0,False,0.38959527015686035,0.6142857142857142
104,right,mirror,0.0,False,0.43987202644348145,0.6142857142857142
105,right,log,32.0,True,0.573418140411377,0.6142857142857142
106,left,log,-24.0,True,0.4732508659362793,0.6142857142857142
107,right,log,32.0,True,0.4060673713684082,0.6142857142857142
108,right,log,40.0,True,0.47275400161743164,0.6142857142857142
109,right,mirror,16.0,True,0.37244224548339844,0.6142857142857142
110,left,log,24.0,False,0.3731980323791504,0.6142857142857142
111,right,log,0.0,False,0.63720703125,0.6142857142857142
112,left,log,-40.0,True,0.5224881172180176,0.6142857142857142
113,right,log,0.0,False,0.5562129020690918,0.6142857142857142
114,right,log,16.0,True,0.4562671184539795,0.6142857142857142
115,right,mirror,24.0,True,0.4226810932159424,0.6142857142857142
116,right,log,40.0,True,0.4565010070800781,0.6142857142857142
117,right,mirror,0.0,False,0.3719348907470703,0.6142857142857142
118,right,log,16.0,True,0.4890420436859131,0.6142857142857142
119,right,mirror,40.0,True,0.4650232791900635,0.6142857142857142
120,right,mirror,32.0,True,0.3392319679260254,0.6142857142857142
121,right,mirror,8.0,True,0.40552330017089844,0.6142857142857142
122,right,mirror,40.0,True,0.3222620487213135,0.6142857142857142
123,right,log,40.0,True,0.306210994720459,0.6142857142857142
124,right,log,0.0,False,0.3398158550262451,0.6142857142857142
125,left,mirror,-16.0,True,5.5127809047698975,0.6142857142857142
126,left,log,0.0,False,0.4895131587982178,0.6142857142857142
127,left,log,-16.0,True,0.6307859420776367,0.6142857142857142
128,left,log,0.0,False,0.5560340881347656,0.6142857142857142
129,right,log,-24.0,False,0.4572007656097412,0.6142857142857142
130,left,log,0.0,False,0.6065342426300049,0.6142857142857142
131,right,log,16.0,True,0.5559329986572266,0.6142857142857142
132,right,mirror,24.0,True,0.5387601852416992,0.6142857142857142
133,right,mirror,8.0,True,0.4725379943847656,0.6142857142857142
134,right,log,16.0,True,0.6228039264678955,0.6142857142857142
135,left,mirror,-24.0,True,0.5735530853271484,0.6142857142857142
136,right,mirror,8.0,True,0.48946285247802734,0.6142857142857142
137,right,mirror,40.0,True,0.5726668834686279,0.6142857142857142
138,left,log,-24.0,True,0.4897031784057617,0.6142857142857142
139,right,log,8.0,True,0.5563738346099854,0.6142857142857142
140,left,mirror,-40.0,True,0.45598387718200684,0.6142857142857142
141,right,log,8.0,True,30.867382049560547,0.6142857142857142
142,left,log,0.0,False,0.8556740283966064,0.6142857142857142
