,Response,Test Stim,Test Speed,Correct,Time
0,left,log,2.0,False,2.3132998943328857
1,left,log,-62.0,True,20.106294631958008
2,right,log,10.0,True,1.154818773269653
3,left,mirror,-70.0,True,1.213676691055298
4,left,log,-38.0,True,10.696907997131348
5,left,mirror,-54.0,True,5.883047819137572
6,left,log,-54.0,True,2.403519868850708
7,left,mirror,-70.0,True,0.6220831871032715
8,right,mirror,2.0,True,0.6467866897583008
9,left,log,-70.0,True,0.5878751277923584
10,left,log,-62.0,True,0.11661791801452635
11,left,mirror,-54.0,True,0.5429439544677734
12,left,mirror,-38.0,True,0.4950180053710938
13,left,log,-30.0,True,0.5221800804138184
14,right,log,-14.0,False,0.6200308799743652
15,left,log,-6.0,True,0.7102038860321045
16,left,mirror,-70.0,True,0.4722042083740234
17,right,mirror,10.0,True,0.593102216720581
18,left,mirror,-22.0,True,0.489738941192627
19,down,mirror,-30.0,False,0.9444448947906494
20,right,mirror,-70.0,False,0.9809508323669434
21,left,mirror,-14.0,True,0.699944257736206
22,left,log,-30.0,True,0.6301345825195312
23,left,log,-30.0,True,0.4214699268341065
24,left,mirror,10.0,False,0.5812900066375732
25,left,log,-62.0,True,0.8668828010559082
26,right,log,-54.0,False,0.8227250576019287
27,left,mirror,-62.0,True,0.4357120990753174
28,left,mirror,-62.0,True,0.5651068687438965
29,left,log,-38.0,True,0.6585683822631836
30,left,log,-70.0,True,0.5057780742645264
31,right,log,10.0,True,1.3426449298858645
32,left,mirror,-38.0,True,0.4956068992614746
33,right,log,10.0,True,0.6732621192932129
34,left,mirror,10.0,False,0.5453329086303711
35,right,log,-22.0,False,1.0381948947906494
36,right,log,-70.0,False,1.178494215011597
37,left,log,-6.0,True,0.7352237701416016
38,right,log,-62.0,False,0.7618780136108398
39,right,mirror,2.0,True,1.8510179519653318
40,left,mirror,-62.0,True,0.6204218864440918
41,left,mirror,-62.0,True,0.4408450126647949
42,right,mirror,-46.0,False,0.9011778831481934
43,right,mirror,-54.0,False,0.9921789169311525
44,right,log,10.0,True,0.5681641101837158
45,right,log,2.0,True,1.185899019241333
46,right,mirror,2.0,True,0.9015879631042479
47,left,mirror,-70.0,True,0.623370885848999
48,left,mirror,-38.0,True,1.1309938430786133
49,left,mirror,-22.0,True,0.888031005859375
50,left,log,-70.0,True,0.807560920715332
51,right,log,-14.0,False,1.1766130924224854
52,right,mirror,2.0,True,0.5833442211151123
53,left,log,-54.0,True,0.4330379962921143
54,right,log,-30.0,False,0.5674757957458496
55,left,mirror,-70.0,True,0.41123485565185547
56,right,log,-46.0,False,0.533297061920166
57,left,mirror,-38.0,True,0.4080100059509277
58,right,log,-70.0,False,0.4920079708099365
59,right,log,-14.0,False,0.5807878971099854
60,right,log,-30.0,False,0.4875168800354004
61,right,log,-54.0,False,0.5129737854003906
62,left,mirror,-46.0,True,0.5220909118652344
63,left,log,10.0,False,0.7245619297027588
64,right,log,-46.0,False,0.46000075340271
65,right,log,-38.0,False,0.5975868701934814
66,right,log,-30.0,False,0.5095131397247314
67,right,log,-38.0,False,0.4803929328918457
68,right,log,-22.0,False,0.7396590709686279
69,left,mirror,-54.0,True,0.6607098579406738
70,right,mirror,-30.0,False,0.4867701530456543
71,right,mirror,2.0,True,0.4586050510406494
72,right,log,-38.0,False,0.5566971302032471
73,right,mirror,10.0,True,0.4813170433044434
74,right,mirror,-6.0,False,0.4554271697998047
75,right,mirror,2.0,True,0.5140302181243896
76,right,mirror,-62.0,False,0.4983987808227539
77,left,log,-70.0,True,0.4201352596282959
78,right,log,-22.0,False,0.7199883460998535
79,left,mirror,-22.0,True,0.417356014251709
80,right,log,-70.0,False,0.6985430717468262
81,right,log,-38.0,False,0.7313821315765381
82,right,log,2.0,True,0.9887962341308594
83,right,mirror,-30.0,False,1.1890311241149902
84,left,mirror,-14.0,True,0.5430672168731691
85,left,mirror,-6.0,True,0.606909990310669
86,right,mirror,-62.0,False,0.6096351146697998
87,left,log,-70.0,True,0.4853191375732422
