,Response,Test Stim,Test Speed,Correct,Time
0,right,log,38.0,True,0.941105842590332
1,right,mirror,62.0,True,1.054182052612305
2,right,mirror,62.0,True,1.238950252532959
3,left,log,70.0,False,2.61316990852356
4,right,mirror,70.0,True,0.7939021587371826
5,right,log,30.0,True,0.8429000377655029
6,left,mirror,38.0,False,0.9858860969543456
7,right,mirror,30.0,True,0.7686269283294678
8,right,log,38.0,True,1.12813401222229
9,left,mirror,38.0,False,1.5681099891662598
10,right,log,70.0,True,0.6057369709014893
11,right,mirror,22.0,True,0.9121239185333252
12,left,mirror,-10.0,True,0.757411003112793
13,left,mirror,22.0,False,0.8204801082611084
14,right,mirror,70.0,True,0.5817668437957764
15,left,mirror,46.0,False,1.2577509880065918
16,left,log,54.0,False,1.5710768699645996
17,left,mirror,22.0,False,1.0712609291076658
18,right,mirror,-10.0,False,0.9122302532196044
19,right,log,62.0,True,1.0894150733947754
20,right,log,22.0,True,0.8326451778411865
21,right,log,38.0,True,0.6282479763031006
22,right,mirror,46.0,True,0.8238251209259033
23,left,log,6.0,False,1.15905499458313
24,right,log,22.0,True,0.6691138744354248
25,left,log,6.0,False,1.3930370807647705
26,right,mirror,46.0,True,1.3747589588165283
27,right,log,70.0,True,1.1919958591461182
28,left,mirror,22.0,False,0.9745519161224364
29,right,log,54.0,True,0.8352398872375488
30,right,log,54.0,True,0.974384069442749
31,left,mirror,54.0,False,0.7240231037139893
32,left,log,54.0,False,1.3130581378936768
33,right,mirror,54.0,True,1.3016250133514404
34,right,log,38.0,True,1.1487610340118408
35,left,log,38.0,False,1.3019049167633057
36,right,log,46.0,True,0.7948081493377686
37,left,log,14.0,False,0.8347840309143066
38,right,log,14.0,True,1.0247209072113037
39,left,mirror,14.0,False,1.8165080547332764
40,right,mirror,30.0,True,0.7915880680084229
41,left,log,46.0,False,0.7547831535339355
42,right,mirror,70.0,True,0.8366100788116455
43,left,mirror,-2.0,True,0.6722719669342041
44,right,log,54.0,True,0.5627520084381104
45,right,mirror,14.0,True,0.7120380401611328
46,right,log,54.0,True,0.6308228969573975
47,left,mirror,-2.0,True,0.7223470211029053
48,left,log,30.0,False,1.8008651733398438
49,right,log,-10.0,False,1.3374488353729248
50,left,mirror,22.0,False,1.425706148147583
51,left,log,14.0,False,0.6747169494628906
52,left,mirror,14.0,False,0.7606589794158936
53,right,log,-2.0,False,0.7525439262390137
54,left,mirror,54.0,False,0.7661159038543701
55,left,log,30.0,False,0.9091148376464844
56,left,mirror,30.0,False,0.8333859443664551
57,right,log,30.0,True,0.8346629142761229
58,right,log,30.0,True,0.9238040447235109
59,right,log,6.0,True,0.7700400352478027
60,left,log,-10.0,True,1.0174679756164549
61,left,log,-10.0,True,0.8213021755218506
62,left,log,-2.0,True,0.9061081409454346
63,right,mirror,62.0,True,1.153317928314209
64,left,log,-10.0,True,0.8622989654541016
65,left,log,30.0,False,0.6861090660095215
66,left,mirror,38.0,False,1.8058249950408936
67,left,mirror,6.0,False,1.5938827991485596
68,right,mirror,30.0,True,1.1741619110107422
69,left,mirror,14.0,False,0.8676230907440186
70,right,log,-2.0,False,1.7518961429595947
71,left,log,22.0,False,0.7604820728302002
72,right,log,62.0,True,0.8603289127349854
73,left,log,38.0,False,0.6421799659729004
74,right,log,70.0,True,0.7273640632629395
75,right,mirror,62.0,True,0.7995462417602539
76,left,mirror,6.0,False,0.6974918842315674
77,left,mirror,22.0,False,0.8419499397277832
78,right,mirror,30.0,True,0.7505967617034912
79,left,mirror,22.0,False,0.8927440643310547
80,right,mirror,70.0,True,0.9252629280090332
81,left,log,14.0,False,0.7776210308074951
82,left,mirror,-2.0,True,0.7551357746124268
83,right,log,38.0,True,0.6877450942993164
84,right,log,54.0,True,0.7801730632781982
85,left,mirror,-2.0,True,0.6408171653747559
86,right,log,62.0,True,0.6393189430236816
87,left,log,30.0,False,0.7000670433044434
88,right,mirror,-2.0,False,0.7183752059936523
89,right,log,-2.0,False,0.6743969917297363
90,left,mirror,6.0,False,0.6866750717163086
91,left,mirror,22.0,False,0.7546701431274414
92,right,mirror,46.0,True,0.5930378437042236
93,right,log,-10.0,False,0.8559696674346924
94,left,mirror,14.0,False,0.6340570449829102
95,right,log,6.0,True,0.6449549198150635
96,left,mirror,62.0,False,0.7360348701477051
97,right,log,-2.0,False,0.6964051723480225
98,left,log,22.0,False,0.8166818618774414
99,left,mirror,22.0,False,1.0723559856414795
100,left,log,6.0,False,0.7283258438110352
101,right,log,70.0,True,0.8516178131103516
102,left,log,46.0,False,1.342521905899048
103,left,log,-2.0,True,0.7931799888610841
104,right,log,46.0,True,0.8937740325927734
105,left,log,-2.0,True,0.8269329071044922
106,right,mirror,14.0,True,0.7424349784851074
107,left,log,22.0,False,0.6665189266204834
108,right,mirror,54.0,True,0.7840449810028076
109,right,mirror,62.0,True,1.2791972160339355
110,right,log,22.0,True,0.9812009334564208
111,left,log,-2.0,True,0.7127249240875244
112,right,log,46.0,True,0.8219079971313477
113,left,log,22.0,False,0.8756320476531982
114,right,log,70.0,True,0.8132898807525635
115,left,mirror,14.0,False,0.8958790302276611
116,right,log,30.0,True,0.8707456588745117
117,left,mirror,-10.0,True,0.9851129055023192
118,right,log,70.0,True,0.8677990436553955
119,left,mirror,22.0,False,0.9523839950561525
120,left,mirror,62.0,False,1.3685619831085205
121,right,log,30.0,True,0.8991780281066895
122,left,mirror,38.0,False,0.7713758945465088
123,left,log,-2.0,True,0.8288791179656982
124,left,mirror,6.0,False,0.6698181629180908
125,right,mirror,70.0,True,0.9275939464569092
126,left,mirror,6.0,False,0.9228289127349854
127,right,log,14.0,True,0.7055699825286865
