,Response,Test Stim,Test Speed,Correct,Time
0,left,log,2.0,False,2.6642160415649414
1,right,log,-38.0,False,0.8812851905822754
2,left,mirror,-46.0,True,0.4939608573913574
3,left,mirror,-62.0,True,1.1290271282196045
4,right,log,-14.0,False,0.8197369575500488
5,left,mirror,-54.0,True,1.0301749706268308
6,left,mirror,-54.0,True,1.0153889656066897
7,left,log,-38.0,True,0.8170089721679688
8,left,log,-30.0,True,1.3343470096588137
9,left,mirror,-54.0,True,0.4055650234222412
10,right,log,2.0,True,0.7625126838684082
11,right,log,-6.0,False,1.0799167156219482
12,left,mirror,-54.0,True,1.0528881549835205
13,left,mirror,-46.0,True,0.9560089111328124
14,left,mirror,-30.0,True,1.6407089233398438
15,right,log,-14.0,False,1.301992893218994
16,right,log,-22.0,False,3.810368061065674
17,left,mirror,-30.0,True,1.0628139972686768
18,right,log,-14.0,False,1.6710162162780762
19,right,log,-6.0,False,5.667371988296509
20,left,mirror,-30.0,True,1.020352125167847
21,left,log,-62.0,True,0.9446620941162108
22,left,log,-30.0,True,0.9571352005004884
23,left,log,-14.0,True,1.0809040069580078
24,left,mirror,-70.0,True,0.4233989715576172
25,right,mirror,10.0,True,0.8381540775299072
26,left,log,-54.0,True,0.6370909214019775
27,left,log,-62.0,True,0.5827600955963135
28,right,mirror,2.0,True,0.6468322277069092
29,left,mirror,-6.0,True,0.5253469944000244
30,left,mirror,-62.0,True,0.3225259780883789
31,left,mirror,-6.0,True,0.4122729301452637
32,right,log,2.0,True,0.3711159229278565
33,left,mirror,2.0,False,1.6232810020446775
34,right,mirror,-30.0,False,1.4771387577056885
35,right,log,2.0,True,1.2682619094848633
36,up,mirror,-46.0,False,0.3782901763916016
37,right,log,10.0,True,0.42854666709899897
38,up,mirror,-70.0,False,0.37787699699401855
39,right,mirror,2.0,True,4.429553985595703
40,right,log,-46.0,False,0.7646579742431641
41,right,log,-62.0,False,5.158195972442627
42,left,mirror,-46.0,True,3.9019930362701416
43,right,mirror,-38.0,False,1.737048864364624
44,right,mirror,-70.0,False,1.9686899185180664
45,left,mirror,2.0,False,1.5235061645507812
46,left,log,-62.0,True,0.3873169422149658
47,left,mirror,-6.0,True,0.4877312183380127
48,left,mirror,-14.0,True,0.5807449817657471
49,left,mirror,10.0,False,0.5696201324462891
50,right,log,-22.0,False,0.17429399490356445
51,right,mirror,-30.0,False,1.5321540832519531
52,right,log,2.0,True,1.0560550689697266
53,right,mirror,-22.0,False,0.4319648742675781
54,left,log,-46.0,True,1.0190060138702393
55,left,mirror,-54.0,True,3.1760048866271973
56,right,log,-54.0,False,7.22518515586853
57,left,log,-6.0,True,2.8370270729064937
58,right,mirror,-46.0,False,17.027100801467896
59,right,mirror,-38.0,False,0.6444780826568604
60,left,mirror,-54.0,True,0.4365630149841309
61,left,log,-38.0,True,1.5252060890197754
62,right,mirror,10.0,True,0.6831097602844238
63,left,log,-70.0,True,0.5202200412750244
64,left,log,-30.0,True,0.6134929656982422
65,left,mirror,-46.0,True,0.4284858703613281
66,left,mirror,-62.0,True,0.400238037109375
67,right,mirror,-6.0,False,4.498646020889282
68,right,mirror,-62.0,False,1.112175226211548
69,right,mirror,2.0,True,0.7561311721801758
70,left,log,-46.0,True,0.1315162181854248
71,left,mirror,-14.0,True,0.5594911575317383
72,left,log,-54.0,True,1.1529159545898438
73,right,log,-38.0,False,0.31647896766662603
74,left,log,-22.0,True,0.4959499835968018
75,left,log,-14.0,True,0.4092037677764893
76,left,mirror,-6.0,True,0.15721988677978516
77,right,log,-22.0,False,0.5445358753204346
