,Response,Test Stim,Test Speed,Correct,Time
0,left,mirror,6.0,False,1.615476369857788
1,right,log,62.0,True,3.4955739974975586
2,left,mirror,30.0,False,2.24479603767395
3,left,log,-2.0,True,0.5902280807495117
4,right,mirror,54.0,True,1.3993327617645264
5,left,log,-10.0,True,0.472719669342041
6,left,mirror,30.0,False,2.5411949157714844
7,right,log,38.0,True,0.6002073287963867
8,right,log,54.0,True,0.5268731117248535
9,left,mirror,6.0,False,0.5892789363861084
10,left,mirror,38.0,False,1.363698959350586
11,left,log,-2.0,True,0.4206387996673584
12,left,mirror,-10.0,True,1.585130214691162
13,right,log,46.0,True,2.756380796432495
14,left,mirror,-2.0,True,0.49011993408203125
15,left,mirror,38.0,False,2.706087112426758
16,right,log,46.0,True,1.699627161026001
17,left,mirror,14.0,False,0.9923481941223145
18,right,log,62.0,True,2.8902499675750732
19,left,mirror,-10.0,True,0.41238903999328613
20,left,mirror,22.0,False,1.9874629974365234
21,right,mirror,38.0,True,0.7831249237060547
22,left,log,22.0,False,1.8159661293029785
23,left,log,-2.0,True,0.4368000030517578
24,left,mirror,-10.0,True,0.35610222816467285
25,left,log,6.0,False,0.5398609638214111
26,right,log,38.0,True,1.122474193572998
27,left,mirror,-2.0,True,0.6255779266357422
28,left,mirror,54.0,False,1.2918288707733154
29,left,log,22.0,False,1.6979458332061768
30,left,mirror,-10.0,True,0.43140411376953125
31,left,mirror,70.0,False,1.261833906173706
32,left,mirror,14.0,False,1.162672758102417
33,left,mirror,6.0,False,0.7833459377288818
34,left,mirror,62.0,False,1.2139229774475098
35,left,mirror,-2.0,True,0.5040311813354492
36,left,log,-10.0,True,1.094618797302246
37,left,log,6.0,False,0.6783733367919922
38,right,mirror,38.0,True,0.6054110527038574
39,left,log,-2.0,True,0.4762840270996094
40,right,mirror,70.0,True,0.5901570320129395
41,right,mirror,30.0,True,0.5920960903167725
42,left,log,-10.0,True,0.4006540775299072
43,left,mirror,-10.0,True,0.9722959995269775
44,right,mirror,46.0,True,0.8150129318237305
45,left,log,46.0,False,2.0028910636901855
46,right,mirror,62.0,True,0.8418068885803223
47,left,log,46.0,False,1.1990759372711182
48,right,log,62.0,True,2.3258278369903564
49,left,mirror,22.0,False,0.871863842010498
50,left,mirror,62.0,False,1.3459560871124268
51,left,mirror,70.0,False,1.2987382411956787
52,left,log,14.0,False,0.5714550018310547
53,right,log,70.0,True,0.8288428783416748
54,left,mirror,22.0,False,0.7406129837036133
55,left,mirror,-10.0,True,0.6109707355499268
56,left,log,22.0,False,2.549237012863159
57,right,mirror,62.0,True,0.8435177803039551
58,right,log,38.0,True,0.7769379615783691
59,right,log,54.0,True,0.8388009071350098
60,left,mirror,54.0,False,1.8146328926086426
61,right,log,54.0,True,1.7144079208374023
