,Response,Test Stim,Test Speed,Correct,Time
0,left,log,70.0,False,1.3720624446868896
1,left,mirror,14.0,False,0.661590576171875
2,left,mirror,6.0,False,0.8519971370697021
3,right,log,6.0,True,1.5502619743347168
4,left,mirror,46.0,False,1.6415131092071533
5,right,mirror,62.0,True,0.7295024394989014
6,left,mirror,30.0,False,1.0105750560760498
7,left,log,-10.0,True,0.4407777786254883
8,left,mirror,14.0,False,1.9923551082611084
9,right,log,46.0,True,0.7288010120391846
10,right,mirror,46.0,True,0.46012210845947266
11,left,mirror,-10.0,True,0.49425745010375977
12,left,mirror,6.0,False,0.45792675018310547
13,right,log,54.0,True,0.5676350593566895
14,left,mirror,70.0,False,0.6061782836914062
15,right,log,46.0,True,0.6890304088592529
16,left,log,-10.0,True,0.38886094093322754
17,left,mirror,-2.0,True,0.4369392395019531
18,left,log,46.0,False,0.7286112308502197
19,left,log,46.0,False,0.7612857818603516
20,left,log,30.0,False,0.4966549873352051
21,left,log,46.0,False,0.5384619235992432
22,left,log,6.0,False,1.240978479385376
23,right,log,30.0,True,0.691584587097168
24,right,log,38.0,True,1.3459992408752441
25,right,log,54.0,True,0.6973710060119629
26,left,mirror,54.0,False,3.004115343093872
27,right,log,6.0,True,1.5866620540618896
28,left,log,-2.0,True,0.5920054912567139
29,left,log,6.0,False,0.5240612030029297
30,left,log,30.0,False,0.6863713264465332
31,left,log,6.0,False,0.5256469249725342
32,right,log,70.0,True,0.6833500862121582
33,left,log,14.0,False,0.6371495723724365
34,left,mirror,46.0,False,0.8795418739318848
35,left,log,54.0,False,1.010577917098999
36,left,mirror,14.0,False,0.604346752166748
37,left,log,-10.0,True,0.47436022758483887
38,right,log,70.0,True,0.7675440311431885
39,left,mirror,14.0,False,0.4665656089782715
40,left,log,30.0,False,0.49223875999450684
41,left,log,-2.0,True,0.4299488067626953
42,left,log,46.0,False,1.063706636428833
43,right,log,46.0,True,0.5384628772735596
44,left,mirror,70.0,False,0.7571702003479004
45,left,log,6.0,False,0.46201515197753906
46,left,log,-2.0,True,0.6050338745117188
47,left,mirror,14.0,False,0.5617787837982178
48,left,log,6.0,False,0.5400784015655518
49,left,mirror,30.0,False,0.7835860252380371
50,left,mirror,30.0,False,1.1321914196014404
51,left,mirror,22.0,False,11.504822969436646
52,left,log,22.0,False,0.6699702739715576
53,right,mirror,62.0,True,1.1467225551605225
54,left,mirror,6.0,False,0.5363235473632812
55,left,log,22.0,False,0.6280338764190674
56,right,log,54.0,True,1.1604118347167969
57,left,mirror,30.0,False,0.7585601806640625
58,left,log,6.0,False,0.5389256477355957
59,left,log,30.0,False,0.5444018840789795
60,right,log,70.0,True,0.6166374683380127
61,right,log,62.0,True,0.8723561763763428
62,right,log,70.0,True,0.5083458423614502
63,left,mirror,46.0,False,0.6560647487640381
64,right,log,62.0,True,0.5792500972747803
65,right,log,46.0,True,1.5619735717773438
66,right,log,62.0,True,0.8411991596221924
67,right,log,22.0,True,0.6722209453582764
68,right,log,38.0,True,1.7517995834350586
69,left,mirror,46.0,False,0.5478270053863525
70,left,mirror,30.0,False,0.33478355407714844
71,left,mirror,46.0,False,0.5156044960021973
72,left,log,22.0,False,0.38759398460388184
73,left,mirror,-10.0,True,0.4114830493927002
74,left,mirror,38.0,False,0.36793017387390137
75,left,log,-2.0,True,0.42856621742248535
76,left,mirror,-10.0,True,0.45462489128112793
77,left,log,46.0,False,0.593921422958374
78,left,mirror,14.0,False,0.6583499908447266
79,left,log,-2.0,True,1.0794610977172852
80,left,mirror,54.0,False,0.5978574752807617
81,left,log,14.0,False,0.7040205001831055
82,left,mirror,62.0,False,0.4725024700164795
83,left,log,-2.0,True,0.6773347854614258
84,left,mirror,30.0,False,0.7526066303253174
85,left,mirror,-10.0,True,0.6487815380096436
86,left,mirror,38.0,False,0.5459685325622559
87,left,mirror,6.0,False,0.8015334606170654
88,left,log,30.0,False,0.6769344806671143
89,left,mirror,38.0,False,0.8180830478668213
90,left,log,-10.0,True,0.5616912841796875
91,left,mirror,70.0,False,0.6024014949798584
92,left,mirror,46.0,False,0.5646529197692871
93,left,log,70.0,False,0.5568230152130127
94,left,mirror,46.0,False,0.702315092086792
95,left,mirror,-2.0,True,0.9463424682617188
96,left,log,-2.0,True,0.7312271595001221
97,right,mirror,54.0,True,0.7093603610992432
98,left,log,14.0,False,0.6719820499420166
99,left,log,14.0,False,0.6953792572021484
100,right,log,62.0,True,0.7656910419464111
101,left,log,22.0,False,0.4771690368652344
102,right,log,62.0,True,0.6453804969787598
103,left,mirror,30.0,False,0.5587866306304932
104,left,mirror,-2.0,True,0.5744380950927734
105,left,mirror,14.0,False,0.4332609176635742
106,left,log,62.0,False,0.48375797271728516
107,left,log,54.0,False,0.6862673759460449
108,left,mirror,-10.0,True,0.48546862602233887
109,left,log,-2.0,True,0.50203537940979
110,right,log,54.0,True,0.8521108627319336
111,left,mirror,30.0,False,0.517920970916748
112,left,mirror,38.0,False,0.5379376411437988
113,left,mirror,62.0,False,0.6249904632568359
114,left,mirror,46.0,False,0.6327333450317383
115,left,mirror,54.0,False,1.257991075515747
116,right,mirror,62.0,True,0.5902118682861328
117,left,mirror,38.0,False,0.5245423316955566
118,left,log,6.0,False,0.44794392585754395
119,left,mirror,62.0,False,0.5176906585693359
120,left,mirror,46.0,False,0.5548601150512695
