,Response,Test Stim,Test Speed,Correct,Time
0,right,mirror,10.0,True,1.3247597217559814
1,right,log,-54.0,False,1.989457607269287
2,right,mirror,-38.0,False,1.9444327354431152
3,right,mirror,-30.0,False,1.8860278129577637
4,left,mirror,-14.0,True,2.1624748706817627
5,right,log,-6.0,False,1.828428030014038
6,right,log,10.0,True,2.075521469116211
7,left,log,-22.0,True,1.4880931377410889
8,right,mirror,-6.0,False,1.6366796493530273
9,right,log,2.0,True,1.8246080875396729
10,right,log,-38.0,False,2.0538840293884277
11,left,log,-46.0,True,0.9718968868255615
12,right,mirror,2.0,True,1.2796852588653564
13,right,log,-14.0,False,1.2230339050292969
14,right,log,-22.0,False,1.131380319595337
15,right,log,-14.0,False,1.5862817764282227
16,left,mirror,-54.0,True,0.9395816326141357
17,right,log,-22.0,False,1.158743143081665
18,right,log,-70.0,False,1.1617918014526367
19,right,mirror,-38.0,False,1.0706171989440918
20,left,log,-54.0,True,1.0325751304626465
21,right,mirror,2.0,True,1.2576873302459717
22,right,log,-14.0,False,1.637833833694458
23,right,log,-22.0,False,1.435534954071045
24,left,mirror,-54.0,True,0.8072612285614014
25,right,log,10.0,True,0.9181041717529297
26,right,log,-22.0,False,1.5353891849517822
27,left,mirror,-30.0,True,1.3188273906707764
28,right,mirror,-22.0,False,0.9523398876190186
29,right,log,-6.0,False,1.277665376663208
30,left,log,-22.0,True,1.6576941013336182
31,right,log,-6.0,False,1.3885085582733154
32,left,mirror,-30.0,True,0.8476788997650146
33,right,mirror,2.0,True,1.236431360244751
34,right,mirror,10.0,True,0.8696184158325195
35,left,mirror,-54.0,True,1.0154359340667725
36,right,mirror,-6.0,False,1.11515212059021
37,left,mirror,-38.0,True,1.007509469985962
38,left,log,-38.0,True,1.8671698570251465
39,left,log,-54.0,True,1.0992710590362549
40,right,log,-30.0,False,1.1349027156829834
41,right,log,-46.0,False,1.295334815979004
42,right,mirror,-70.0,False,1.370304822921753
43,right,mirror,-54.0,False,1.3548088073730469
44,left,mirror,-38.0,True,1.3356201648712158
45,left,mirror,-70.0,True,1.5864191055297852
46,left,log,-62.0,True,1.3089056015014648
47,left,mirror,-46.0,True,1.0518817901611328
48,left,log,-46.0,True,1.8765184879302979
49,right,mirror,-14.0,False,1.3094453811645508
50,left,log,-70.0,True,1.187608003616333
51,right,log,-6.0,False,1.2548789978027344
52,right,log,-38.0,False,1.2863330841064453
53,right,log,-46.0,False,1.3575963973999023
54,left,log,-46.0,True,1.5671751499176025
55,right,mirror,-14.0,False,1.2621381282806396
56,right,mirror,-14.0,False,1.1552155017852783
57,right,mirror,2.0,True,1.3962194919586182
58,left,mirror,-38.0,True,1.6607882976531982
59,right,log,-14.0,False,1.2565298080444336
60,right,log,-14.0,False,1.31770920753479
61,right,log,-14.0,False,1.051414966583252
62,left,mirror,-46.0,True,0.9835286140441895
63,right,log,2.0,True,1.3264684677124023
64,right,log,2.0,True,1.7181134223937988
65,right,log,-6.0,False,0.9736943244934082
66,right,mirror,-22.0,False,1.49092698097229
67,right,mirror,10.0,True,0.6585090160369873
68,left,log,-62.0,True,0.9454019069671631
69,left,log,-62.0,True,0.9208922386169434
70,left,log,-62.0,True,1.0987555980682373
71,left,log,-70.0,True,0.7914364337921143
72,left,mirror,-6.0,True,1.502068281173706
73,left,log,-38.0,True,1.0161263942718506
74,right,mirror,-30.0,False,0.9763503074645996
75,left,mirror,-70.0,True,0.9024531841278076
76,right,mirror,-22.0,False,0.9138574600219727
77,right,log,-22.0,False,1.0682859420776367
78,right,mirror,-6.0,False,1.093008041381836
79,right,mirror,-22.0,False,0.9369754791259766
80,left,mirror,-62.0,True,1.1053433418273926
81,right,mirror,-22.0,False,1.2099254131317139
82,right,mirror,-6.0,False,1.3940489292144775
83,left,log,-62.0,True,0.905076265335083
84,right,mirror,-14.0,False,1.0107932090759277
85,right,log,10.0,True,1.4196088314056396
86,left,log,-54.0,True,0.8331928253173828
87,left,mirror,-30.0,True,1.3802592754364014
88,right,mirror,2.0,True,1.340768575668335
89,right,mirror,-22.0,False,1.0121819972991943
90,right,log,-38.0,False,1.2387325763702393
91,left,log,-46.0,True,0.8528180122375488
92,right,log,-6.0,False,1.5064525604248047
93,left,mirror,-70.0,True,0.7415733337402344
94,right,mirror,10.0,True,1.2627370357513428
95,left,mirror,-70.0,True,1.2106342315673828
96,left,log,-70.0,True,0.7576553821563721
97,left,mirror,-38.0,True,0.9954419136047363
98,left,mirror,-30.0,True,1.3869705200195312
99,left,mirror,-54.0,True,0.870619535446167
100,left,mirror,-62.0,True,0.8208408355712891
101,left,log,-38.0,True,1.5878076553344727
102,right,log,10.0,True,1.2906146049499512
103,right,mirror,-30.0,False,1.156381368637085
104,left,mirror,-70.0,True,1.5069944858551025
105,right,mirror,10.0,True,1.2433996200561523
106,left,log,-62.0,True,1.5254144668579102
107,right,mirror,-6.0,False,0.9728670120239258
108,right,log,-6.0,False,1.0512888431549072
109,right,log,-6.0,False,0.7112987041473389
110,right,mirror,10.0,True,0.7954254150390625
111,right,log,10.0,True,0.7005863189697266
112,right,mirror,10.0,True,0.661635160446167
113,left,mirror,-70.0,True,0.9726879596710205
114,right,mirror,10.0,True,0.8077518939971924
115,right,log,-6.0,False,0.9397158622741699
116,right,mirror,-14.0,False,1.3818690776824951
117,right,log,-22.0,False,0.8911583423614502
118,right,log,2.0,True,1.0243728160858154
119,right,log,-30.0,False,1.0408172607421875
120,left,mirror,-46.0,True,1.233250617980957
121,left,log,-70.0,True,0.9622056484222412
122,right,mirror,-30.0,False,1.1491765975952148
123,right,log,10.0,True,1.0967977046966553
