,Response,Test Stim,Test Speed,Correct,Time
0,left,log,8.0,False,1.101452112197876
1,left,log,-32.0,True,0.4380159378051758
2,left,mirror,8.0,False,0.5226538181304932
3,left,mirror,-24.0,True,0.3923227787017822
4,left,mirror,40.0,False,0.44960522651672363
5,left,mirror,40.0,False,0.3830258846282959
6,left,mirror,24.0,False,0.3537931442260742
7,left,mirror,8.0,False,0.3969309329986572
8,left,mirror,-40.0,True,0.4033021926879883
9,left,mirror,40.0,False,0.5938851833343506
10,left,log,-40.0,True,0.525054931640625
11,left,log,0.0,False,0.6445698738098145
12,left,mirror,-32.0,True,0.44169020652770996
13,left,log,-16.0,True,0.42752885818481445
14,right,log,16.0,True,0.5933470726013184
15,left,mirror,0.0,False,0.39671993255615234
16,left,mirror,-40.0,True,0.36307716369628906
17,left,log,32.0,False,0.6323750019073486
18,left,mirror,-32.0,True,0.4407038688659668
19,left,log,-40.0,True,0.4601607322692871
20,left,mirror,40.0,False,0.6088988780975342
21,left,mirror,0.0,False,0.3978750705718994
22,left,log,8.0,False,0.41417407989501953
23,left,mirror,-8.0,True,0.3876521587371826
24,left,log,-8.0,True,0.5219480991363525
25,left,mirror,8.0,False,0.4591529369354248
26,left,mirror,-32.0,True,0.4576742649078369
27,left,mirror,0.0,False,0.5138339996337891
28,left,log,-40.0,True,0.41508984565734863
29,left,log,-8.0,True,0.4746088981628418
30,left,mirror,16.0,False,0.35678696632385254
31,right,mirror,16.0,True,0.5073511600494385
32,right,mirror,16.0,True,1.319092035293579
33,left,log,-24.0,True,0.48641514778137207
34,left,log,16.0,False,0.4488832950592041
35,left,log,-16.0,True,0.3910248279571533
36,left,mirror,-40.0,True,0.3586599826812744
37,left,mirror,-32.0,True,0.3915390968322754
38,left,log,-32.0,True,0.4342169761657715
39,left,log,-32.0,True,0.42209720611572266
40,right,log,40.0,True,0.5574150085449219
41,left,log,-40.0,True,0.3861057758331299
42,left,mirror,-32.0,True,0.4563729763031006
43,left,log,-16.0,True,0.39441466331481934
44,left,mirror,-16.0,True,0.44227099418640137
45,left,log,-8.0,True,0.36895108222961426
46,left,log,-40.0,True,0.34671902656555176
47,left,log,0.0,False,0.3433661460876465
48,left,mirror,-40.0,True,0.4051072597503662
49,left,log,-32.0,True,0.4589509963989258
50,left,log,0.0,False,0.46746301651000977
51,left,log,-8.0,True,0.3175318241119385
52,left,mirror,40.0,False,0.32345008850097656
53,left,mirror,-24.0,True,0.38770389556884766
54,left,mirror,-40.0,True,0.3885078430175781
55,left,log,-40.0,True,0.35740113258361816
56,left,mirror,32.0,False,0.485105037689209
57,left,mirror,-16.0,True,0.452409029006958
58,left,mirror,-32.0,True,0.4298422336578369
59,left,mirror,-8.0,True,0.37519001960754395
60,left,mirror,16.0,False,0.44933485984802246
61,left,log,-32.0,True,0.45103907585144043
62,right,mirror,40.0,True,0.9511706829071045
63,left,log,-32.0,True,0.40749406814575195
64,left,mirror,40.0,False,0.3140287399291992
65,left,mirror,40.0,False,0.34019994735717773
66,left,mirror,16.0,False,0.4681668281555176
67,left,log,32.0,False,0.46314382553100586
68,left,log,-32.0,True,0.4723320007324219
69,left,mirror,-24.0,True,0.49538302421569824
70,left,mirror,8.0,False,0.633124828338623
71,right,log,24.0,True,0.872061014175415
72,left,mirror,-32.0,True,0.3679070472717285
73,left,mirror,-40.0,True,0.30458498001098633
74,left,log,-24.0,True,0.38858795166015625
75,left,mirror,-40.0,True,0.34202075004577637
76,left,log,-32.0,True,0.3894469738006592
77,left,log,40.0,False,0.3950200080871582
78,left,mirror,32.0,False,0.7377810478210449
79,left,mirror,0.0,False,0.5038862228393555
80,right,log,40.0,True,1.4011671543121338
81,left,mirror,24.0,False,0.48246026039123535
82,left,mirror,8.0,False,0.4443631172180176
83,left,mirror,-24.0,True,0.401569128036499
84,left,log,16.0,False,0.620574951171875
85,right,log,40.0,True,0.5710749626159668
86,left,mirror,-16.0,True,0.40679121017456055
87,left,log,0.0,False,0.38797807693481445
88,left,log,16.0,False,0.35259103775024414
89,left,mirror,32.0,False,0.33467793464660645
90,left,log,-40.0,True,0.4573822021484375
91,left,mirror,8.0,False,0.3247380256652832
92,left,log,32.0,False,0.3989832401275635
93,left,log,-40.0,True,0.4084019660949707
94,right,log,24.0,True,0.8906476497650146
95,left,log,24.0,False,0.40415072441101074
96,left,log,-8.0,True,0.3061089515686035
97,left,mirror,-16.0,True,0.4128587245941162
98,left,mirror,-24.0,True,0.36600208282470703
99,left,mirror,-40.0,True,0.31493520736694336
100,right,log,24.0,True,0.6288638114929199
101,left,mirror,-8.0,True,0.3512599468231201
102,left,mirror,40.0,False,0.34021496772766113
103,left,mirror,-16.0,True,0.2222599983215332
104,left,mirror,-16.0,True,0.29720187187194824
105,left,log,32.0,False,0.32670092582702637
106,left,log,16.0,False,0.3222770690917969
107,right,mirror,40.0,True,0.6769800186157227
108,left,mirror,8.0,False,0.35728001594543457
109,left,log,8.0,False,0.2738931179046631
110,left,mirror,24.0,False,1.0503871440887451
111,left,log,-32.0,True,0.3541891574859619
112,left,mirror,-24.0,True,0.38562703132629395
113,left,log,0.0,False,0.36423420906066895
114,left,mirror,40.0,False,0.27722716331481934
115,left,log,-16.0,True,0.32144594192504883
116,left,mirror,-24.0,True,0.435549259185791
117,left,mirror,-8.0,True,0.5044510364532471
118,right,log,32.0,True,0.8575758934020996
119,left,log,16.0,False,0.43981075286865234
120,left,mirror,8.0,False,0.3170621395111084
121,left,log,16.0,False,0.38700175285339355
122,left,mirror,-40.0,True,0.5614960193634033
123,left,log,-8.0,True,0.507436990737915
124,left,mirror,-32.0,True,0.4626739025115967
125,left,log,0.0,False,0.481799840927124
126,right,log,32.0,True,0.8723299503326416
127,left,log,-40.0,True,0.288006067276001
128,left,mirror,-40.0,True,0.2834439277648926
129,left,log,32.0,False,0.9594926834106445
130,left,mirror,-24.0,True,0.3288230895996094
131,left,mirror,16.0,False,0.35127973556518555
132,left,mirror,16.0,False,0.3225369453430176
133,left,log,0.0,False,0.44397401809692383
134,left,mirror,-16.0,True,0.4683709144592285
135,left,log,16.0,False,0.6819450855255127
136,right,mirror,40.0,True,0.7752888202667236
137,left,log,8.0,False,0.41713809967041016
138,right,mirror,24.0,True,1.3940870761871338
139,left,log,16.0,False,0.36622095108032227
140,left,mirror,40.0,False,0.8151369094848633
141,left,log,-8.0,True,0.47191905975341797
142,left,log,40.0,False,0.3439481258392334
143,left,log,-40.0,True,0.3827381134033203
144,left,mirror,0.0,False,0.4783511161804199
145,left,mirror,-8.0,True,0.48462629318237305
146,right,log,40.0,True,0.8912420272827148
147,left,log,16.0,False,0.3560662269592285
148,left,mirror,8.0,False,0.48653316497802734
149,left,mirror,-16.0,True,0.5201401710510254
150,left,mirror,8.0,False,0.5342130661010742
151,left,log,16.0,False,0.6007051467895508
152,left,log,32.0,False,0.3445248603820801
153,left,log,-24.0,True,0.4844932556152344
154,left,mirror,32.0,False,0.6102931499481201
155,left,mirror,-8.0,True,0.31213903427124023
156,left,mirror,16.0,False,0.37715888023376465
157,left,mirror,-16.0,True,0.443727970123291
158,left,log,16.0,False,0.37601280212402344
159,left,mirror,24.0,False,0.3514571189880371
160,left,log,-32.0,True,0.47585296630859375
161,left,mirror,40.0,False,0.34197306632995605
162,left,log,-16.0,True,0.44214606285095215
163,left,log,8.0,False,0.49676012992858887
164,left,mirror,16.0,False,0.5718510150909424
165,left,log,-40.0,True,0.434481143951416
166,left,mirror,-16.0,True,0.46436309814453125
167,left,mirror,24.0,False,0.536329984664917
168,left,log,-8.0,True,0.4075791835784912
169,left,log,0.0,False,0.35094499588012695
170,left,mirror,-16.0,True,0.4381120204925537
171,left,log,-8.0,True,0.44229984283447266
172,left,log,-16.0,True,0.44521284103393555
173,left,mirror,-24.0,True,0.9891769886016846
174,left,log,0.0,False,0.44063901901245117
175,left,mirror,-16.0,True,0.4795370101928711
176,left,mirror,24.0,False,1.319500207901001
177,left,mirror,32.0,False,0.43401193618774414
178,left,mirror,-8.0,True,0.4646458625793457
179,left,mirror,16.0,False,0.24491286277770996
180,left,mirror,24.0,False,0.3227372169494629
181,left,mirror,32.0,False,0.4411911964416504
182,left,mirror,-24.0,True,0.36187076568603516
183,left,mirror,-8.0,True,0.4612863063812256
184,left,log,-32.0,True,0.5499520301818848
185,left,log,16.0,False,0.5785541534423828
186,left,mirror,-32.0,True,0.3283419609069824
187,left,mirror,-24.0,True,0.6774861812591553
188,left,mirror,-32.0,True,0.4248640537261963
189,left,log,40.0,False,0.2914738655090332
190,left,mirror,0.0,False,0.3263437747955322
191,left,mirror,8.0,False,0.3677220344543457
192,left,log,-24.0,True,0.45413708686828613
193,left,log,-16.0,True,0.47960495948791504
194,left,log,8.0,False,0.3302891254425049
195,left,log,-32.0,True,0.3391098976135254
196,left,log,-40.0,True,0.32540082931518555
197,left,mirror,-40.0,True,0.2760190963745117
198,left,log,-32.0,True,0.27744007110595703
199,left,log,16.0,False,0.8280739784240723
200,left,log,-16.0,True,0.3092038631439209
201,left,log,-8.0,True,0.372880220413208
202,left,mirror,32.0,False,0.44931817054748535
203,left,log,8.0,False,0.33771371841430664
204,left,mirror,24.0,False,0.27887797355651855
205,left,mirror,32.0,False,0.36370205879211426
206,left,log,-16.0,True,0.43952012062072754
207,left,log,32.0,False,0.32642698287963867
208,left,mirror,32.0,False,0.43624091148376465
209,left,log,-40.0,True,0.3892819881439209
210,left,mirror,8.0,False,0.8835899829864502
211,left,mirror,-8.0,True,0.5197062492370605
212,left,mirror,-16.0,True,0.514815092086792
213,left,log,-40.0,True,0.3719029426574707
214,left,mirror,32.0,False,0.8056559562683105
215,left,log,8.0,False,0.9605791568756104
216,left,mirror,0.0,False,0.2693498134613037
217,left,log,-16.0,True,1.8532819747924805
218,left,log,-24.0,True,0.2986750602722168
219,left,mirror,0.0,False,0.3044712543487549
220,left,log,32.0,False,1.762648105621338
221,left,log,24.0,False,0.5587677955627441
222,right,log,40.0,True,1.4296801090240479
223,left,log,8.0,False,0.45546817779541016
224,left,log,8.0,False,0.3469858169555664
225,left,mirror,16.0,False,0.3706963062286377
226,left,mirror,-40.0,True,0.35478997230529785
227,left,log,-40.0,True,0.41879987716674805
228,left,mirror,40.0,False,0.40220093727111816
229,left,mirror,40.0,False,0.43790507316589355
230,left,mirror,8.0,False,0.4682183265686035
231,left,log,0.0,False,0.5360109806060791
232,left,mirror,0.0,False,0.4001350402832031
233,left,mirror,24.0,False,0.3627030849456787
234,left,mirror,0.0,False,0.8159019947052002
235,left,log,-16.0,True,0.39719390869140625
236,left,mirror,0.0,False,0.5128159523010254
237,left,log,-32.0,True,0.4650759696960449
238,left,log,8.0,False,0.38104701042175293
239,left,log,24.0,False,1.2401988506317139
240,left,log,-24.0,True,0.3623995780944824
241,right,mirror,32.0,True,0.9118878841400146
242,left,mirror,-16.0,True,0.2854151725769043
243,left,mirror,-16.0,True,0.4815528392791748
244,left,mirror,0.0,False,0.3245089054107666
245,left,log,24.0,False,0.49999284744262695
246,left,mirror,24.0,False,0.5019371509552002
247,left,mirror,16.0,False,0.5304338932037354
248,left,mirror,24.0,False,0.5064220428466797
249,left,log,32.0,False,1.2080647945404053
250,left,log,-32.0,True,0.44763898849487305
251,left,mirror,24.0,False,1.156270980834961
252,left,mirror,-40.0,True,0.5383827686309814
253,left,mirror,32.0,False,0.43978166580200195
254,left,log,24.0,False,0.5056729316711426
255,left,log,32.0,False,0.36527299880981445
256,left,log,40.0,False,0.4324531555175781
257,up,log,24.0,False,1.256333827972412
258,left,mirror,-16.0,True,1.277493953704834
259,right,log,24.0,True,1.507323980331421
260,left,mirror,16.0,False,0.5939829349517822
261,left,log,-24.0,True,0.45052599906921387
262,left,log,-24.0,True,0.3746907711029053
263,left,mirror,-40.0,True,0.4182579517364502
264,left,mirror,-40.0,True,1.5256690979003906
265,left,log,8.0,False,0.8450798988342285
266,left,mirror,0.0,False,1.0329670906066895
267,left,log,24.0,False,0.7928581237792969
268,left,mirror,16.0,False,0.5218260288238525
269,left,mirror,-8.0,True,0.3641200065612793
270,left,log,-8.0,True,0.44666194915771484
271,left,mirror,32.0,False,0.2969808578491211
272,left,log,-16.0,True,0.4051070213317871
273,left,mirror,-24.0,True,0.4042067527770996
274,left,log,32.0,False,0.42198801040649414
275,left,log,0.0,False,0.433474063873291
276,left,log,-8.0,True,0.43517112731933594
277,left,log,-32.0,True,0.3534970283508301
278,left,mirror,24.0,False,0.5630109310150146
279,left,mirror,-8.0,True,0.3762819766998291
280,left,log,24.0,False,0.37854599952697754
281,left,mirror,-40.0,True,0.5013680458068848
282,left,log,40.0,False,0.6692109107971191
283,left,log,0.0,False,2.2117278575897217
284,left,log,24.0,False,1.1602752208709717
285,left,mirror,8.0,False,0.44892096519470215
286,left,log,0.0,False,0.6172068119049072
287,left,log,24.0,False,0.529874324798584
288,left,log,-24.0,True,0.40675806999206543
289,left,mirror,-32.0,True,0.411196231842041
290,left,log,-24.0,True,0.4737679958343506
291,left,log,0.0,False,0.5619561672210693
292,left,log,32.0,False,1.2742211818695068
293,left,mirror,-40.0,True,0.45564913749694824
294,left,log,32.0,False,0.5713129043579102
295,left,log,-40.0,True,0.56685471534729
296,right,log,24.0,True,1.0097451210021973
297,left,mirror,-32.0,True,0.44893789291381836
298,left,log,-8.0,True,0.519686222076416
299,left,mirror,0.0,False,0.5599198341369629
300,left,mirror,24.0,False,0.5724179744720459
301,left,mirror,-8.0,True,0.6140930652618408
302,right,log,16.0,True,1.5225820541381836
303,left,log,16.0,False,0.4407021999359131
304,left,mirror,-8.0,True,0.778555154800415
305,left,log,8.0,False,1.2629930973052979
306,left,mirror,-24.0,True,0.40947890281677246
307,left,log,-16.0,True,0.4374969005584717
308,left,log,-24.0,True,0.3823840618133545
309,left,mirror,32.0,False,0.3406860828399658
310,left,log,16.0,False,0.48458123207092285
311,left,mirror,-8.0,True,0.35433197021484375
312,left,log,0.0,False,0.37845611572265625
313,left,mirror,-8.0,True,0.3275032043457031
314,left,log,40.0,False,0.3900010585784912
315,left,log,40.0,False,0.4310929775238037
316,left,mirror,24.0,False,0.7482621669769287
317,left,mirror,-32.0,True,0.4320240020751953
318,left,log,8.0,False,0.4763510227203369
319,left,mirror,8.0,False,0.445235013961792
320,left,mirror,40.0,False,1.4339160919189453
321,left,mirror,40.0,False,0.39386701583862305
322,left,mirror,-16.0,True,0.34776902198791504
323,left,mirror,-32.0,True,0.4192986488342285
324,left,log,40.0,False,1.1622400283813477
325,left,log,24.0,False,0.7133100032806396
326,left,mirror,16.0,False,0.7641100883483887
327,left,mirror,24.0,False,0.40141892433166504
328,left,log,-8.0,True,0.42371201515197754
329,right,log,24.0,True,1.0121800899505615
330,left,mirror,0.0,False,1.298543930053711
331,left,mirror,16.0,False,1.0060451030731201
332,left,mirror,16.0,False,0.43128275871276855
333,left,log,-24.0,True,0.6219289302825928
334,left,mirror,-32.0,True,0.449937105178833
335,left,mirror,32.0,False,0.46415185928344727
336,left,mirror,8.0,False,0.48964500427246094
337,left,log,-40.0,True,0.46620893478393555
338,left,log,0.0,False,0.46599292755126953
339,left,log,16.0,False,0.4022047519683838
340,left,mirror,0.0,False,0.47310519218444824
341,left,mirror,8.0,False,0.5901937484741211
342,left,mirror,0.0,False,0.3360011577606201
343,left,mirror,32.0,False,0.3907153606414795
344,left,log,8.0,False,0.42997312545776367
345,right,log,40.0,True,1.460486888885498
346,left,log,32.0,False,0.467926025390625
347,left,log,-16.0,True,0.4495539665222168
348,left,mirror,-24.0,True,1.3237099647521973
349,left,mirror,-8.0,True,0.4272937774658203
350,left,log,-24.0,True,0.4963099956512451
351,left,log,-24.0,True,0.48581910133361816
352,left,log,24.0,False,0.41710686683654785
353,left,log,-8.0,True,0.4967811107635498
354,left,log,40.0,False,1.8101320266723633
355,left,log,-40.0,True,1.0238347053527832
356,left,log,24.0,False,0.48079895973205566
357,left,mirror,-32.0,True,0.473308801651001
358,left,log,-8.0,True,1.098714828491211
359,left,mirror,-24.0,True,0.37091898918151855
360,left,mirror,-32.0,True,0.4300050735473633
361,left,log,-8.0,True,0.39513397216796875
362,left,log,-24.0,True,0.46469664573669434
363,left,log,32.0,False,0.3838019371032715
364,left,mirror,-40.0,True,0.45040416717529297
365,left,mirror,0.0,False,0.5276978015899658
366,left,log,-24.0,True,0.8578779697418213
367,left,mirror,32.0,False,0.8430469036102295
368,left,mirror,-24.0,True,0.48911476135253906
369,left,log,-16.0,True,0.5189089775085449
370,left,log,0.0,False,1.4676196575164795
371,left,mirror,0.0,False,0.5398049354553223
372,left,mirror,-24.0,True,0.5043330192565918
373,left,log,24.0,False,0.6701977252960205
374,left,log,-16.0,True,0.42023611068725586
375,left,log,0.0,False,0.4838278293609619
376,left,mirror,-8.0,True,0.52423095703125
377,left,log,32.0,False,0.43513011932373047
378,left,log,-8.0,True,0.5759789943695068
379,right,log,32.0,True,1.0291757583618164
380,left,log,-24.0,True,2.267634153366089
381,left,mirror,24.0,False,0.5333077907562256
382,left,mirror,-16.0,True,0.47839903831481934
383,left,mirror,-32.0,True,0.6637721061706543
384,left,mirror,-8.0,True,1.7954621315002441
385,left,mirror,-32.0,True,0.6590001583099365
386,left,log,8.0,False,0.7044949531555176
387,left,mirror,16.0,False,0.5789659023284912
388,left,mirror,24.0,False,0.44406700134277344
389,left,log,-40.0,True,0.47411584854125977
