,Response,Test Stim,Test Speed,Correct,Time
0,left,log,-10.0,True,2.3184919357299805
1,left,mirror,-10.0,True,1.1636631488800049
2,right,mirror,46.0,True,0.5015749931335449
3,right,mirror,46.0,True,1.7626399993896484
4,right,log,-2.0,False,1.1848077774047852
5,right,mirror,6.0,True,1.1931121349334717
6,left,mirror,70.0,False,1.494089126586914
7,left,mirror,-10.0,True,1.387258768081665
8,right,log,14.0,True,1.1201221942901611
9,right,log,6.0,True,0.7638318538665771
10,left,mirror,54.0,False,1.002600908279419
11,right,log,14.0,True,1.7027242183685303
12,left,mirror,30.0,False,1.0719799995422363
13,right,log,-2.0,False,1.197951078414917
14,left,mirror,38.0,False,1.481632947921753
15,left,mirror,-2.0,True,0.7516400814056396
16,right,log,70.0,True,0.8532118797302246
17,right,log,62.0,True,0.6378152370452881
18,right,log,30.0,True,0.463468074798584
19,right,mirror,62.0,True,0.6061100959777832
20,right,mirror,14.0,True,2.0306291580200195
21,right,log,-2.0,False,1.1043262481689453
22,left,log,-10.0,True,0.7734031677246094
23,left,mirror,22.0,False,2.007366895675659
24,right,mirror,30.0,True,0.8288490772247314
25,left,log,30.0,False,1.6984999179840088
26,right,log,54.0,True,0.5694580078125
27,left,mirror,-10.0,True,0.5090501308441162
28,left,mirror,6.0,False,0.8638260364532471
29,right,mirror,62.0,True,0.6291599273681641
30,left,log,-2.0,True,1.3005256652832031
31,left,mirror,-2.0,True,1.0172839164733887
32,right,log,70.0,True,0.6570889949798584
33,right,log,54.0,True,0.7117810249328613
34,right,log,70.0,True,0.4416210651397705
35,right,log,62.0,True,0.4481010437011719
36,left,mirror,6.0,False,0.8013827800750732
37,right,log,-2.0,False,1.1366989612579346
38,right,log,38.0,True,0.698754072189331
39,left,mirror,38.0,False,0.9550340175628662
40,right,log,62.0,True,0.38661980628967285
41,left,log,-10.0,True,0.8747107982635498
42,right,log,38.0,True,0.728748083114624
43,left,mirror,14.0,False,0.7423338890075684
44,left,mirror,14.0,False,0.757314920425415
45,left,mirror,22.0,False,0.5577383041381836
46,left,mirror,62.0,False,0.8252320289611816
47,left,mirror,22.0,False,0.7013051509857178
48,left,mirror,70.0,False,1.5112991333007812
49,right,mirror,38.0,True,1.1168901920318604
50,right,log,70.0,True,0.8372161388397217
51,right,mirror,38.0,True,0.5927648544311523
52,right,mirror,30.0,True,0.8046197891235352
53,right,log,70.0,True,0.7792840003967285
54,left,log,-2.0,True,0.9623029232025146
55,right,log,54.0,True,0.8777279853820801
56,left,mirror,6.0,False,0.7482612133026123
